"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"MANAPPURAM",296.5,316.1,295,294.8,315.75,7.11,24308241,7534096215.54,"07-Nov-2025"
"IIFL",574,605.8,570.85,572.75,603,5.28,5216175,3113117563.5,"23-Sep-2024"
"NUVAMA",7282,7640,7255,7282,7628,4.75,504291,3800483220.39,"26-Dec-2025"
"PNBHOUSING",930.1,968,928.5,932.85,967.5,3.71,2832626,2719009371.14,"01-Aug-2025"
"BDL",1434,1498,1426.7,1431.4,1478.7,3.3,2713018,4010193296.34,"19-Sep-2025"
"DALBHARAT",2073.8,2120,2049.9,2059.4,2117,2.8,252729,531190866.78,"24-Oct-2025"
"HINDZINC",619,631.9,617.95,609.8,625.45,2.57,13964315,8738728683.85,"17-Jun-2025"
"INDUSTOWER",414.35,428.5,412,414.35,424.5,2.45,8149917,3453934824.6,"09-Aug-2024"
"TRENT",4209,4313.3,4183.1,4189.4,4284,2.26,960632,4096067603.76,"12-Jun-2025"
"VEDL",589.95,599.8,587.2,586.4,597.65,1.92,15686960,9354761726.4,"26-Aug-2025"
"NATIONALUM",292,298.6,290.35,290.15,295.5,1.84,12921219,3826102158.09,"14-Nov-2025"
"SHRIRAMFIN",958,983.7,958,957.8,974,1.69,10574513,10301902054.86,"07-Nov-2025"
"LAURUSLABS",1073.9,1092.6,1070.5,1068.4,1086,1.65,1711875,1856083350,"31-Oct-2025"
"TITAGARH",837.95,868.8,833.25,837.05,850.75,1.64,3098632,2658347379.12,"08-Sep-2025"
"APOLLOHOSP",7070,7209.5,7044.5,7073.5,7177,1.46,351381,2519275272.84,"19-Aug-2025"
"MAZDOCK",2515,2563,2511,2513.2,2545.3,1.28,1104009,2801235155.97,"04-Nov-2025"
"CHOLAFIN",1678.5,1708.1,1669.4,1678.5,1699.7,1.26,1861216,3155505606.4,"24-Jul-2025"
"360ONE",1190,1217,1180.3,1181.7,1196,1.21,1291909,1553158837.98,"27-Oct-2025"
"PRESTIGE",1612,1628.9,1592.9,1604.8,1624,1.2,955987,1537389613.79,"03-Sep-2025"
"LICHSGFIN",533.85,541.75,533.75,533.85,540,1.15,540891,291653836.11,"22-Aug-2025"
