"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"HFCL",66.05,66.99,64.05,66.26,64.25,-3.03,13934322,908099764.74,"08-Sep-2025"
"COFORGE",1780.2,1781,1732.1,1780.2,1737,-2.43,2702033,4727476936.8,"31-Oct-2025"
"BSE",2739.1,2749,2665.2,2737.5,2671.4,-2.41,3419371,9255826972.48,"23-May-2025"
"CUMMINSIND",4480,4537.2,4391.1,4503.2,4399.3,-2.31,259926,1160702152.26,"18-Jul-2025"
"CYIENT",1151,1151.9,1118,1144.7,1118.5,-2.29,726849,819544052.97,"24-Oct-2025"
"PERSISTENT",6487,6487,6338.5,6489,6353,-2.1,200947,1285196727.9,"14-Jul-2025"
"IEX",142.94,143.4,138.8,142.05,139.13,-2.06,3752961,526502898.69,"16-May-2025"
"BANDHANBNK",149.9,149.9,146.13,149.34,146.35,-2,3955280,583087377.6,"14-Aug-2025"
"HDFCAMC",2709,2724,2641.2,2709.3,2660.1,-1.82,1008479,2696087928.18,"26-Nov-2025"
"MPHASIS",2934,2945,2884.3,2938.4,2889,-1.68,351406,1023132625.24,"09-Jul-2025"
"GMRAIRPORT",105.22,105.69,102.96,104.89,103.2,-1.61,12397732,1293579356.88,"05-Sep-2024"
"ASHOKLEY",178.1,178.3,174.76,177.96,175.19,-1.56,8846615,1555323383.15,"18-Nov-2025"
"INDIGO",5155,5168,5047.5,5157,5077,-1.55,980384,5005350512,"13-Aug-2025"
"GLENMARK",2050,2054.9,2013.8,2047,2015.4,-1.54,579266,1172388042.72,"03-Oct-2025"
"UNITDSPR",1440.1,1444.6,1415.5,1441.8,1419.8,-1.53,499655,713552308.95,"01-Aug-2025"
"MANKIND",2239.9,2247.3,2187.1,2229.6,2196,-1.51,269610,595536136.8,"08-Aug-2025"
"ASTRAL",1419.9,1423,1392.2,1417,1395.6,-1.51,342797,480961330.85,"11-Nov-2025"
"FEDERALBNK",267,267.25,261.2,265.45,261.5,-1.49,5763276,1521043801.92,"22-Aug-2025"
"JINDALSTEL",1014.8,1014.8,997,1012.6,997.9,-1.45,617162,618920911.7,"22-Aug-2025"
"DIXON",12755,13180,12584,12832,12649,-1.43,754957,9758053261.67,"16-Sep-2025"
