,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,LTIM,EQ,N,6093.5,6003,1452805035.36,239568,44.5,0.74,6078,30-Dec-2025 16:00:28,6064.27
1,TCS,EQ,N,3267.5,3239.5,9126446033.59,2807593,3.5,0.11,3255,30-Dec-2025 16:00:28,3250.63
2,PERSISTENT,EQ,N,6279,6126.5,7619383408,1231316,6.5,0.10,6235,30-Dec-2025 16:00:28,6188
3,WIPRO,EQ,N,264.72,263.02,1350202527.17,5117699,0.07,0.03,264.31,30-Dec-2025 16:00:28,263.83
4,MPHASIS,EQ,N,2811,2773.2,861423402,308588,-12.3,-0.44,2800,30-Dec-2025 16:00:28,2791.5
5,HCLTECH,EQ,N,1635.7,1611.1,5383104070.86,3323273,-9.3,-0.57,1621.5,30-Dec-2025 16:00:28,1619.82
6,TECHM,EQ,N,1616.2,1599,3167128490.13,1973547,-9.6,-0.60,1602.8,30-Dec-2025 16:00:28,1604.79
7,OFSS,EQ,N,7717.5,7601,1062454741.92,139152,-66,-0.86,7625,30-Dec-2025 16:00:28,7635.21
8,COFORGE,EQ,N,1684.9,1633.3,13558511320,8204848,-14.9,-0.89,1668.4,30-Dec-2025 16:00:28,1652.5
9,INFY,EQ,N,1647.9,1616.8,15275068740.27,9395937,-21.2,-1.29,1623.5,30-Dec-2025 16:00:28,1625.71
