,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,HINDCOPPER,EQ,N,538.4,481,79485468074.73,153331407,43.55,8.93,531,30-Dec-2025 16:00:28,518.39
1,SAIL,EQ,N,141.8,133.54,5749971584.04,41245044,7.21,5.38,141.3,30-Dec-2025 16:00:28,139.41
2,NATIONALUM,EQ,N,318.85,298,7770114735.52,24881884,16.1,5.35,317,30-Dec-2025 16:00:28,312.28
3,JSL,EQ,N,848.05,786.95,2292170892.6,2773011,32.65,4.11,827.75,30-Dec-2025 16:00:28,826.6
4,NMDC,EQ,N,83.79,80.6,3343010495.76,40418456,2.59,3.20,83.43,30-Dec-2025 16:00:28,82.71
5,JINDALSTEL,EQ,N,1025.5,986.4,2124573023.1,2097101,30.2,3.05,1020.7,30-Dec-2025 16:00:28,1013.1
6,VEDL,EQ,N,607,591.15,8445113339.74,14079178,12.9,2.18,606,30-Dec-2025 16:00:28,599.83
7,HINDALCO,EQ,N,888.3,863.85,13475650711.2,15280248,18.3,2.12,883.3,30-Dec-2025 16:00:28,881.9
8,TATASTEEL,EQ,N,176.35,170.8,5883108308.88,33741158,3.38,1.96,175.68,30-Dec-2025 16:00:28,174.36
9,JSWSTEEL,EQ,N,1114,1089.5,1776479216.58,1609086,17.4,1.59,1110,30-Dec-2025 16:00:28,1104.03
10,HINDZINC,EQ,N,630,613.05,7308594144.96,11718688,7.3,1.18,625.85,30-Dec-2025 16:00:28,623.67
11,ADANIENT,EQ,N,2219,2195,2065575286.86,935026,12.6,0.57,2215.8,30-Dec-2025 16:00:28,2209.11
12,APLAPOLLO,EQ,N,1898,1870.3,1884893796.9,1000926,1.4,0.07,1890,30-Dec-2025 16:00:28,1883.15
13,WELCORP,EQ,N,826.9,786.2,937890697.68,1176009,-34,-4.11,792.9,30-Dec-2025 16:00:28,797.52
14,LLOYDSME,EQ,N,1390,1275.5,2964854558.25,2259195,-84.4,-6.08,1303,30-Dec-2025 16:00:28,1312.35
