,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,HEXT,EQ,N,769.9,735.6,205429533.99,271549,17.65,2.38,759,30-Dec-2025 16:00:28,756.51
1,IDEA,EQ,N,12.19,11.93,8113923134.28,674474076,0.15,1.25,12.11,30-Dec-2025 16:00:28,12.03
2,AFFLE,EQ,N,1805,1740.2,999971665.2,562515,21.2,1.21,1780,30-Dec-2025 16:00:28,1777.68
3,TATACOMM,EQ,N,1823.1,1774,731921894.19,404889,12,0.67,1812,30-Dec-2025 16:00:28,1807.71
4,INDUSTOWER,EQ,N,426.4,419.8,1933029478.38,4570566,1.7,0.40,423.95,30-Dec-2025 16:00:28,422.93
5,SONATSOFTW,EQ,N,363.5,352.5,262528559.55,731583,0.65,0.18,357.55,30-Dec-2025 16:00:28,358.85
6,PERSISTENT,EQ,N,6279,6126.5,7619383408,1231316,6.5,0.10,6235,30-Dec-2025 16:00:28,6188
7,CYIENT,EQ,N,1111.6,1076.3,1371792551.5,1255450,-3.5,-0.32,1101.5,30-Dec-2025 16:00:28,1092.67
8,MPHASIS,EQ,N,2811,2773.2,861423402,308588,-12.3,-0.44,2800,30-Dec-2025 16:00:28,2791.5
9,OFSS,EQ,N,7717.5,7601,1062454741.92,139152,-66,-0.86,7625,30-Dec-2025 16:00:28,7635.21
10,COFORGE,EQ,N,1684.9,1633.3,13558511320,8204848,-14.9,-0.89,1668.4,30-Dec-2025 16:00:28,1652.5
11,ZENSARTECH,EQ,N,715.05,686.6,380818632.09,546627,-8.1,-1.14,705,30-Dec-2025 16:00:28,696.67
12,HFCL,EQ,N,66.5,63.11,6163258336.34,95495171,-0.75,-1.16,64.1,30-Dec-2025 16:00:28,64.54
13,TATATECH,EQ,N,651.2,638,394381502.64,614244,-11.2,-1.72,640,30-Dec-2025 16:00:28,642.06
14,KPITTECH,EQ,N,1193.4,1160,567537573,485220,-21.4,-1.80,1166.8,30-Dec-2025 16:00:28,1169.65
15,LTTS,EQ,N,4549,4425,179329678.7,40070,-82.6,-1.83,4440,30-Dec-2025 16:00:28,4475.41
16,TATAELXSI,EQ,N,5342,5175.5,744246496.12,141898,-105,-1.98,5210.5,30-Dec-2025 16:00:28,5244.94
17,BHARTIHEXA,EQ,N,1848.5,1766.7,1246579340.16,699006,-41.6,-2.26,1800,30-Dec-2025 16:00:28,1783.36
18,BSOFT,EQ,N,438,422.25,403788401.08,942308,-10.55,-2.42,426,30-Dec-2025 16:00:28,428.51
19,INTELLECT,EQ,N,999.5,938.8,714716159.85,749815,-41.8,-4.19,955.7,30-Dec-2025 16:00:28,953.19
