,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,IOB,EQ,N,36.35,33.76,894310211.52,25327392,2.32,6.86,36.16,30-Dec-2025 16:00:28,35.31
1,MAHABANK,EQ,N,60.9,57.29,2400037943.84,40215113,2.78,4.81,60.55,30-Dec-2025 16:00:28,59.68
2,INDIANB,EQ,N,815.2,778.65,6414947652.75,7951593,22.65,2.89,807.1,30-Dec-2025 16:00:28,806.75
3,CANBK,EQ,N,154.5,149.12,11666233926.64,76140412,3.28,2.17,154.2,30-Dec-2025 16:00:28,153.22
4,BANKBARODA,EQ,N,293.8,285.5,3345470715.58,11505161,5.3,1.84,292.9,30-Dec-2025 16:00:28,290.78
5,CENTRALBK,EQ,N,37.2,36.25,185274936,5034645,0.55,1.50,37.13,30-Dec-2025 16:00:28,36.8
6,BANKINDIA,EQ,N,142.5,138.11,2157989437.82,15268073,2.09,1.49,142,30-Dec-2025 16:00:28,141.34
7,UCOBANK,EQ,N,28.99,28.29,201028707.38,7011814,0.42,1.47,28.93,30-Dec-2025 16:00:28,28.67
8,UNIONBANK,EQ,N,152.84,148.12,5203550521.42,34376366,1.81,1.21,150.96,30-Dec-2025 16:00:28,151.37
9,PSB,EQ,N,27.09,26.45,39737973.15,1479999,0.32,1.20,27.05,30-Dec-2025 16:00:28,26.85
10,PNB,EQ,N,122.77,119.49,3027297127.63,24856697,1.42,1.18,121.96,30-Dec-2025 16:00:28,121.79
11,SBIN,EQ,N,976.2,959.5,14609635661.56,15030644,8.05,0.83,973.1,30-Dec-2025 16:00:28,971.99
