,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,ANANTRAJ,EQ,N,548.4,524,1025904395.8,1917005,12.7,2.37,548.3,30-Dec-2025 16:00:28,535.16
1,PHOENIXLTD,EQ,N,1860.4,1829,624083337.36,337554,-1.8,-0.10,1850,30-Dec-2025 16:00:28,1848.84
2,LODHA,EQ,N,1068.7,1053,694989436.05,656685,-2.7,-0.25,1062,30-Dec-2025 16:00:28,1058.33
3,OBEROIRLTY,EQ,N,1675,1638.2,339016742.39,205339,-5.5,-0.33,1665,30-Dec-2025 16:00:28,1651.01
4,SOBHA,EQ,N,1473,1435.6,364835827.17,250917,-13.4,-0.91,1455,30-Dec-2025 16:00:28,1454.01
5,PRESTIGE,EQ,N,1592,1555.7,906350307.9,576889,-15,-0.94,1576,30-Dec-2025 16:00:28,1571.1
6,DLF,EQ,N,686.7,676.2,1169138213.78,1717351,-6.75,-0.98,682,30-Dec-2025 16:00:28,680.78
7,BRIGADE,EQ,N,878,863.8,81862065.18,94023,-8.8,-1.00,870,30-Dec-2025 16:00:28,870.66
8,GODREJPROP,EQ,N,1995.7,1971,815211980.81,411451,-20.7,-1.04,1977.1,30-Dec-2025 16:00:28,1981.31
9,SIGNATURE,EQ,N,1135.8,1110.5,299053502.33,265771,-19.2,-1.69,1115,30-Dec-2025 16:00:28,1125.23
