,Symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,%chng
0,HFCL,EQ,62.0,68.04,61.34,64.49,61.47,4.91,171871693,112318.15137549999,N,08-Sep-2025,Dividend - Re 0.10 Per Share,4.91
1,HUDCO,EQ,222.95,227.7,222.22,227.51,221.63,2.65,10244849,23071.399948000002,N,19-Nov-2025,Interim Dividend - Re 1 Per Share,2.65
2,TATASTEEL,EQ,169.51,174.13,169.29,172.3,169.12,1.88,48001907,82913.6939611,N,06-Jun-2025,Dividend - Rs 3.60 Per Share,1.88
3,HINDPETRO,EQ,468.5,475.95,466.9,475.95,467.7,1.76,1617182,7643.4490048,N,06-Nov-2025,Interim Dividend - Rs 5 Per Share,1.76
4,TATACONSUM,EQ,1174.0,1200.9,1170.5,1194.4,1175.7,1.59,1806020,21459.671446,N,29-May-2025,Dividend - Rs 8.25 Per Share,1.59
5,SAIL,EQ,132.9,138.8,132.9,134.2,132.32,1.42,44684863,60749.071248500004,N,08-Sep-2025,Dividend - Rs 1.60 Per Share,1.42
6,NCC,EQ,158.22,163.1,157.07,160.3,158.11,1.39,6890561,11079.3330319,N,14-Aug-2025,Dividend - Rs 2.20 Per Share,1.39
7,BPCL,EQ,366.0,372.0,364.8,371.0,366.0,1.37,4666863,17254.7925699,N,07-Nov-2025,Interim Dividend - Rs 7.50 Per Share,1.37
8,AUBANK,EQ,972.5,988.5,967.0,987.9,974.95,1.33,997808,9776.423003200001,N,04-Jul-2025,Dividend - Re 1 Per Share,1.33
9,SAMMAANCAP,EQ,140.0,143.43,139.23,141.74,139.88,1.33,12880656,18278.9389296,N,20-Sep-2024,Dividend - Rs 2 Per Share,1.33
10,MARICO,EQ,745.0,755.0,743.0,753.0,743.3,1.3,1469144,11012.8503384,N,01-Aug-2025,Dividend - Rs 7 Per Share,1.3
11,CUMMINSIND,EQ,4340.0,4453.3,4316.0,4400.3,4346.4,1.24,477997,21042.861931,N,18-Jul-2025,Dividend - Rs 33.50 Per Share,1.24
12,IOC,EQ,159.56,162.8,159.53,162.1,160.3,1.12,8219066,13281.1887494,N,18-Dec-2025,Interim Dividend - Rs 5 Per Share,1.12
13,ASIANPAINT,EQ,2746.5,2793.8,2735.0,2775.0,2746.5,1.04,815529,22539.7536078,N,18-Nov-2025,Interim Dividend - Rs 4.50 Per Share,1.04
14,TITAGARH,EQ,899.1,922.0,891.0,907.0,897.75,1.03,4418480,40087.101648,N,08-Sep-2025,Dividend - Re 1 Per Share,1.03
15,GRASIM,EQ,2821.0,2850.0,2812.5,2846.0,2817.7,1.0,607462,17237.4024582,N,12-Aug-2025,Dividend - Rs 10 Per Share,1.0
16,INDIANB,EQ,778.4,789.5,774.35,784.9,778.45,0.83,1110856,8698.8911648,N,10-Jun-2025,Dividend - Rs 16.25 Per Share,0.83
17,KEI,EQ,4367.4,4433.2,4350.1,4400.0,4367.4,0.75,212176,9337.33532,N,27-Jan-2025,Interim Dividend - Rs 4 Per Share,0.75
18,OIL,EQ,403.0,408.1,401.1,405.75,402.75,0.74,893809,3625.7362085000004,N,21-Nov-2025,Interim Dividend - Rs 3.50 Per Share,0.74
19,CANBK,EQ,150.06,152.1,149.77,151.09,150.07,0.68,19512200,29385.3732,N,13-Jun-2025,Dividend - Rs 4 Per Share,0.68
