,Symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,%chng
0,AMBER,EQ,6499.0,6516.5,6242.0,6285.0,6493.0,-3.2,499737,31686.0243798,N,02-Aug-2024,Annual General Meeting,-3.2
1,MAZDOCK,EQ,2548.0,2548.0,2420.0,2474.0,2537.3,-2.49,3680047,90572.21274989999,N,04-Nov-2025,Interim Dividend - Rs 6 Per Share,-2.49
2,VOLTAS,EQ,1377.0,1378.8,1346.4,1348.2,1380.1,-2.31,367193,4992.9435368,N,20-Jun-2025,Dividend - Rs 7 Per Share,-2.31
3,ETERNAL,EQ,282.5,282.5,275.35,276.6,282.85,-2.21,37816382,104913.9885826,N,-,-,-2.21
4,IRCTC,EQ,696.5,696.8,678.35,683.9,699.2,-2.19,2182868,14936.0560032,N,21-Nov-2025,Interim Dividend - Rs 5 Per Share,-2.19
5,INOXWIND,EQ,124.6,124.73,121.6,121.99,124.66,-2.14,8691889,10668.4245586,N,29-Jul-2025,Rights 5:78 @ Premium Rs 110/-,-2.14
6,POLICYBZR,EQ,1895.0,1899.6,1846.3,1861.9,1902.5,-2.13,1770989,32932.6030484,N,-,-,-2.13
7,RVNL,EQ,369.9,373.05,358.1,360.0,367.6,-2.07,23158835,84650.173692,N,21-Aug-2025,Dividend - Rs 1.72 Per Share,-2.07
8,BAJAJHLDNG,EQ,11236.0,11420.0,10913.0,11024.0,11250.0,-2.01,81987,9085.2582258,N,22-Sep-2025,Interim Dividend - Rs 65 Per Share,-2.01
9,TATAELXSI,EQ,5318.0,5342.0,5175.5,5210.5,5315.5,-1.98,141898,7442.4649612,N,11-Jun-2025,Dividend - Rs 75 Per Share,-1.98
10,EICHERMOT,EQ,7272.0,7312.0,7132.5,7132.5,7272.0,-1.92,1976062,142657.64635979998,N,01-Aug-2025,Dividend - Rs 70 Per Share,-1.92
11,SYNGENE,EQ,655.55,655.55,638.0,643.0,655.55,-1.91,353685,2282.1524625,N,27-Jun-2025,Dividend - Rs 1.25 Per Share,-1.91
12,MARICO,EQ,753.4,753.6,736.35,739.0,753.1,-1.87,3422069,25404.755842199997,N,01-Aug-2025,Dividend - Rs 7 Per Share,-1.87
13,CDSL,EQ,1459.0,1466.9,1421.0,1436.2,1463.5,-1.87,2130446,30623.243848600003,N,07-Aug-2025,Dividend - Rs 12.50 Per Share,-1.87
14,KPITTECH,EQ,1183.0,1193.4,1160.0,1166.8,1188.2,-1.8,485220,5675.37573,N,28-Jul-2025,Dividend - Rs 6 Per Share,-1.8
15,TATACONSUM,EQ,1200.7,1201.8,1171.1,1173.8,1195.2,-1.79,2256987,26671.2667764,N,29-May-2025,Dividend - Rs 8.25 Per Share,-1.79
16,PGEL,EQ,571.0,576.0,559.65,564.0,574.05,-1.75,3297672,18607.7737944,N,19-Sep-2025,Dividend - Rs 0.25 Per Share,-1.75
17,TATATECH,EQ,650.1,651.2,638.0,640.0,651.2,-1.72,614244,3943.8150264,N,16-Jun-2025,Dividend - Rs 8.35 Per Share & Special Dividend - Rs 3.35 Per Share,-1.72
18,ANGELONE,EQ,2406.7,2415.9,2325.0,2369.0,2410.2,-1.71,2650632,62156.5252104,N,30-May-2025,Dividend - Rs 26 Per Share,-1.71
19,MAXHEALTH,EQ,1069.0,1069.0,1032.0,1046.6,1064.1,-1.64,11581446,120520.0015098,N,04-Jul-2025,Dividend - Rs 1.50 Per Share,-1.64
