,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,WOCKPHARMA,EQ,N,1467.9,1373,3129308689.92,2189568,70.8,5.15,1445,31-Dec-2025 16:00:29,1429.19
1,GLAXO,EQ,N,2482.5,2382,277493050.8,114120,91.8,3.85,2476,31-Dec-2025 16:00:29,2431.59
2,GLAND,EQ,N,1729,1653.3,258495590.6,151190,57.3,3.44,1725,31-Dec-2025 16:00:29,1709.74
3,METROPOLIS,EQ,N,1932.6,1849.5,47853482.08,25006,62.2,3.35,1921.1,31-Dec-2025 16:00:29,1913.68
4,NH,EQ,N,1902,1825.4,758783185.44,404432,60.1,3.28,1890,31-Dec-2025 16:00:29,1876.17
5,POLYMED,EQ,N,1803.8,1683.1,618580972.36,354094,51.4,3.03,1750.1,31-Dec-2025 16:00:29,1746.94
6,MEDANTA,EQ,N,1188.7,1150.1,120281086.82,102742,33.7,2.93,1185,31-Dec-2025 16:00:29,1170.71
7,JUBLPHARMA,EQ,N,1079,1037,158428575,148550,30.2,2.90,1071,31-Dec-2025 16:00:29,1066.5
8,CAPLIPOINT,EQ,N,1849.7,1783,165951828.25,90935,44.3,2.47,1835,31-Dec-2025 16:00:29,1824.95
9,IPCALAB,EQ,N,1452.6,1386,481606018.5,337075,30.9,2.23,1417.1,31-Dec-2025 16:00:29,1428.78
10,ONESOURCE,EQ,N,1824,1736.6,367364185.65,204449,36.6,2.06,1810,31-Dec-2025 16:00:29,1796.85
11,NEULANDLAB,EQ,N,15301,14842,565070161.94,37579,281,1.88,15210,31-Dec-2025 16:00:29,15036.86
12,MANKIND,EQ,N,2206.9,2150,472764544.32,215961,38.4,1.78,2190.9,31-Dec-2025 16:00:29,2189.12
13,AJANTPHARM,EQ,N,2777.6,2710,212861106.71,77063,47.1,1.73,2774,31-Dec-2025 16:00:29,2762.17
14,LALPATHLAB,EQ,N,1487,1438.5,293057270.48,199004,25,1.71,1483,31-Dec-2025 16:00:29,1472.62
15,LAURUSLABS,EQ,N,1119,1083.9,1750646160.6,1585443,18,1.65,1109.9,31-Dec-2025 16:00:29,1104.2
16,KIMS,EQ,N,616,600,159754408.72,262888,9.1,1.51,610.95,31-Dec-2025 16:00:29,607.69
17,ZYDUSLIFE,EQ,N,915.7,902,349541892.78,383442,12.55,1.39,914,31-Dec-2025 16:00:29,911.59
18,LUPIN,EQ,N,2115.7,2077.8,1356398678.7,645858,27.6,1.33,2108,31-Dec-2025 16:00:29,2100.15
19,AGARWALEYE,EQ,N,509.95,502.5,21520189.62,42411,6.3,1.25,508.8,31-Dec-2025 16:00:29,507.42
20,VIJAYA,EQ,N,1066.35,1041.6,58931545.88,55703,12.95,1.24,1061,31-Dec-2025 16:00:29,1057.96
21,JBCHEPHARM,EQ,N,1821,1792,264329488.29,145499,19.7,1.09,1820,31-Dec-2025 16:00:29,1816.71
22,CIPLA,EQ,N,1513.6,1490.1,1328600898,883966,15.6,1.05,1508.1,31-Dec-2025 16:00:29,1503
23,ASTRAZEN,EQ,N,9075,8820,46460904.97,5189,86.5,0.97,9005,31-Dec-2025 16:00:29,8953.73
24,ABBOTINDIA,EQ,N,29250,28600,160406770.16,5558,275,0.96,28955,31-Dec-2025 16:00:29,28860.52
25,ERIS,EQ,N,1515,1484.1,84111936.9,56041,14.1,0.94,1514.3,31-Dec-2025 16:00:29,1500.9
26,SYNGENE,EQ,N,653.75,641.7,141959800.29,218477,5.6,0.87,649.35,31-Dec-2025 16:00:29,649.77
27,PFIZER,EQ,N,5011.4,4920,61962245.64,12436,42.4,0.86,4969,31-Dec-2025 16:00:29,4982.49
28,APLLTD,EQ,N,851,835.1,31662732.4,37544,6.95,0.83,843.6,31-Dec-2025 16:00:29,843.35
29,ASTERDM,EQ,N,620.05,606.6,332729427.14,541402,4.7,0.77,616.05,31-Dec-2025 16:00:29,614.57
30,BIOCON,EQ,N,394.95,388.15,486981213.54,1242838,3,0.77,393.4,31-Dec-2025 16:00:29,391.83
31,APOLLOHOSP,EQ,N,7053.5,6955,1587443810.06,226286,49,0.70,7039,31-Dec-2025 16:00:29,7015.21
32,FORTIS,EQ,N,888.85,875.3,821184129.6,929120,5.95,0.68,884.75,31-Dec-2025 16:00:29,883.83
33,TORNTPHARM,EQ,N,3856.9,3791.3,582166498.65,151815,24.5,0.64,3846.6,31-Dec-2025 16:00:29,3834.71
34,DIVISLAB,EQ,N,6499.5,6366,1747379681.6,273233,37.5,0.59,6398,31-Dec-2025 16:00:29,6395.2
35,DRREDDY,EQ,N,1273.9,1260,835458985.94,658106,7.2,0.57,1273,31-Dec-2025 16:00:29,1269.49
36,NATCOPHARM,EQ,N,908,897.75,226545644.8,250870,4.75,0.53,902,31-Dec-2025 16:00:29,903.04
