,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,DEEPAKFERT,EQ,N,1312.8,1233,4124867601.36,3216572,81,6.70,1290,31-Dec-2025 16:00:29,1282.38
1,PCBL,EQ,N,308,286.15,1705488340.91,5634439,16.55,5.80,301.95,31-Dec-2025 16:00:29,302.69
2,TATACHEM,EQ,N,770.85,748.4,280244723.23,366539,18.55,2.48,766.95,31-Dec-2025 16:00:29,764.57
3,CHAMBLFERT,EQ,N,485.95,473.25,483660916.72,1007459,10.35,2.19,482.5,31-Dec-2025 16:00:29,480.08
4,PIDILITIND,EQ,N,1489,1450,894245712.12,605718,31.2,2.15,1482.1,31-Dec-2025 16:00:29,1476.34
5,SOLARINDS,EQ,N,12366,12129,2149942878,175391,236,1.96,12264,31-Dec-2025 16:00:29,12258
6,ATUL,EQ,N,6159,6030,126266818.95,20597,110.5,1.83,6150,31-Dec-2025 16:00:29,6130.35
7,AARTIIND,EQ,N,375.85,369.5,153147781.08,410166,6.25,1.70,374.35,31-Dec-2025 16:00:29,373.38
8,PIIND,EQ,N,3258,3184,385067990.74,119246,51.1,1.60,3235,31-Dec-2025 16:00:29,3229.19
9,COROMANDEL,EQ,N,2340,2252.7,1242666822.61,541111,31.5,1.41,2268,31-Dec-2025 16:00:29,2296.51
10,SRF,EQ,N,3115.8,3040.2,673583330.25,219075,29.4,0.97,3067.7,31-Dec-2025 16:00:29,3074.67
11,BAYERCROP,EQ,N,4573,4510.6,78863470.92,17316,41.5,0.92,4555.6,31-Dec-2025 16:00:29,4554.37
12,SUMICHEM,EQ,N,471.9,462.6,48643158.72,103792,3.9,0.84,467.35,31-Dec-2025 16:00:29,468.66
13,LINDEINDIA,EQ,N,5970,5893,101150614.7,17026,45,0.76,5950,31-Dec-2025 16:00:29,5940.95
14,UPL,EQ,N,801,786.05,2418288009.02,3039998,5.7,0.72,793.05,31-Dec-2025 16:00:29,795.49
15,DEEPAKNTR,EQ,N,1749.9,1726,100161805.38,57666,-1.5,-0.09,1732.8,31-Dec-2025 16:00:29,1736.93
16,FLUOROCHEM,EQ,N,3690,3645,952260849.78,259793,-8.1,-0.22,3670,31-Dec-2025 16:00:29,3665.46
17,SWANCORP,EQ,N,477.05,468,359567451.4,760780,-2.5,-0.53,468.65,31-Dec-2025 16:00:29,472.63
18,HSCL,EQ,N,493.4,485.35,439371600.36,897666,-3.25,-0.66,486,31-Dec-2025 16:00:29,489.46
19,NAVINFLUOR,EQ,N,6165,5870,1541020946.85,258489,-221,-3.60,5915.5,31-Dec-2025 16:00:29,5961.65
