,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,PGEL,EQ,N,582.45,560.15,1197264802.8,2081910,14.5,2.58,576.55,31-Dec-2025 16:00:29,575.08
1,DIXON,EQ,N,12239,11755,11491878483.7,954154,294,2.50,12061,31-Dec-2025 16:00:29,12044.05
2,TITAN,EQ,N,4061.9,3975.1,5499531659.05,1358731,73.9,1.86,4048,31-Dec-2025 16:00:29,4047.55
3,CENTURYPLY,EQ,N,835.5,803.9,41468879.72,50108,15,1.85,827,31-Dec-2025 16:00:29,827.59
4,AMBER,EQ,N,6428.5,6251,1207462899.5,190390,115,1.84,6379.5,31-Dec-2025 16:00:29,6342.05
5,CERA,EQ,N,5249,5139.5,62695589.32,12038,81,1.57,5239,31-Dec-2025 16:00:29,5208.14
6,WHIRLPOOL,EQ,N,908.5,884,475695563.75,531355,11.3,1.27,900,31-Dec-2025 16:00:29,895.25
7,BLUESTARCO,EQ,N,1744.5,1688,318201813.91,184871,21.5,1.26,1729.5,31-Dec-2025 16:00:29,1721.21
8,VOLTAS,EQ,N,1375,1343.7,444224452.1,326590,10.8,0.80,1361.5,31-Dec-2025 16:00:29,1360.19
9,BATAINDIA,EQ,N,947,936,44401175,47110,6.95,0.74,945,31-Dec-2025 16:00:29,942.5
10,HAVELLS,EQ,N,1430,1410.8,309123383.87,217229,8.4,0.59,1421.4,31-Dec-2025 16:00:29,1423.03
11,KALYANKJIL,EQ,N,489.3,482.7,536025625.76,1102888,2.85,0.59,484.7,31-Dec-2025 16:00:29,486.02
12,CROMPTON,EQ,N,253.6,247.5,843148562.49,3355281,0.4,0.16,252,31-Dec-2025 16:00:29,251.29
13,KAJARIACER,EQ,N,977.9,964.4,217392902.71,224489,-3.4,-0.35,965,31-Dec-2025 16:00:29,968.39
14,VGUARD,EQ,N,330.4,326.4,33571263.69,102261,-1.15,-0.35,327.5,31-Dec-2025 16:00:29,328.29
