,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,LTF,EQ,N,316.6,302.45,3022187127.36,9647536,10.55,3.45,316,31-Dec-2025 16:00:29,313.26
1,MFSL,EQ,N,1683.4,1636,1159765929.63,695541,41.8,2.56,1676.2,31-Dec-2025 16:00:29,1667.43
2,SBICARD,EQ,N,865.45,842,944110433.25,1099785,18.6,2.21,862,31-Dec-2025 16:00:29,858.45
3,BSE,EQ,N,2651.9,2595,6362746470.7,2415713,56.2,2.18,2637.2,31-Dec-2025 16:00:29,2633.9
4,MCX,EQ,N,11198,10985,4869762185.5,437650,236,2.17,11125,31-Dec-2025 16:00:29,11127.07
5,ICICIPRULI,EQ,N,669.5,654.8,1031773725.69,1551003,12.4,1.89,667.25,31-Dec-2025 16:00:29,665.23
6,ABCAPITAL,EQ,N,359.65,349.05,2484297464.4,6976404,6.3,1.80,355.6,31-Dec-2025 16:00:29,356.1
7,SBILIFE,EQ,N,2043.5,1992.5,1522931696.34,751134,36,1.80,2031.5,31-Dec-2025 16:00:29,2027.51
8,SHRIRAMFIN,EQ,N,1000.2,979.4,9720565838.5,9795995,17.4,1.78,996.8,31-Dec-2025 16:00:29,992.3
9,RECLTD,EQ,N,362,351.55,2094978239.82,5847158,6.1,1.74,357.5,31-Dec-2025 16:00:29,358.29
10,HDFCAMC,EQ,N,2682,2639.9,1341977863.41,502461,44.8,1.70,2675,31-Dec-2025 16:00:29,2670.81
11,PFC,EQ,N,358.55,349.55,1748609856.56,4910584,5.7,1.63,355.05,31-Dec-2025 16:00:29,356.09
12,IEX,EQ,N,135.49,132.2,569707880.98,4234487,2.15,1.63,134.16,31-Dec-2025 16:00:29,134.54
13,CAMS,EQ,N,745,735.5,438552214.8,592158,9.2,1.26,741,31-Dec-2025 16:00:29,740.6
14,JIOFIN,EQ,N,296.9,292.6,1929875828,6540400,2.5,0.85,295,31-Dec-2025 16:00:29,295.07
15,CDSL,EQ,N,1456,1435,1654438300,1144940,11.8,0.82,1445.7,31-Dec-2025 16:00:29,1445
16,HDFCLIFE,EQ,N,752,744.2,1875457996.5,2503615,6.05,0.81,749.05,31-Dec-2025 16:00:29,749.1
17,LICI,EQ,N,859.45,846,384772511.12,449879,5.85,0.69,855.1,31-Dec-2025 16:00:29,855.28
18,PNBHOUSING,EQ,N,957,942.05,483075153.49,508709,6.1,0.65,951,31-Dec-2025 16:00:29,949.61
19,BAJAJFINSV,EQ,N,2046.3,2010.4,2794623947.36,1377422,11.6,0.57,2038,31-Dec-2025 16:00:29,2028.88
20,ICICIGI,EQ,N,1969.8,1941.4,514708073.34,262641,6,0.31,1961,31-Dec-2025 16:00:29,1959.74
21,MUTHOOTFIN,EQ,N,3859,3780.7,1275493948.19,334171,10.5,0.28,3809.6,31-Dec-2025 16:00:29,3816.89
22,PAYTM,EQ,N,1314.8,1294.3,1580390179.5,1213575,2.4,0.19,1297,31-Dec-2025 16:00:29,1302.26
23,IRFC,EQ,N,127.5,124.39,3391333668.26,27013969,0.16,0.13,124.75,31-Dec-2025 16:00:29,125.54
24,LICHSGFIN,EQ,N,541.55,533.6,607664467.95,1129215,0.55,0.10,538.15,31-Dec-2025 16:00:29,538.13
25,CHOLAFIN,EQ,N,1712.8,1688.5,1202265565.6,707240,-1.4,-0.08,1700.1,31-Dec-2025 16:00:29,1699.94
26,360ONE,EQ,N,1198,1170.2,423481499.74,357058,-2.4,-0.20,1189.2,31-Dec-2025 16:00:29,1186.03
27,BAJFINANCE,EQ,N,994.2,978.4,9738627875.9,9895270,-2.8,-0.28,986.5,31-Dec-2025 16:00:29,984.17
28,ANGELONE,EQ,N,2395,2331,2169760663.5,923550,-12,-0.51,2335.1,31-Dec-2025 16:00:29,2349.37
29,POLICYBZR,EQ,N,1874.9,1810,1466199617.08,801548,-28.9,-1.55,1830,31-Dec-2025 16:00:29,1829.21
