,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,KOTAKBANK,EQ,N,2205.4,2155.7,6255729843.3,2856889,50.3,2.34,2203,31-Dec-2025 16:00:29,2189.7
1,SBICARD,EQ,N,865.45,842,944110433.25,1099785,18.6,2.21,862,31-Dec-2025 16:00:29,858.45
2,BSE,EQ,N,2651.9,2595,6362746470.7,2415713,56.2,2.18,2637.2,31-Dec-2025 16:00:29,2633.9
3,ICICIPRULI,EQ,N,669.5,654.8,1031773725.69,1551003,12.4,1.89,667.25,31-Dec-2025 16:00:29,665.23
4,AXISBANK,EQ,N,1271.5,1245,4694528850,3711090,22.7,1.82,1268.7,31-Dec-2025 16:00:29,1265
5,SBILIFE,EQ,N,2043.5,1992.5,1522931696.34,751134,36,1.80,2031.5,31-Dec-2025 16:00:29,2027.51
6,SHRIRAMFIN,EQ,N,1000.2,979.4,9720565838.5,9795995,17.4,1.78,996.8,31-Dec-2025 16:00:29,992.3
7,RECLTD,EQ,N,362,351.55,2094978239.82,5847158,6.1,1.74,357.5,31-Dec-2025 16:00:29,358.29
8,PFC,EQ,N,358.55,349.55,1748609856.56,4910584,5.7,1.63,355.05,31-Dec-2025 16:00:29,356.09
9,SBIN,EQ,N,985.65,973.5,5703034583.7,5807630,8.95,0.92,982.4,31-Dec-2025 16:00:29,981.99
10,JIOFIN,EQ,N,296.9,292.6,1929875828,6540400,2.5,0.85,295,31-Dec-2025 16:00:29,295.07
11,HDFCLIFE,EQ,N,752,744.2,1875457996.5,2503615,6.05,0.81,749.05,31-Dec-2025 16:00:29,749.1
12,BAJAJFINSV,EQ,N,2046.3,2010.4,2794623947.36,1377422,11.6,0.57,2038,31-Dec-2025 16:00:29,2028.88
13,ICICIGI,EQ,N,1969.8,1941.4,514708073.34,262641,6,0.31,1961,31-Dec-2025 16:00:29,1959.74
14,MUTHOOTFIN,EQ,N,3859,3780.7,1275493948.19,334171,10.5,0.28,3809.6,31-Dec-2025 16:00:29,3816.89
15,HDFCBANK,EQ,N,997.6,987.6,10882434074.94,10963454,2,0.20,992.9,31-Dec-2025 16:00:29,992.61
16,LICHSGFIN,EQ,N,541.55,533.6,607664467.95,1129215,0.55,0.10,538.15,31-Dec-2025 16:00:29,538.13
17,ICICIBANK,EQ,N,1350,1339.5,8268666324.24,6150634,0.5,0.04,1343,31-Dec-2025 16:00:29,1344.36
18,CHOLAFIN,EQ,N,1712.8,1688.5,1202265565.6,707240,-1.4,-0.08,1700.1,31-Dec-2025 16:00:29,1699.94
19,BAJFINANCE,EQ,N,994.2,978.4,9738627875.9,9895270,-2.8,-0.28,986.5,31-Dec-2025 16:00:29,984.17
