,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,MARICO,EQ,N,752.7,737.7,433066647.14,578363,11.6,1.57,750.7,31-Dec-2025 16:00:29,748.78
1,UNITDSPR,EQ,N,1447,1412.3,1099631575.35,765435,21,1.47,1444.8,31-Dec-2025 16:00:29,1436.61
2,DABUR,EQ,N,509.9,494.9,1207319559.2,2391679,6.7,1.35,502.35,31-Dec-2025 16:00:29,504.8
3,HINDUNILVR,EQ,N,2325.5,2286.8,3064721799.2,1324220,26.8,1.17,2317,31-Dec-2025 16:00:29,2314.36
4,VBL,EQ,N,491.45,483.55,2468793988.87,5050001,5.55,1.15,490,31-Dec-2025 16:00:29,488.87
5,UBL,EQ,N,1625,1599,57604307.16,35682,18.4,1.15,1625,31-Dec-2025 16:00:29,1614.38
6,COLPAL,EQ,N,2079.7,2053.1,677345189.76,327024,23.7,1.15,2077.1,31-Dec-2025 16:00:29,2071.24
7,GODREJCP,EQ,N,1234.6,1208.2,1666286404.9,1360567,12.8,1.06,1225,31-Dec-2025 16:00:29,1224.7
8,NESTLEIND,EQ,N,1294.3,1270.4,950330030.91,738631,12.9,1.01,1287,31-Dec-2025 16:00:29,1286.61
9,TATACONSUM,EQ,N,1195.1,1172.6,1141621701.3,960678,11.1,0.94,1190.1,31-Dec-2025 16:00:29,1188.35
10,ITC,EQ,N,403.75,400.85,4005889905.2,9945109,2.1,0.52,402.7,31-Dec-2025 16:00:29,402.8
11,BRITANNIA,EQ,N,6070,5995,1084463707.23,179577,14,0.23,6027,31-Dec-2025 16:00:29,6038.99
12,EMAMILTD,EQ,N,532.6,520.1,1317563976.96,2487096,0.85,0.16,529,31-Dec-2025 16:00:29,529.76
13,PATANJALI,EQ,N,547.75,529.45,650169939.9,1204710,-1.05,-0.19,545.25,31-Dec-2025 16:00:29,539.69
14,RADICO,EQ,N,3390,3254.5,1094794068,331304,-81,-2.40,3295,31-Dec-2025 16:00:29,3304.5
