,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,NAZARA,EQ,N,275.25,265.1,1877799494.9,6939905,9.85,3.72,274.35,31-Dec-2025 16:00:29,270.58
1,TIPSMUSIC,EQ,N,555.9,533.25,60712216.2,111105,13.8,2.57,550.1,31-Dec-2025 16:00:29,546.44
2,PVRINOX,EQ,N,1019,996,248771483.04,245948,19.5,1.96,1015,31-Dec-2025 16:00:29,1011.48
3,SUNTV,EQ,N,590.4,575.4,117708112.28,200689,10.8,1.88,586,31-Dec-2025 16:00:29,586.52
4,NETWORK18,EQ,N,43.66,42.75,83666093.06,1930459,0.54,1.26,43.29,31-Dec-2025 16:00:29,43.34
5,ZEEL,EQ,N,90.7,89.81,470253001.44,5220393,0.32,0.36,90,31-Dec-2025 16:00:29,90.08
6,HATHWAY,EQ,N,12.55,12.35,23908257.14,1917262,0.04,0.32,12.43,31-Dec-2025 16:00:29,12.47
7,SAREGAMA,EQ,N,354.55,347.05,313371872,890261,0.8,0.23,351.95,31-Dec-2025 16:00:29,352
8,DBCORP,EQ,N,266,260.6,9802585.63,37217,-0.9,-0.34,261.2,31-Dec-2025 16:00:29,263.39
9,PFOCUS,EQ,N,243.99,233.1,483024173.76,2013104,-6.96,-2.88,234.9,31-Dec-2025 16:00:29,239.94
