,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,WOCKPHARMA,EQ,N,1467.9,1373,3129308689.92,2189568,70.8,5.15,1445,31-Dec-2025 16:00:29,1429.19
1,GLAXO,EQ,N,2482.5,2382,277493050.8,114120,91.8,3.85,2476,31-Dec-2025 16:00:29,2431.59
2,GLAND,EQ,N,1729,1653.3,258495590.6,151190,57.3,3.44,1725,31-Dec-2025 16:00:29,1709.74
3,NH,EQ,N,1902,1825.4,758783185.44,404432,60.1,3.28,1890,31-Dec-2025 16:00:29,1876.17
4,POLYMED,EQ,N,1803.8,1683.1,618580972.36,354094,51.4,3.03,1750.1,31-Dec-2025 16:00:29,1746.94
5,MEDANTA,EQ,N,1188.7,1150.1,120281086.82,102742,33.7,2.93,1185,31-Dec-2025 16:00:29,1170.71
6,IPCALAB,EQ,N,1452.6,1386,481606018.5,337075,30.9,2.23,1417.1,31-Dec-2025 16:00:29,1428.78
7,ONESOURCE,EQ,N,1824,1736.6,367364185.65,204449,36.6,2.06,1810,31-Dec-2025 16:00:29,1796.85
8,NEULANDLAB,EQ,N,15301,14842,565070161.94,37579,281,1.88,15210,31-Dec-2025 16:00:29,15036.86
9,MANKIND,EQ,N,2206.9,2150,472764544.32,215961,38.4,1.78,2190.9,31-Dec-2025 16:00:29,2189.12
10,AJANTPHARM,EQ,N,2777.6,2710,212861106.71,77063,47.1,1.73,2774,31-Dec-2025 16:00:29,2762.17
11,LALPATHLAB,EQ,N,1487,1438.5,293057270.48,199004,25,1.71,1483,31-Dec-2025 16:00:29,1472.62
12,LAURUSLABS,EQ,N,1119,1083.9,1750646160.6,1585443,18,1.65,1109.9,31-Dec-2025 16:00:29,1104.2
13,KIMS,EQ,N,616,600,159754408.72,262888,9.1,1.51,610.95,31-Dec-2025 16:00:29,607.69
14,LUPIN,EQ,N,2115.7,2077.8,1356398678.7,645858,27.6,1.33,2108,31-Dec-2025 16:00:29,2100.15
15,JBCHEPHARM,EQ,N,1821,1792,264329488.29,145499,19.7,1.09,1820,31-Dec-2025 16:00:29,1816.71
16,ABBOTINDIA,EQ,N,29250,28600,160406770.16,5558,275,0.96,28955,31-Dec-2025 16:00:29,28860.52
17,SYNGENE,EQ,N,653.75,641.7,141959800.29,218477,5.6,0.87,649.35,31-Dec-2025 16:00:29,649.77
18,PFIZER,EQ,N,5011.4,4920,61962245.64,12436,42.4,0.86,4969,31-Dec-2025 16:00:29,4982.49
19,BIOCON,EQ,N,394.95,388.15,486981213.54,1242838,3,0.77,393.4,31-Dec-2025 16:00:29,391.83
20,ASTERDM,EQ,N,620.05,606.6,332729427.14,541402,4.7,0.77,616.05,31-Dec-2025 16:00:29,614.57
21,FORTIS,EQ,N,888.85,875.3,821184129.6,929120,5.95,0.68,884.75,31-Dec-2025 16:00:29,883.83
22,NATCOPHARM,EQ,N,908,897.75,226545644.8,250870,4.75,0.53,902,31-Dec-2025 16:00:29,903.04
23,GRANULES,EQ,N,601.8,593,224175977.04,374964,2.55,0.43,600.95,31-Dec-2025 16:00:29,597.86
24,GLENMARK,EQ,N,2048.4,2025.7,734369610.24,360664,6.6,0.33,2036.4,31-Dec-2025 16:00:29,2036.16
25,PPLPHARMA,EQ,N,173.49,171.09,250740609.04,1455932,0.26,0.15,171.56,31-Dec-2025 16:00:29,172.22
26,AUROPHARMA,EQ,N,1193.8,1178,1100870842.64,928856,1.1,0.09,1187.4,31-Dec-2025 16:00:29,1185.19
27,RAINBOW,EQ,N,1325,1306.2,63840480.06,48426,1.1,0.08,1319.2,31-Dec-2025 16:00:29,1318.31
28,ALKEM,EQ,N,5528.5,5426.5,205999950.39,37479,1,0.02,5470,31-Dec-2025 16:00:29,5496.41
29,COHANCE,EQ,N,531,526,32142825,60750,0,0.00,527.5,31-Dec-2025 16:00:29,529.1
