,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,LTF,EQ,N,316.6,302.45,3022187127.36,9647536,10.55,3.45,316,31-Dec-2025 16:00:29,313.26
1,INDIANB,EQ,N,840.4,806.5,3038581339.43,3654469,27.8,3.44,836.8,31-Dec-2025 16:00:29,831.47
2,INDUSINDBK,EQ,N,869.6,836.55,2483893001.6,2887744,24,2.85,865.5,31-Dec-2025 16:00:29,860.15
3,MFSL,EQ,N,1683.4,1636,1159765929.63,695541,41.8,2.56,1676.2,31-Dec-2025 16:00:29,1667.43
4,SBICARD,EQ,N,865.45,842,944110433.25,1099785,18.6,2.21,862,31-Dec-2025 16:00:29,858.45
5,BSE,EQ,N,2651.9,2595,6362746470.7,2415713,56.2,2.18,2637.2,31-Dec-2025 16:00:29,2633.9
6,MCX,EQ,N,11198,10985,4869762185.5,437650,236,2.17,11125,31-Dec-2025 16:00:29,11127.07
7,RBLBANK,EQ,N,316.3,308.65,2522754771.3,8031693,6.45,2.08,316.15,31-Dec-2025 16:00:29,314.1
8,ICICIPRULI,EQ,N,669.5,654.8,1031773725.69,1551003,12.4,1.89,667.25,31-Dec-2025 16:00:29,665.23
9,ABCAPITAL,EQ,N,359.65,349.05,2484297464.4,6976404,6.3,1.80,355.6,31-Dec-2025 16:00:29,356.1
10,HDFCAMC,EQ,N,2682,2639.9,1341977863.41,502461,44.8,1.70,2675,31-Dec-2025 16:00:29,2670.81
11,BANKINDIA,EQ,N,144.89,141.2,1340364288.28,9324922,2.39,1.68,144.4,31-Dec-2025 16:00:29,143.74
12,IEX,EQ,N,135.49,132.2,569707880.98,4234487,2.15,1.63,134.16,31-Dec-2025 16:00:29,134.54
13,HUDCO,EQ,N,229.25,225,910707092.73,4000119,3.51,1.57,227.5,31-Dec-2025 16:00:29,227.67
14,UNIONBANK,EQ,N,155.3,151.38,1758871162.17,11421983,2.15,1.42,153.8,31-Dec-2025 16:00:29,153.99
15,CAMS,EQ,N,745,735.5,438552214.8,592158,9.2,1.26,741,31-Dec-2025 16:00:29,740.6
16,YESBANK,EQ,N,21.78,21.39,1402297881.44,64801196,0.25,1.17,21.62,31-Dec-2025 16:00:29,21.64
17,CDSL,EQ,N,1456,1435,1654438300,1144940,11.8,0.82,1445.7,31-Dec-2025 16:00:29,1445
18,IDFCFIRSTB,EQ,N,86,84.28,1703555616.47,19922297,0.67,0.79,85.5,31-Dec-2025 16:00:29,85.51
19,PNBHOUSING,EQ,N,957,942.05,483075153.49,508709,6.1,0.65,951,31-Dec-2025 16:00:29,949.61
20,MUTHOOTFIN,EQ,N,3859,3780.7,1275493948.19,334171,10.5,0.28,3809.6,31-Dec-2025 16:00:29,3816.89
21,PAYTM,EQ,N,1314.8,1294.3,1580390179.5,1213575,2.4,0.19,1297,31-Dec-2025 16:00:29,1302.26
22,LICHSGFIN,EQ,N,541.55,533.6,607664467.95,1129215,0.55,0.10,538.15,31-Dec-2025 16:00:29,538.13
23,AUBANK,EQ,N,1006.1,989.65,1521181202.89,1523909,-0.05,-0.01,996.4,31-Dec-2025 16:00:29,998.21
24,BANDHANBNK,EQ,N,147.25,144.81,525926028.73,3603961,-0.03,-0.02,145.79,31-Dec-2025 16:00:29,145.93
25,MANAPPURAM,EQ,N,312.75,305.15,722497868.54,2344174,-0.6,-0.19,308.95,31-Dec-2025 16:00:29,308.21
26,360ONE,EQ,N,1198,1170.2,423481499.74,357058,-2.4,-0.20,1189.2,31-Dec-2025 16:00:29,1186.03
27,FEDERALBNK,EQ,N,269.1,264.15,1644355126.26,6154254,-0.6,-0.22,267,31-Dec-2025 16:00:29,267.19
28,ANGELONE,EQ,N,2395,2331,2169760663.5,923550,-12,-0.51,2335.1,31-Dec-2025 16:00:29,2349.37
29,POLICYBZR,EQ,N,1874.9,1810,1466199617.08,801548,-28.9,-1.55,1830,31-Dec-2025 16:00:29,1829.21
