,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,HINDPETRO,EQ,N,500.9,469.05,5886415942.88,11948717,30.75,6.56,499.5,31-Dec-2025 16:00:29,492.64
1,GUJGASLTD,EQ,N,421.75,391.9,1074935935.26,2597593,22.05,5.63,413.5,31-Dec-2025 16:00:29,413.82
2,GSPL,EQ,N,309.45,292.5,325062556.5,1064906,12.55,4.26,307,31-Dec-2025 16:00:29,305.25
3,BPCL,EQ,N,386,369,4588477647,12051156,13.95,3.78,383.45,31-Dec-2025 16:00:29,380.75
4,OIL,EQ,N,429.4,410.8,1157035519.93,2728793,13.55,3.29,425,31-Dec-2025 16:00:29,424.01
5,IOC,EQ,N,167.33,161.43,4042574617.74,24383706,4.77,2.95,166.34,31-Dec-2025 16:00:29,165.79
6,ONGC,EQ,N,241,234.61,2755607266.62,11514802,5.78,2.46,240.46,31-Dec-2025 16:00:29,239.31
7,MGL,EQ,N,1142.4,1115.1,223096992.93,197063,24.7,2.22,1136,31-Dec-2025 16:00:29,1132.11
8,CASTROLIND,EQ,N,194.25,187.94,855361626.75,4479975,3.95,2.09,192.6,31-Dec-2025 16:00:29,190.93
9,AEGISLOG,EQ,N,720.25,703,89476366.24,125303,14.1,2.00,717.8,31-Dec-2025 16:00:29,714.08
10,RELIANCE,EQ,N,1577,1541,9043649553.8,5771830,29.2,1.90,1569,31-Dec-2025 16:00:29,1566.86
11,IGL,EQ,N,195.7,191.56,222857390.08,1145443,3.37,1.76,194.75,31-Dec-2025 16:00:29,194.56
12,PETRONET,EQ,N,284.95,279.6,491158219.3,1734622,4.25,1.52,284,31-Dec-2025 16:00:29,283.15
13,GAIL,EQ,N,172.7,170.7,1055924340,6139095,1.37,0.80,172,31-Dec-2025 16:00:29,172
14,ATGL,EQ,N,571.05,564.1,140902153.92,248347,1.95,0.35,566,31-Dec-2025 16:00:29,567.36
