,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,WOCKPHARMA,EQ,N,1467.9,1373,3129308689.92,2189568,70.8,5.15,1445,31-Dec-2025 16:00:29,1429.19
1,GLAND,EQ,N,1729,1653.3,258495590.6,151190,57.3,3.44,1725,31-Dec-2025 16:00:29,1709.74
2,IPCALAB,EQ,N,1452.6,1386,481606018.5,337075,30.9,2.23,1417.1,31-Dec-2025 16:00:29,1428.78
3,MANKIND,EQ,N,2206.9,2150,472764544.32,215961,38.4,1.78,2190.9,31-Dec-2025 16:00:29,2189.12
4,AJANTPHARM,EQ,N,2777.6,2710,212861106.71,77063,47.1,1.73,2774,31-Dec-2025 16:00:29,2762.17
5,LAURUSLABS,EQ,N,1119,1083.9,1750646160.6,1585443,18,1.65,1109.9,31-Dec-2025 16:00:29,1104.2
6,ZYDUSLIFE,EQ,N,915.7,902,349541892.78,383442,12.55,1.39,914,31-Dec-2025 16:00:29,911.59
7,LUPIN,EQ,N,2115.7,2077.8,1356398678.7,645858,27.6,1.33,2108,31-Dec-2025 16:00:29,2100.15
8,JBCHEPHARM,EQ,N,1821,1792,264329488.29,145499,19.7,1.09,1820,31-Dec-2025 16:00:29,1816.71
9,CIPLA,EQ,N,1513.6,1490.1,1328600898,883966,15.6,1.05,1508.1,31-Dec-2025 16:00:29,1503
10,ABBOTINDIA,EQ,N,29250,28600,160406770.16,5558,275,0.96,28955,31-Dec-2025 16:00:29,28860.52
11,BIOCON,EQ,N,394.95,388.15,486981213.54,1242838,3,0.77,393.4,31-Dec-2025 16:00:29,391.83
12,TORNTPHARM,EQ,N,3856.9,3791.3,582166498.65,151815,24.5,0.64,3846.6,31-Dec-2025 16:00:29,3834.71
13,DIVISLAB,EQ,N,6499.5,6366,1747379681.6,273233,37.5,0.59,6398,31-Dec-2025 16:00:29,6395.2
14,DRREDDY,EQ,N,1273.9,1260,835458985.94,658106,7.2,0.57,1273,31-Dec-2025 16:00:29,1269.49
15,GLENMARK,EQ,N,2048.4,2025.7,734369610.24,360664,6.6,0.33,2036.4,31-Dec-2025 16:00:29,2036.16
16,PPLPHARMA,EQ,N,173.49,171.09,250740609.04,1455932,0.26,0.15,171.56,31-Dec-2025 16:00:29,172.22
17,AUROPHARMA,EQ,N,1193.8,1178,1100870842.64,928856,1.1,0.09,1187.4,31-Dec-2025 16:00:29,1185.19
18,ALKEM,EQ,N,5528.5,5426.5,205999950.39,37479,1,0.02,5470,31-Dec-2025 16:00:29,5496.41
19,SUNPHARMA,EQ,N,1725.6,1715.5,2457243620.97,1428439,-0.2,-0.01,1720,31-Dec-2025 16:00:29,1720.23
