,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,INDUSINDBK,EQ,N,869.6,836.55,2483893001.6,2887744,24,2.85,865.5,31-Dec-2025 16:00:29,860.15
1,KOTAKBANK,EQ,N,2205.4,2155.7,6255729843.3,2856889,50.3,2.34,2203,31-Dec-2025 16:00:29,2189.7
2,RBLBANK,EQ,N,316.3,308.65,2522754771.3,8031693,6.45,2.08,316.15,31-Dec-2025 16:00:29,314.1
3,AXISBANK,EQ,N,1271.5,1245,4694528850,3711090,22.7,1.82,1268.7,31-Dec-2025 16:00:29,1265
4,YESBANK,EQ,N,21.78,21.39,1402297881.44,64801196,0.25,1.17,21.62,31-Dec-2025 16:00:29,21.64
5,IDFCFIRSTB,EQ,N,86,84.28,1703555616.47,19922297,0.67,0.79,85.5,31-Dec-2025 16:00:29,85.51
6,HDFCBANK,EQ,N,997.6,987.6,10882434074.94,10963454,2,0.20,992.9,31-Dec-2025 16:00:29,992.61
7,ICICIBANK,EQ,N,1350,1339.5,8268666324.24,6150634,0.5,0.04,1343,31-Dec-2025 16:00:29,1344.36
8,BANDHANBNK,EQ,N,147.25,144.81,525926028.73,3603961,-0.03,-0.02,145.79,31-Dec-2025 16:00:29,145.93
9,FEDERALBNK,EQ,N,269.1,264.15,1644355126.26,6154254,-0.6,-0.22,267,31-Dec-2025 16:00:29,267.19
