,Symbol,metadata.identifier,metadata.series,metadata.purpose,metadata.lastPrice,metadata.change,metadata.pChange,metadata.previousClose,metadata.finalQuantity,metadata.totalTurnover,metadata.marketCap,metadata.yearHigh,metadata.yearLow,metadata.iep,detail.preOpenMarket.preopen,detail.preOpenMarket.ato.totalBuyQuantity,detail.preOpenMarket.ato.totalSellQuantity,detail.preOpenMarket.IEP,detail.preOpenMarket.totalTradedVolume,detail.preOpenMarket.finalPrice,detail.preOpenMarket.finalQuantity,detail.preOpenMarket.lastUpdateTime,detail.preOpenMarket.totalSellQuantity,detail.preOpenMarket.totalBuyQuantity,detail.preOpenMarket.atoBuyQty,detail.preOpenMarket.atoSellQty,detail.preOpenMarket.Change,%chng,detail.preOpenMarket.prevClose
0,JSWSTEEL,JSWSTEELEQN,EQ,,1156.0,44.4,3.99,1111.6,65927,76211612,1039901861048.0,1223.9,880.0,1156.0,"[{'price': 1142, 'buyQty': 400, 'sellQty': 0}, {'price': 1145, 'buyQty': 297, 'sellQty': 0}, {'price': 1150, 'buyQty': 100, 'sellQty': 0}, {'price': 1152, 'buyQty': 15, 'sellQty': 0}, {'price': 1156, 'buyQty': 28952, 'sellQty': 0, 'iep': True}, {'price': 1158, 'buyQty': 0, 'sellQty': 6}, {'price': 1158.6, 'buyQty': 0, 'sellQty': 1}, {'price': 1159, 'buyQty': 0, 'sellQty': 4}, {'price': 1159.1, 'buyQty': 0, 'sellQty': 3000}, {'price': 1160, 'buyQty': 0, 'sellQty': 235}]",0,0,1156.0,65927,1156.0,65927,31-Dec-2025 09:07:49,26621,96905,0,0,44.4,3.99,1111.6
1,PREMIERENE,PREMIERENEEQN,EQ,,880.0,27.95,3.28,852.05,96939,85306320,97742573945.62,1384.0,774.05,880.0,"[{'price': 873.5, 'buyQty': 25, 'sellQty': 0}, {'price': 875, 'buyQty': 1496, 'sellQty': 0}, {'price': 877, 'buyQty': 60, 'sellQty': 0}, {'price': 878, 'buyQty': 8, 'sellQty': 0}, {'price': 880, 'buyQty': 20177, 'sellQty': 0, 'iep': True}, {'price': 880.4, 'buyQty': 0, 'sellQty': 10}, {'price': 881, 'buyQty': 0, 'sellQty': 81}, {'price': 881.4, 'buyQty': 0, 'sellQty': 10}, {'price': 882, 'buyQty': 0, 'sellQty': 42}, {'price': 882.3, 'buyQty': 0, 'sellQty': 90}]",0,0,880.0,96939,880.0,96939,31-Dec-2025 09:07:48,80940,58852,0,0,27.95,3.28,852.05
2,SAIL,SAILEQN,EQ,,145.1,4.08,2.89,141.02,679451,98588340,203702574165.4,149.19,99.15,145.1,"[{'price': 144.6, 'buyQty': 10, 'sellQty': 0}, {'price': 144.84, 'buyQty': 3, 'sellQty': 0}, {'price': 144.9, 'buyQty': 120010, 'sellQty': 0}, {'price': 145, 'buyQty': 6706, 'sellQty': 0}, {'price': 145.1, 'buyQty': 707606, 'sellQty': 0, 'iep': True}, {'price': 145.2, 'buyQty': 0, 'sellQty': 2638}, {'price': 145.22, 'buyQty': 0, 'sellQty': 42}, {'price': 145.3, 'buyQty': 0, 'sellQty': 450}, {'price': 145.35, 'buyQty': 0, 'sellQty': 100}, {'price': 145.4, 'buyQty': 0, 'sellQty': 10639}]",0,0,145.1,679451,145.1,679451,31-Dec-2025 09:07:49,464557,1530181,0,0,4.08,2.89,141.02
3,BHARATFORG,BHARATFORGEQN,EQ,,1490.9,36.3,2.5,1454.6,23974,35742836,387287639292.48,1490.9,919.1,1490.9,"[{'price': 1485.6, 'buyQty': 1, 'sellQty': 0}, {'price': 1486.6, 'buyQty': 9, 'sellQty': 0}, {'price': 1488, 'buyQty': 21, 'sellQty': 0}, {'price': 1489, 'buyQty': 20, 'sellQty': 0}, {'price': 1490, 'buyQty': 615, 'sellQty': 0}, {'price': 1490.9, 'buyQty': 0, 'sellQty': 113, 'iep': True}, {'price': 1491, 'buyQty': 0, 'sellQty': 18}, {'price': 1492, 'buyQty': 0, 'sellQty': 20}, {'price': 1493, 'buyQty': 0, 'sellQty': 878}, {'price': 1493.6, 'buyQty': 0, 'sellQty': 30}]",0,0,1490.9,23974,1490.9,23974,31-Dec-2025 09:07:48,23251,98507,0,0,36.3,2.5,1454.6
4,TATASTEEL,TATASTEELEQN,EQ,,180.0,4.2,2.39,175.8,980226,176440680,1448057485621.64,186.94,122.62,180.0,"[{'price': 179.32, 'buyQty': 1139, 'sellQty': 0}, {'price': 179.35, 'buyQty': 223, 'sellQty': 0}, {'price': 179.5, 'buyQty': 200, 'sellQty': 0}, {'price': 179.6, 'buyQty': 25, 'sellQty': 0}, {'price': 179.8, 'buyQty': 30, 'sellQty': 0}, {'price': 180, 'buyQty': 0, 'sellQty': 153722, 'iep': True}, {'price': 180.09, 'buyQty': 0, 'sellQty': 55}, {'price': 180.1, 'buyQty': 0, 'sellQty': 151}, {'price': 180.13, 'buyQty': 0, 'sellQty': 1700}, {'price': 180.19, 'buyQty': 0, 'sellQty': 1}]",0,0,180.0,980226,180.0,980226,31-Dec-2025 09:07:49,902105,519181,0,0,4.2,2.39,175.8
5,DIVISLAB,DIVISLABEQN,EQ,,6499.5,139.0,2.19,6360.5,2956,19212522,821133907402.07,7071.5,4955.0,6499.5,"[{'price': 6395, 'buyQty': 250, 'sellQty': 0}, {'price': 6396, 'buyQty': 751, 'sellQty': 0}, {'price': 6450, 'buyQty': 5, 'sellQty': 0}, {'price': 6455, 'buyQty': 5, 'sellQty': 0}, {'price': 6488, 'buyQty': 26, 'sellQty': 0}, {'price': 6499.5, 'buyQty': 0, 'sellQty': 1451, 'iep': True}, {'price': 6500, 'buyQty': 0, 'sellQty': 20}, {'price': 6505, 'buyQty': 0, 'sellQty': 15}, {'price': 6510, 'buyQty': 0, 'sellQty': 35}, {'price': 6514, 'buyQty': 0, 'sellQty': 20}]",0,0,6499.5,2956,6499.5,2956,31-Dec-2025 09:07:50,5443,3422,0,0,139.0,2.19,6360.5
6,JINDALSTEL,JINDALSTELEQN,EQ,,1042.4,21.1,2.07,1021.3,24763,25812951,380370533868.64,1098.0,723.35,1042.4,"[{'price': 1040, 'buyQty': 4069, 'sellQty': 0}, {'price': 1041.8, 'buyQty': 105, 'sellQty': 0}, {'price': 1042, 'buyQty': 1500, 'sellQty': 0}, {'price': 1042.4, 'buyQty': 1643, 'sellQty': 0, 'iep': True}, {'price': 1042.5, 'buyQty': 10928, 'sellQty': 0}, {'price': 1042.6, 'buyQty': 0, 'sellQty': 261}, {'price': 1044.5, 'buyQty': 0, 'sellQty': 10}, {'price': 1045, 'buyQty': 0, 'sellQty': 152}, {'price': 1045.9, 'buyQty': 0, 'sellQty': 65}, {'price': 1046.5, 'buyQty': 0, 'sellQty': 10}]",0,0,1042.4,24763,1042.4,24763,31-Dec-2025 09:07:48,18459,37952,0,0,21.1,2.07,1021.3
7,MCX,MCXEQN,EQ,,11050.0,161.0,1.48,10889.0,3320,36686000,556758554817.64,11219.0,4408.15,11050.0,"[{'price': 11025, 'buyQty': 105, 'sellQty': 0}, {'price': 11026, 'buyQty': 604, 'sellQty': 0}, {'price': 11030, 'buyQty': 20, 'sellQty': 0}, {'price': 11042, 'buyQty': 2, 'sellQty': 0}, {'price': 11050, 'buyQty': 225, 'sellQty': 0, 'iep': True}, {'price': 11055, 'buyQty': 0, 'sellQty': 18}, {'price': 11059, 'buyQty': 0, 'sellQty': 19}, {'price': 11060, 'buyQty': 0, 'sellQty': 9}, {'price': 11069, 'buyQty': 0, 'sellQty': 13}, {'price': 11074, 'buyQty': 0, 'sellQty': 1}]",0,0,11050.0,3320,11050.0,3320,31-Dec-2025 09:07:49,6986,8646,0,0,161.0,1.48,10889.0
8,SOLARINDS,SOLARINDSEQN,EQ,,12194.0,166.0,1.38,12028.0,483,5889702,298561592554.31,17820.0,8482.5,12194.0,"[{'price': 12088, 'buyQty': 41, 'sellQty': 0}, {'price': 12096, 'buyQty': 1, 'sellQty': 0}, {'price': 12101, 'buyQty': 5, 'sellQty': 0}, {'price': 12156, 'buyQty': 1, 'sellQty': 0}, {'price': 12190, 'buyQty': 1, 'sellQty': 0}, {'price': 12194, 'buyQty': 0, 'sellQty': 0, 'iep': True}, {'price': 12195, 'buyQty': 0, 'sellQty': 4}, {'price': 12199, 'buyQty': 0, 'sellQty': 50}, {'price': 12200, 'buyQty': 0, 'sellQty': 29}, {'price': 12207, 'buyQty': 0, 'sellQty': 1}, {'price': 12222, 'buyQty': 0, 'sellQty': 1}]",0,0,12194.0,483,12194.0,483,31-Dec-2025 09:08:01,1907,1393,0,0,166.0,1.38,12028.0
9,ANGELONE,ANGELONEEQN,EQ,,2374.8,27.7,1.18,2347.1,3998,9494450,152264054135.88,3285.0,1941.0,2374.8,"[{'price': 2364, 'buyQty': 8, 'sellQty': 0}, {'price': 2368, 'buyQty': 23, 'sellQty': 0}, {'price': 2369, 'buyQty': 48, 'sellQty': 0}, {'price': 2370, 'buyQty': 23, 'sellQty': 0}, {'price': 2371, 'buyQty': 200, 'sellQty': 0}, {'price': 2374.8, 'buyQty': 0, 'sellQty': 73, 'iep': True}, {'price': 2375, 'buyQty': 0, 'sellQty': 43}, {'price': 2377, 'buyQty': 0, 'sellQty': 15}, {'price': 2377.1, 'buyQty': 0, 'sellQty': 3}, {'price': 2378.5, 'buyQty': 0, 'sellQty': 100}]",0,0,2374.8,3998,2374.8,3998,31-Dec-2025 09:07:48,6473,8919,0,0,27.7,1.18,2347.1
