,Symbol,latestOI,prevOI,changeInOI,%chng in OI,volume,futValue,optValue,total,premValue,underlyingValue
0,FINNIFTY,5008,1759,3249,184.71,16062,7561.4956,26214753471,10004.22031,2442.72471,27613
1,SAMMAANCAP,31926,21260,10666,50.17,39186,66418.30052,18913871683,71455.84985,5037.54933,145
2,NIFTY,6098471,4195593,1902878,45.35,59170934,1375411.5247,100418120857012,3973278.17983,2597866.65512,26129
3,MIDCPNIFTY,80584,56709,23875,42.1,232406,128437.8696,374132941749,164561.24709,36123.37749,13777
4,OIL,12718,9296,3422,36.81,18359,15688.68602,9745366176,17482.23778,1793.55176,425
5,BANKNIFTY,715441,560367,155074,27.67,2017510,559135.77611,3586577402624,812838.39235,253702.61624,59581
6,HINDPETRO,27468,21820,5648,25.88,47926,68966.64708,41950726989,78363.12073,9396.47364,499
7,JINDALSTEL,35290,28910,6380,22.07,61972,74278.56856,34591836437,82012.80793,7734.23937,1050
8,INDUSTOWER,73418,60416,13002,21.52,156350,237099.48467,91964644048,257731.35515,20631.87048,421
9,KEI,7682,6377,1305,20.46,8293,14399.54831,5152240437,15664.14018,1264.59187,4451
10,IDEA,149319,124566,24753,19.87,250812,627776.53254,158904309279,688830.64908,61054.11654,10
11,IOC,31478,26364,5114,19.4,31962,54744.31511,20843122462,58090.96848,3346.65337,166
12,BHARATFORG,24781,20840,3941,18.91,37259,41547.6344,24112024540,46491.7798,4944.1454,1470
13,IRFC,39465,33508,5957,17.78,26106,24480.43392,12231097227,27579.0337,3098.59977,124
14,BPCL,21696,18509,3187,17.22,37334,48268.87261,23929019104,53249.40865,4980.53604,383
15,NIFTYNXT50,991,849,142,16.73,809,7165.89559,700064503,7254.56562,88.67003,69364
16,SUPREMEIND,14711,12613,2098,16.63,17890,16359.07936,9213784816,18339.55252,1980.47316,3366
17,SBILIFE,27730,23883,3847,16.11,15399,20716.75068,9924632040,22133.07108,1416.3204,2031
18,TITAN,86777,74799,11978,16.01,89111,77943.74504,56479964005,87276.58509,9332.84005,4048
19,INDIANB,15838,13809,2029,14.69,24582,36816.1592,17159879910,40707.8583,3891.6991,836
20,TCS,190292,166004,24288,14.63,109914,83320.65136,55060358886,90788.46523,7467.81386,3210
21,KPITTECH,11879,10383,1496,14.41,4495,7505.33276,1539303058,7872.82835,367.49558,1173
22,DABUR,28472,25052,3420,13.65,36152,39285.6395,19395467787,42333.50487,3047.86537,502
23,DRREDDY,25817,22783,3034,13.32,8476,13384.51675,5517760306,14057.80731,673.29056,1273
24,LTF,33037,29208,3829,13.11,47212,66007.33267,27409515165,73004.98432,6997.65165,316
25,NHPC,17178,15219,1959,12.87,9384,10144.2784,3967774848,10720.90688,576.62848,79
26,CANBK,37998,33796,4202,12.43,46981,104047.73055,39839772172,113137.04227,9089.31172,154
27,ONGC,69063,61543,7520,12.22,40164,40037.8851,17998317562,42419.44822,2381.56312,240
28,PGEL,16608,14826,1782,12.02,13374,18875.44493,5660786508,20212.50001,1337.05508,576
29,NATIONALUM,29349,26204,3145,12.0,37125,65494.029,39271551075,74453.28975,8959.26075,314
30,BAJFINANCE,167474,150194,17280,11.51,71387,107230.97062,43648554292,115177.31355,7946.34292,986
31,COALINDIA,78754,70759,7995,11.3,48132,44042.0841,22344694695,47408.49405,3366.40995,399
32,WIPRO,49906,44852,5054,11.27,26508,40166.8095,17346287730,42481.4868,2314.6773,264
33,PETRONET,39354,35388,3966,11.21,22611,26560.3451,9551459866,27764.75776,1204.41266,284
34,BHEL,41934,37714,4220,11.19,44140,72588.81761,27069079485,79204.34996,6615.53235,288
35,JUBLFOOD,29455,26588,2867,10.78,12189,24885.11475,6208100475,26099.432,1214.31725,558
36,MANKIND,12422,11223,1199,10.68,5239,10284.49215,1606589941,10583.35906,298.86691,2190
37,ASIANPAINT,73343,66376,6967,10.5,32928,33118.25577,19957044905,35392.10482,2273.84905,2770
38,SAIL,63403,57388,6015,10.48,107251,161956.65469,59325258944,179304.94313,17348.28844,147
39,INDUSINDBK,86963,78733,8230,10.45,63072,85412.8765,30148595533,91572.26183,6159.38533,865
40,ANGELONE,29237,26517,2720,10.26,24030,25764.7937,12219144250,28496.7362,2731.9425,2335
41,HINDZINC,75399,68461,6938,10.13,75006,93412.52261,49808993307,108154.51193,14741.98932,612
42,SUNPHARMA,66969,60808,6161,10.13,21789,17356.32101,11697820837,18634.99438,1278.67337,1720
43,UNITDSPR,40747,37091,3656,9.86,19444,26879.12248,8689077820,28334.46068,1455.3382,1444
44,JSWSTEEL,98321,89580,8741,9.76,127656,167403.57223,85379605942,184585.19166,17181.61942,1165
45,POLYCAB,25328,23198,2130,9.18,14073,26324.15283,11030616000,27938.31283,1614.16,7596
46,MCX,45733,41907,3826,9.13,73344,100176.37963,95299157220,120815.70183,20639.3222,11125
47,KFINTECH,8966,8223,743,9.04,3393,7858.11135,1069554905,8069.3604,211.24905,1082
48,NAUKRI,27561,25308,2253,8.9,7145,9142.19568,2739408150,9513.47718,371.2815,1334
49,TECHM,40223,36936,3287,8.9,14606,28706.62218,11525001078,30354.31296,1647.69078,1591
50,KOTAKBANK,125845,115612,10233,8.85,58122,122027.0524,39471866176,127285.23416,5258.18176,2203
51,INFY,233983,214968,19015,8.85,75683,122632.78588,37997188292,128114.8288,5482.04292,1617
52,HINDUNILVR,64730,59573,5157,8.66,35655,41597.11623,21012547980,44368.05603,2770.9398,2317
53,DMART,46416,42781,3635,8.5,18366,27439.00249,7917678259,28771.86009,1332.85759,3776
54,FEDERALBNK,17666,16283,1383,8.49,12908,39901.484,13585345700,42113.691,2212.207,267
55,RVNL,64468,59436,5032,8.47,47634,33447.11679,24216639505,39647.51684,6200.40005,357
56,POLICYBZR,21858,20167,1691,8.38,18426,27267.18771,9349083044,29302.59815,2035.41044,1830
57,APOLLOHOSP,36320,33534,2786,8.31,18738,19078.9267,14953654565,20872.34735,1793.42065,7039
58,CGPOWER,23452,21671,1781,8.22,9467,14927.43199,3853996764,15664.41463,736.98264,647
59,BRITANNIA,26448,24453,1995,8.16,6784,13232.08162,3926199032,13688.69695,456.61532,6027
60,PIDILITIND,18045,16685,1360,8.15,7943,18879.3066,4050251640,19464.423,585.1164,1482
61,PERSISTENT,30113,27931,2182,7.81,15366,25088.65088,7344303460,26705.78548,1617.1346,6257
