,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,IDEA,EQ,N,11.33,10.84,6573684032.52,591690732,0.55,5.11,11.31,01-Jan-2026 10:00:51,11.11
1,INDUSTOWER,EQ,N,439.7,421.05,1259221008.6,2923390,18.8,4.49,437.55,01-Jan-2026 10:00:51,430.74
2,HFCL,EQ,N,70.65,67.22,1693288576.44,24342849,1.82,2.68,69.61,01-Jan-2026 10:00:52,69.56
3,MPHASIS,EQ,N,2816,2788.9,61128355.05,21805,22.8,0.82,2814,01-Jan-2026 10:00:49,2803.41
4,ZENSARTECH,EQ,N,708,701.25,19269360.78,27327,2.15,0.31,705.8,01-Jan-2026 10:00:51,705.14
5,SONATSOFTW,EQ,N,363.5,360.1,13846044.16,38272,0.9,0.25,360.75,01-Jan-2026 10:00:50,361.78
6,TATATECH,EQ,N,645.85,641,52058906.93,80921,-0.25,-0.04,642.75,01-Jan-2026 10:00:50,643.33
7,COFORGE,EQ,N,1670.7,1659.4,223211330.08,134164,-0.8,-0.05,1662.2,01-Jan-2026 10:00:47,1663.72
8,BSOFT,EQ,N,434.05,429.7,36040464,83427,-0.5,-0.12,432.8,01-Jan-2026 10:00:47,432
9,CYIENT,EQ,N,1120.9,1110.7,51774048,46400,-1.3,-0.12,1116.5,01-Jan-2026 10:00:47,1115.82
10,LTTS,EQ,N,4515,4444.3,31346542.08,7004,-5.6,-0.13,4456.6,01-Jan-2026 10:00:49,4475.52
11,OFSS,EQ,N,7714,7660,33485913.24,4358,-10,-0.13,7677,01-Jan-2026 10:00:51,7683.78
12,TATACOMM,EQ,N,1834.2,1811.6,130116834.74,71459,-4.3,-0.24,1821,01-Jan-2026 10:00:51,1820.86
13,KPITTECH,EQ,N,1184,1165.2,47278760.35,40265,-3.3,-0.28,1169.2,01-Jan-2026 10:00:51,1174.19
14,INTELLECT,EQ,N,980.75,965,20688257.9,21338,-3.1,-0.32,967.9,01-Jan-2026 10:00:43,969.55
15,PERSISTENT,EQ,N,6299,6239,175428834.46,27962,-29.5,-0.47,6242.5,01-Jan-2026 10:00:49,6273.83
16,TATAELXSI,EQ,N,5253,5200,50489568,9675,-26,-0.50,5214.5,01-Jan-2026 10:00:50,5218.56
17,AFFLE,EQ,N,1802.6,1788,12915293.96,7199,-10.7,-0.59,1788.7,01-Jan-2026 10:00:47,1794.04
18,HEXT,EQ,N,765.3,756,12385123.41,16287,-7.5,-0.98,758.05,01-Jan-2026 10:00:50,760.43
19,BHARTIHEXA,EQ,N,1817.1,1794.3,26783622.96,14844,-24.7,-1.36,1797,01-Jan-2026 10:00:48,1804.34
