,Symbol,metadata.identifier,metadata.series,metadata.purpose,metadata.lastPrice,metadata.change,metadata.pChange,metadata.previousClose,metadata.finalQuantity,metadata.totalTurnover,metadata.marketCap,metadata.yearHigh,metadata.yearLow,metadata.iep,detail.preOpenMarket.preopen,detail.preOpenMarket.ato.totalBuyQuantity,detail.preOpenMarket.ato.totalSellQuantity,detail.preOpenMarket.IEP,detail.preOpenMarket.totalTradedVolume,detail.preOpenMarket.finalPrice,detail.preOpenMarket.finalQuantity,detail.preOpenMarket.lastUpdateTime,detail.preOpenMarket.totalSellQuantity,detail.preOpenMarket.totalBuyQuantity,detail.preOpenMarket.atoBuyQty,detail.preOpenMarket.atoSellQty,detail.preOpenMarket.Change,%chng,detail.preOpenMarket.prevClose
0,IDEA,IDEAEQN,EQ,,11.2,0.44,4.09,10.76,19606728,219595353,293786345343.96,12.8,6.12,11.2,"[{'price': 11.1, 'buyQty': 287652, 'sellQty': 0}, {'price': 11.11, 'buyQty': 6711, 'sellQty': 0}, {'price': 11.12, 'buyQty': 4500, 'sellQty': 0}, {'price': 11.15, 'buyQty': 2612, 'sellQty': 0}, {'price': 11.19, 'buyQty': 6, 'sellQty': 0}, {'price': 11.2, 'buyQty': 0, 'sellQty': 970816, 'iep': True}, {'price': 11.21, 'buyQty': 0, 'sellQty': 298070}, {'price': 11.22, 'buyQty': 0, 'sellQty': 1623200}, {'price': 11.23, 'buyQty': 0, 'sellQty': 26515}, {'price': 11.24, 'buyQty': 0, 'sellQty': 386382}]",0,0,11.2,19606728,11.2,19606728,01-Jan-2026 09:07:43,23209643,27648415,0,0,0.44,4.09,10.76
1,PFC,PFCEQN,EQ,,358.9,3.5,0.98,355.4,54439,19538157,515539123541.68,474.85,329.9,358.9,"[{'price': 357.4, 'buyQty': 58, 'sellQty': 0}, {'price': 357.75, 'buyQty': 250, 'sellQty': 0}, {'price': 358, 'buyQty': 1210, 'sellQty': 0}, {'price': 358.3, 'buyQty': 200, 'sellQty': 0}, {'price': 358.9, 'buyQty': 3173, 'sellQty': 0, 'iep': True}, {'price': 359, 'buyQty': 0, 'sellQty': 372}, {'price': 359.05, 'buyQty': 0, 'sellQty': 50}, {'price': 359.1, 'buyQty': 0, 'sellQty': 1000}, {'price': 359.4, 'buyQty': 0, 'sellQty': 130}, {'price': 359.6, 'buyQty': 0, 'sellQty': 20}]",0,0,358.9,54439,358.9,54439,01-Jan-2026 09:07:43,157174,94294,0,0,3.5,0.98,355.4
2,RECLTD,RECLTDEQN,EQ,,360.0,3.2,0.9,356.8,65879,23716440,445283833248.54,544.7,330.95,360.0,"[{'price': 359.5, 'buyQty': 503, 'sellQty': 0}, {'price': 359.6, 'buyQty': 15, 'sellQty': 0}, {'price': 359.8, 'buyQty': 9000, 'sellQty': 0}, {'price': 359.9, 'buyQty': 2000, 'sellQty': 0}, {'price': 359.95, 'buyQty': 8100, 'sellQty': 0}, {'price': 360, 'buyQty': 0, 'sellQty': 2431, 'iep': True}, {'price': 360.05, 'buyQty': 0, 'sellQty': 2}, {'price': 360.1, 'buyQty': 0, 'sellQty': 2}, {'price': 360.15, 'buyQty': 0, 'sellQty': 2}, {'price': 360.2, 'buyQty': 0, 'sellQty': 2}]",0,0,360.0,65879,360.0,65879,01-Jan-2026 09:07:43,261084,237149,0,0,3.2,0.9,356.8
3,IREDA,IREDAEQN,EQ,,141.0,1.1,0.79,139.9,74722,10535802,110840019862.43,234.29,129.11,141.0,"[{'price': 140.5, 'buyQty': 7900, 'sellQty': 0}, {'price': 140.59, 'buyQty': 2016, 'sellQty': 0}, {'price': 140.6, 'buyQty': 500, 'sellQty': 0}, {'price': 140.8, 'buyQty': 50, 'sellQty': 0}, {'price': 140.9, 'buyQty': 1000, 'sellQty': 0}, {'price': 141, 'buyQty': 0, 'sellQty': 105300, 'iep': True}, {'price': 141.01, 'buyQty': 0, 'sellQty': 1000}, {'price': 141.1, 'buyQty': 0, 'sellQty': 1}, {'price': 141.15, 'buyQty': 0, 'sellQty': 1050}, {'price': 141.2, 'buyQty': 0, 'sellQty': 457}]",0,0,141.0,74722,141.0,74722,01-Jan-2026 09:07:43,562494,232745,0,0,1.1,0.79,139.9
4,HUDCO,HUDCOEQN,EQ,,229.75,1.62,0.71,228.13,28429,6531562,113852141880.75,254.29,158.85,229.75,"[{'price': 229.33, 'buyQty': 380, 'sellQty': 0}, {'price': 229.5, 'buyQty': 2000, 'sellQty': 0}, {'price': 229.6, 'buyQty': 100, 'sellQty': 0}, {'price': 229.69, 'buyQty': 20, 'sellQty': 0}, {'price': 229.7, 'buyQty': 100, 'sellQty': 0}, {'price': 229.75, 'buyQty': 0, 'sellQty': 2306, 'iep': True}, {'price': 229.8, 'buyQty': 0, 'sellQty': 2355}, {'price': 229.85, 'buyQty': 0, 'sellQty': 250}, {'price': 229.89, 'buyQty': 0, 'sellQty': 250}, {'price': 229.9, 'buyQty': 0, 'sellQty': 3701}]",0,0,229.75,28429,229.75,28429,01-Jan-2026 09:07:43,154492,75242,0,0,1.62,0.71,228.13
5,SWIGGY,SWIGGYEQN,EQ,,389.0,2.75,0.71,386.25,18832,7325648,514749004355.59,561.0,297.0,389.0,"[{'price': 387.4, 'buyQty': 28, 'sellQty': 0}, {'price': 388, 'buyQty': 219, 'sellQty': 0}, {'price': 388.15, 'buyQty': 195, 'sellQty': 0}, {'price': 388.6, 'buyQty': 14, 'sellQty': 0}, {'price': 389, 'buyQty': 4864, 'sellQty': 0, 'iep': True}, {'price': 389.2, 'buyQty': 0, 'sellQty': 300}, {'price': 389.4, 'buyQty': 0, 'sellQty': 1341}, {'price': 389.5, 'buyQty': 0, 'sellQty': 450}, {'price': 389.8, 'buyQty': 0, 'sellQty': 5}, {'price': 389.9, 'buyQty': 0, 'sellQty': 34}]",0,0,389.0,18832,389.0,18832,01-Jan-2026 09:07:43,220212,121149,0,0,2.75,0.71,386.25
6,ASTRAL,ASTRALEQN,EQ,,1397.9,9.4,0.68,1388.5,2653,3708628,170021243732.36,1662.05,1232.3,1397.9,"[{'price': 1388.5, 'buyQty': 641, 'sellQty': 0}, {'price': 1389, 'buyQty': 100, 'sellQty': 0}, {'price': 1389.5, 'buyQty': 35, 'sellQty': 0}, {'price': 1390, 'buyQty': 163, 'sellQty': 0}, {'price': 1395, 'buyQty': 10, 'sellQty': 0}, {'price': 1397.9, 'buyQty': 0, 'sellQty': 152, 'iep': True}, {'price': 1398, 'buyQty': 0, 'sellQty': 43}, {'price': 1398.2, 'buyQty': 0, 'sellQty': 7}, {'price': 1399, 'buyQty': 0, 'sellQty': 75}, {'price': 1399.5, 'buyQty': 0, 'sellQty': 20}]",0,0,1397.9,2653,1397.9,2653,01-Jan-2026 09:07:54,18013,3454,0,0,9.4,0.68,1388.5
7,DALBHARAT,DALBHARATEQN,EQ,,2145.3,14.4,0.68,2130.9,88,188786,169865747592.34,2496.3,1601.0,2145.3,"[{'price': 2111, 'buyQty': 5, 'sellQty': 0}, {'price': 2114, 'buyQty': 8, 'sellQty': 0}, {'price': 2130.9, 'buyQty': 133, 'sellQty': 0}, {'price': 2135, 'buyQty': 1, 'sellQty': 0}, {'price': 2140, 'buyQty': 7, 'sellQty': 0}, {'price': 2145.3, 'buyQty': 0, 'sellQty': 325, 'iep': True}, {'price': 2145.6, 'buyQty': 0, 'sellQty': 5}, {'price': 2148.5, 'buyQty': 0, 'sellQty': 6}, {'price': 2149.5, 'buyQty': 0, 'sellQty': 100}, {'price': 2152.2, 'buyQty': 0, 'sellQty': 73}]",0,0,2145.3,88,2145.3,88,01-Jan-2026 09:07:45,4944,599,0,0,14.4,0.68,2130.9
8,SOLARINDS,SOLARINDSEQN,EQ,,12335.0,83.0,0.68,12252.0,504,6216840,297929973237.27,17820.0,8482.5,12335.0,"[{'price': 12290, 'buyQty': 10, 'sellQty': 0}, {'price': 12298, 'buyQty': 1, 'sellQty': 0}, {'price': 12300, 'buyQty': 11, 'sellQty': 0}, {'price': 12313, 'buyQty': 17, 'sellQty': 0}, {'price': 12325, 'buyQty': 35, 'sellQty': 0}, {'price': 12335, 'buyQty': 0, 'sellQty': 44, 'iep': True}, {'price': 12340, 'buyQty': 0, 'sellQty': 1}, {'price': 12342, 'buyQty': 0, 'sellQty': 8}, {'price': 12344, 'buyQty': 0, 'sellQty': 12}, {'price': 12345, 'buyQty': 0, 'sellQty': 5}]",0,0,12335.0,504,12335.0,504,01-Jan-2026 09:07:43,2028,1217,0,0,83.0,0.68,12252.0
9,360ONE,360ONEEQN,EQ,,1198.0,8.0,0.67,1190.0,112,134176,301592153955.3,1318.0,790.5,1198.0,"[{'price': 1185, 'buyQty': 220, 'sellQty': 0}, {'price': 1186, 'buyQty': 1, 'sellQty': 0}, {'price': 1188, 'buyQty': 3, 'sellQty': 0}, {'price': 1190, 'buyQty': 1, 'sellQty': 0}, {'price': 1194, 'buyQty': 200, 'sellQty': 0}, {'price': 1198, 'buyQty': 0, 'sellQty': 370, 'iep': True}, {'price': 1199, 'buyQty': 0, 'sellQty': 4}, {'price': 1201, 'buyQty': 0, 'sellQty': 10}, {'price': 1202, 'buyQty': 0, 'sellQty': 1}, {'price': 1205, 'buyQty': 0, 'sellQty': 10}]",0,0,1198.0,112,1198.0,112,01-Jan-2026 09:07:55,15029,1641,0,0,8.0,0.67,1190.0
10,PAGEIND,PAGEINDEQN,EQ,,36285.0,240.0,0.67,36045.0,10,362850,226935238054.15,50590.0,35310.0,36285.0,"[{'price': 35850, 'buyQty': 72, 'sellQty': 0}, {'price': 35900, 'buyQty': 5, 'sellQty': 0}, {'price': 36000, 'buyQty': 4, 'sellQty': 0}, {'price': 36005, 'buyQty': 1, 'sellQty': 0}, {'price': 36075, 'buyQty': 1, 'sellQty': 0}, {'price': 36285, 'buyQty': 0, 'sellQty': 13, 'iep': True}, {'price': 36295, 'buyQty': 0, 'sellQty': 5}, {'price': 36350, 'buyQty': 0, 'sellQty': 10}, {'price': 36390, 'buyQty': 0, 'sellQty': 3}, {'price': 36395, 'buyQty': 0, 'sellQty': 1}]",0,0,36285.0,10,36285.0,10,01-Jan-2026 09:07:56,297,361,0,0,240.0,0.67,36045.0
11,PATANJALI,PATANJALIEQN,EQ,,549.1,3.6,0.66,545.5,1426,783016,184910287656.91,670.33,521.0,549.1,"[{'price': 545, 'buyQty': 500, 'sellQty': 0}, {'price': 545.25, 'buyQty': 100, 'sellQty': 0}, {'price': 545.5, 'buyQty': 217, 'sellQty': 0}, {'price': 546, 'buyQty': 35, 'sellQty': 0}, {'price': 547, 'buyQty': 100, 'sellQty': 0}, {'price': 549.1, 'buyQty': 0, 'sellQty': 869, 'iep': True}, {'price': 549.45, 'buyQty': 0, 'sellQty': 4}, {'price': 549.9, 'buyQty': 0, 'sellQty': 2}, {'price': 549.95, 'buyQty': 0, 'sellQty': 130}, {'price': 550, 'buyQty': 0, 'sellQty': 150}]",0,0,549.1,1426,549.1,1426,01-Jan-2026 09:07:56,7561,18478,0,0,3.6,0.66,545.5
12,POLICYBZR,POLICYBZREQN,EQ,,1837.7,12.1,0.66,1825.6,528,970305,622235989559.58,2246.9,1311.35,1837.7,"[{'price': 1826, 'buyQty': 2, 'sellQty': 0}, {'price': 1830, 'buyQty': 225, 'sellQty': 0}, {'price': 1831.1, 'buyQty': 50, 'sellQty': 0}, {'price': 1834.7, 'buyQty': 6, 'sellQty': 0}, {'price': 1836, 'buyQty': 15, 'sellQty': 0}, {'price': 1837.7, 'buyQty': 0, 'sellQty': 117, 'iep': True}, {'price': 1839, 'buyQty': 0, 'sellQty': 232}, {'price': 1839.8, 'buyQty': 0, 'sellQty': 73}, {'price': 1845, 'buyQty': 0, 'sellQty': 2}, {'price': 1848, 'buyQty': 0, 'sellQty': 300}]",0,0,1837.7,528,1837.7,528,01-Jan-2026 09:07:42,15128,7429,0,0,12.1,0.66,1825.6
13,BHARATFORG,BHARATFORGEQN,EQ,,1480.0,9.6,0.65,1470.4,4008,5931840,390850494136.99,1490.9,919.1,1480.0,"[{'price': 1475.5, 'buyQty': 10, 'sellQty': 0}, {'price': 1477.7, 'buyQty': 70, 'sellQty': 0}, {'price': 1477.8, 'buyQty': 1, 'sellQty': 0}, {'price': 1478, 'buyQty': 20, 'sellQty': 0}, {'price': 1479.9, 'buyQty': 100, 'sellQty': 0}, {'price': 1480, 'buyQty': 0, 'sellQty': 100, 'iep': True}, {'price': 1481.7, 'buyQty': 0, 'sellQty': 10}, {'price': 1482, 'buyQty': 0, 'sellQty': 50}, {'price': 1482.4, 'buyQty': 0, 'sellQty': 41}, {'price': 1482.5, 'buyQty': 0, 'sellQty': 150}]",0,0,1480.0,4008,1480.0,4008,01-Jan-2026 09:07:54,20048,14371,0,0,9.6,0.65,1470.4
14,KEI,KEIEQN,EQ,,4489.4,29.2,0.65,4460.2,1205,5409727,273849160617.12,4572.7,2424.0,4489.4,"[{'price': 4476.1, 'buyQty': 1, 'sellQty': 0}, {'price': 4480, 'buyQty': 18, 'sellQty': 0}, {'price': 4481, 'buyQty': 1, 'sellQty': 0}, {'price': 4482.5, 'buyQty': 1, 'sellQty': 0}, {'price': 4485, 'buyQty': 1, 'sellQty': 0}, {'price': 4489.4, 'buyQty': 0, 'sellQty': 40, 'iep': True}, {'price': 4490, 'buyQty': 0, 'sellQty': 16}, {'price': 4491, 'buyQty': 0, 'sellQty': 9}, {'price': 4494, 'buyQty': 0, 'sellQty': 50}, {'price': 4494.7, 'buyQty': 0, 'sellQty': 20}]",0,0,4489.4,1205,4489.4,1205,01-Jan-2026 09:07:55,6743,2256,0,0,29.2,0.65,4460.2
