,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,COLPAL,EQ,N,2100,2080,306669250.08,146569,17.6,0.85,2093.3,01-Jan-2026 10:29:28,2092.32
1,GODREJCP,EQ,N,1227.9,1214.4,69159803.96,56654,5.7,0.47,1227.9,01-Jan-2026 10:29:29,1220.74
2,PATANJALI,EQ,N,550.1,545.55,58904124.15,107405,2.5,0.46,548,01-Jan-2026 10:29:30,548.43
3,BRITANNIA,EQ,N,6063,6006,125463930.96,20838,11.5,0.19,6042.5,01-Jan-2026 10:29:28,6020.92
4,MARICO,EQ,N,755,746,74878017.6,99984,1.05,0.14,751.65,01-Jan-2026 10:29:30,748.9
5,NESTLEIND,EQ,N,1294.8,1284,171967287.6,133246,-2.1,-0.16,1285.9,01-Jan-2026 10:29:30,1290.6
6,UBL,EQ,N,1629.7,1600,18895122.84,11706,-5,-0.31,1616.7,01-Jan-2026 10:29:31,1614.14
7,VBL,EQ,N,492.8,487.05,175045658.76,357134,-1.75,-0.36,488.1,01-Jan-2026 10:29:31,490.14
8,HINDUNILVR,EQ,N,2322,2302.8,232187374.58,100541,-8.7,-0.38,2307.2,01-Jan-2026 10:29:28,2309.38
9,DABUR,EQ,N,505.9,500.35,49885293.72,99292,-2.1,-0.42,501.5,01-Jan-2026 10:29:28,502.41
10,EMAMILTD,EQ,N,530.3,524.65,20760504.93,39393,-2.65,-0.50,525.95,01-Jan-2026 10:29:29,527.01
11,RADICO,EQ,N,3307.8,3258.3,127220369.04,38799,-24.5,-0.74,3273.9,01-Jan-2026 10:29:30,3278.96
12,TATACONSUM,EQ,N,1195.5,1179.2,160360702,135560,-10.8,-0.91,1181.2,01-Jan-2026 10:29:31,1182.95
13,UNITDSPR,EQ,N,1451.5,1424.9,83908489.48,58402,-16.2,-1.12,1427.5,01-Jan-2026 10:29:31,1436.74
14,ITC,EQ,N,402.7,378.45,31144878277.1,79259138,-22.85,-5.67,380.15,01-Jan-2026 10:29:33,392.95
