,Symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,%chng
0,ITC,EQ,402.7,402.7,378.45,380.25,403.0,-5.65,79239769,311372.6722855,N,28-May-2025,Dividend - Rs 7.85 Per Share,-5.65
1,ALKEM,EQ,5477.0,5519.5,5384.0,5397.5,5506.5,-1.98,14296,774.7102472,N,08-Aug-2025,Dividend - Rs 8 Per Share,-1.98
2,NUVAMA,EQ,1485.0,1485.0,1448.5,1457.0,1480.5,-1.59,65250,952.695675,N,26-Dec-2025,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,-1.59
3,DRREDDY,EQ,1270.0,1270.0,1250.6,1253.0,1271.4,-1.45,203629,2557.3155223,N,10-Jul-2025,Dividend - Rs 8 Per Share,-1.45
4,KAYNES,EQ,4023.5,4030.5,3941.0,3956.1,4013.0,-1.42,342243,13620.929157,N,08-Sep-2023,Annual General Meeting,-1.42
5,SOLARINDS,EQ,12335.0,12348.0,12068.0,12078.0,12252.0,-1.42,21428,2610.7253788,N,08-Jul-2025,Annual General Meeting/Dividend - Rs 10 Per Share,-1.42
6,PAGEIND,EQ,36285.0,36285.0,35500.0,35585.0,36045.0,-1.28,7821,2785.6274688,N,19-Nov-2025,Interim Dividend - Rs 125 Per Share,-1.28
7,BIOCON,EQ,393.0,393.9,388.5,388.9,393.9,-1.27,181428,709.1294808,N,04-Jul-2025,Dividend - Rs 0.50 Per Share,-1.27
8,DIXON,EQ,12112.0,12209.0,11900.0,11958.0,12102.0,-1.19,165811,19976.5113336,N,16-Sep-2025,Dividend - Rs 8 Per Share,-1.19
9,MANKIND,EQ,2202.0,2202.0,2167.5,2170.6,2196.5,-1.18,24058,523.8292688,N,08-Aug-2025,Interim Dividend - Re 1  Per Share,-1.18
10,RBLBANK,EQ,313.95,316.5,310.8,312.15,315.8,-1.16,662025,2074.7201475,N,08-Sep-2025,Dividend - Re 1 Per Share,-1.16
11,LUPIN,EQ,2114.0,2114.0,2082.0,2085.1,2109.5,-1.16,47463,993.1964991,N,25-Jul-2025,Dividend - Rs 12 Per Share,-1.16
12,UNITDSPR,EQ,1447.5,1451.5,1424.9,1427.5,1443.7,-1.12,58402,839.0848948,N,01-Aug-2025,Dividend - Rs 8 Per Share,-1.12
13,MCX,EQ,11160.0,11160.0,10966.0,11011.0,11136.0,-1.12,102676,11337.7816804,N,02-Jan-2026,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,-1.12
14,SYNGENE,EQ,650.05,652.15,642.15,643.7,651.0,-1.12,44392,286.261812,N,27-Jun-2025,Dividend - Rs 1.25 Per Share,-1.12
15,ICICIGI,EQ,1962.1,1967.1,1938.5,1940.6,1962.1,-1.1,21960,428.22,N,23-Oct-2025,Interim Dividend - Rs 6.50 Per Share,-1.1
16,SAMMAANCAP,EQ,146.19,146.48,143.6,144.04,145.64,-1.1,1845972,2668.5371231999998,N,20-Sep-2024,Dividend - Rs 2 Per Share,-1.1
17,HDFCAMC,EQ,2674.8,2682.0,2635.7,2644.0,2672.2,-1.06,37413,992.3124816,N,26-Nov-2025,Bonus 1:1,-1.06
18,POLYCAB,EQ,7615.0,7615.0,7520.0,7541.0,7619.0,-1.02,32116,2430.5677844,N,24-Jun-2025,Dividend - Rs 35 Per Share,-1.02
19,SONACOMS,EQ,481.95,481.95,474.1,474.85,479.4,-0.95,124043,591.2137465999999,N,04-Jul-2025,Dividend - Rs 1.60 Per Share,-0.95
