,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,COLPAL,EQ,N,2100,2080,328922113.8,157206,16.2,0.78,2091.9,01-Jan-2026 10:47:08,2092.3
1,PATANJALI,EQ,N,550.1,545.55,61769670.9,112630,3.6,0.66,549.1,01-Jan-2026 10:47:08,548.43
2,GODREJCP,EQ,N,1229,1214.4,76278817.44,62454,4.6,0.38,1226.8,01-Jan-2026 10:47:06,1221.36
3,MARICO,EQ,N,755,746,93534836.58,124778,2.4,0.32,753,01-Jan-2026 10:47:07,749.61
4,BRITANNIA,EQ,N,6063,6006,179510620.8,29785,7,0.12,6038,01-Jan-2026 10:47:08,6026.88
5,NESTLEIND,EQ,N,1294.8,1284,192099066.87,148899,-0.7,-0.05,1287.3,01-Jan-2026 10:47:08,1290.13
6,VBL,EQ,N,492.8,487.05,188510694,384700,-1.1,-0.22,488.75,01-Jan-2026 10:47:07,490.02
7,UBL,EQ,N,1629.7,1600,19459181,12055,-3.9,-0.24,1617.8,01-Jan-2026 10:47:07,1614.2
8,HINDUNILVR,EQ,N,2322,2302.8,253711040.49,109873,-7.9,-0.34,2308,01-Jan-2026 10:47:05,2309.13
9,DABUR,EQ,N,505.9,500,64472022.86,128438,-2.6,-0.52,501,01-Jan-2026 10:47:06,501.97
10,EMAMILTD,EQ,N,530.3,524.65,23012281.15,43679,-3.1,-0.59,525.5,01-Jan-2026 10:47:06,526.85
11,TATACONSUM,EQ,N,1195.5,1179.2,176727314.67,149403,-7.1,-0.60,1184.9,01-Jan-2026 10:47:07,1182.89
12,UNITDSPR,EQ,N,1451.5,1424.9,91906560,64000,-14.2,-0.98,1429.5,01-Jan-2026 10:47:04,1436.04
13,RADICO,EQ,N,3307.8,3258.3,143733261.88,43852,-33.5,-1.02,3264.9,01-Jan-2026 10:47:03,3277.69
14,ITC,EQ,N,402.7,378.45,33488969053.7,85426685,-23.2,-5.76,379.8,01-Jan-2026 10:47:08,392.02
