,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,ZEEL,EQ,N,92.5,90,434237325.14,4737479,2.29,2.55,92.25,01-Jan-2026 10:47:36,91.66
1,SUNTV,EQ,N,602,589.5,216847204.1,363289,5.85,1.00,593.4,01-Jan-2026 10:47:34,596.9
2,HATHWAY,EQ,N,12.58,12.41,4342846.5,347150,0.08,0.64,12.51,01-Jan-2026 10:47:32,12.51
3,PVRINOX,EQ,N,1021.8,1012,37462721.61,36779,5,0.49,1020.2,01-Jan-2026 10:47:25,1018.59
4,SAREGAMA,EQ,N,355.3,350,29958830.08,84992,1.25,0.36,352.25,01-Jan-2026 10:47:33,352.49
5,NETWORK18,EQ,N,44.25,43.35,39533612,902800,0.15,0.35,43.54,01-Jan-2026 10:47:11,43.79
6,NAZARA,EQ,N,276,272,76957625.06,280898,0.9,0.33,274.45,01-Jan-2026 10:47:25,273.97
7,DBCORP,EQ,N,263.75,261.5,1119733.1,4265,-0.5,-0.19,262.2,01-Jan-2026 10:46:13,262.54
8,TIPSMUSIC,EQ,N,558.75,546.3,9904825.46,17938,-4.9,-0.89,547.35,01-Jan-2026 10:47:22,552.17
9,PFOCUS,EQ,N,235.5,231.48,92015797.94,394207,-2.77,-1.18,232.8,01-Jan-2026 10:47:29,233.42
