,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,IDEA,EQ,N,11.54,10.84,9957034920,889020975,0.78,7.25,11.54,01-Jan-2026 10:48:05,11.2
1,INDUSTOWER,EQ,N,439.7,421.05,3305900589.78,7610794,19.55,4.67,438.3,01-Jan-2026 10:48:06,434.37
2,HFCL,EQ,N,70.65,67.22,2194516000.32,31603053,1.4,2.07,69.19,01-Jan-2026 10:48:05,69.44
3,MPHASIS,EQ,N,2816,2788.9,77844389.7,27753,24.3,0.87,2815.5,01-Jan-2026 10:48:05,2804.9
4,ZENSARTECH,EQ,N,708,701.25,26241858.24,37232,0.2,0.03,703.85,01-Jan-2026 10:48:04,704.82
5,TATATECH,EQ,N,645.85,640.4,89914372.7,139901,0.15,0.02,643.15,01-Jan-2026 10:48:03,642.7
6,COFORGE,EQ,N,1670.7,1659.1,287486239.88,172844,-0.4,-0.02,1662.6,01-Jan-2026 10:48:05,1663.27
7,SONATSOFTW,EQ,N,363.5,358.55,23541893,65213,-0.45,-0.13,359.4,01-Jan-2026 10:48:03,361
8,BSOFT,EQ,N,434.05,429.7,56016138.9,129685,-0.55,-0.13,432.75,01-Jan-2026 10:48:05,431.94
9,KPITTECH,EQ,N,1184,1165,70242234.51,59927,-2.5,-0.21,1170,01-Jan-2026 10:48:01,1172.13
10,LTTS,EQ,N,4515,4438,39704283.96,8884,-14.2,-0.32,4448,01-Jan-2026 10:48:02,4469.19
11,OFSS,EQ,N,7714,7642,56949154.44,7422,-26.5,-0.34,7660.5,01-Jan-2026 10:48:05,7673.02
12,CYIENT,EQ,N,1120.9,1107.6,82886840.6,74380,-4.5,-0.40,1113.3,01-Jan-2026 10:48:06,1114.37
13,TATACOMM,EQ,N,1834.2,1810.2,138996584.73,76347,-8.4,-0.46,1816.9,01-Jan-2026 10:48:04,1820.59
14,TATAELXSI,EQ,N,5253,5185,98272704.2,18854,-28,-0.53,5212.5,01-Jan-2026 10:48:03,5212.3
15,PERSISTENT,EQ,N,6299,6215,250268684.25,39975,-38,-0.61,6234,01-Jan-2026 10:48:05,6260.63
16,INTELLECT,EQ,N,980.75,961,34269608.88,35412,-6.5,-0.67,964.5,01-Jan-2026 10:48:02,967.74
17,AFFLE,EQ,N,1802.6,1782.7,20604271.52,11501,-15.4,-0.86,1784,01-Jan-2026 10:48:05,1791.52
18,HEXT,EQ,N,765.3,755,14496990.64,19078,-7.7,-1.01,757.85,01-Jan-2026 10:47:46,759.88
19,BHARTIHEXA,EQ,N,1817.1,1785.5,42999937.02,23902,-29.5,-1.62,1792.2,01-Jan-2026 10:48:02,1799.01
