,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,AJANTPHARM,EQ,N,2791,2744.8,35872888.32,12924,22.1,0.80,2791,01-Jan-2026 10:47:32,2775.68
1,IPCALAB,EQ,N,1436.6,1415.4,31231503.25,21913,9.4,0.66,1428.3,01-Jan-2026 10:47:29,1425.25
2,LAURUSLABS,EQ,N,1112,1101.1,532337375.18,480566,0.1,0.01,1108.1,01-Jan-2026 10:47:29,1107.73
3,JBCHEPHARM,EQ,N,1835,1809.8,13280208.66,7317,-0.3,-0.02,1819.4,01-Jan-2026 10:47:24,1814.98
4,TORNTPHARM,EQ,N,3863.5,3815.1,18032314.97,4709,-10.7,-0.28,3839.3,01-Jan-2026 10:47:30,3829.33
5,ZYDUSLIFE,EQ,N,921.15,907.1,167265378.8,183560,-3.4,-0.37,910.95,01-Jan-2026 10:47:31,911.23
6,GLENMARK,EQ,N,2039.1,2020.2,65068124.85,32111,-10.3,-0.51,2024.9,01-Jan-2026 10:47:32,2026.35
7,SUNPHARMA,EQ,N,1724.7,1708.9,154466012.62,90106,-9.3,-0.54,1710.4,01-Jan-2026 10:47:30,1714.27
8,CIPLA,EQ,N,1512,1500,75802796.3,50435,-8.3,-0.55,1503,01-Jan-2026 10:47:31,1502.98
9,PPLPHARMA,EQ,N,173.34,170.21,93115391.46,544089,-1.01,-0.59,171.2,01-Jan-2026 10:47:29,171.14
10,DIVISLAB,EQ,N,6413.5,6343,91502664.96,14376,-40.5,-0.63,6352,01-Jan-2026 10:47:28,6364.96
11,AUROPHARMA,EQ,N,1190,1170.2,202408184.72,172088,-9,-0.76,1174,01-Jan-2026 10:47:24,1176.19
12,WOCKPHARMA,EQ,N,1443.8,1420,223283326.5,155935,-13.2,-0.91,1433,01-Jan-2026 10:47:26,1431.9
13,ABBOTINDIA,EQ,N,28990,28685,15518604.62,538,-295,-1.02,28730,01-Jan-2026 10:47:27,28844.99
14,MANKIND,EQ,N,2202,2167.5,59330580.54,27258,-24.7,-1.12,2171.8,01-Jan-2026 10:47:31,2176.63
15,LUPIN,EQ,N,2114,2082,111446348.25,53279,-24.5,-1.16,2085,01-Jan-2026 10:47:29,2091.75
16,GLAND,EQ,N,1725.6,1695,16119643.2,9456,-20.5,-1.19,1701.5,01-Jan-2026 10:47:24,1704.7
17,DRREDDY,EQ,N,1270,1250.6,294625838.3,234670,-18,-1.42,1253.4,01-Jan-2026 10:47:32,1255.49
18,BIOCON,EQ,N,393.9,386.1,129460513.92,332564,-6.7,-1.70,387.2,01-Jan-2026 10:47:31,389.28
19,ALKEM,EQ,N,5519.5,5384,92396233.87,17057,-102.5,-1.86,5404,01-Jan-2026 10:47:29,5416.91
