,Symbol,latestOI,prevOI,changeInOI,%chng in OI,volume,futValue,optValue,total,premValue,underlyingValue
0,ITC,207131,150365,56766,37.75,268254,214803.76656,147704934288,231868.26944,17064.50288,379
1,SWIGGY,4533,3342,1191,35.64,2354,6263.79234,590224609,6404.04843,140.25609,389
2,NIFTY,6915421,6025496,889925,14.77,19144759,244811.54438,32566708647247,1017027.00185,772215.45747,26159
3,DRREDDY,28375,25644,2731,10.65,8914,7464.20368,6382316531,8234.494,770.29031,1252
4,ASHOKLEY,51149,46509,4640,9.98,28893,23753.579,24452778950,28574.8435,4821.2645,182
5,BAJAJHLDNG,1889,1721,168,9.76,648,777.26992,304131295,843.98287,66.71295,11333
6,ADANIENSOL,32866,30165,2701,8.95,19884,16683.0466,12919389853,20047.69764,3364.65103,1052
7,PREMIERENE,2500,2306,194,8.41,883,631.24046,376454455,699.11001,67.86955,846
8,MIDCPNIFTY,85982,79840,6142,7.69,55499,20860.82971,90288881383,29098.88354,8238.05383,13786
9,FINNIFTY,5105,4744,361,7.61,3649,582.90351,6066552690,1119.76041,536.8569,27639
10,ADANIGREEN,57392,53439,3953,7.4,27654,25529.80836,15370137378,29318.36214,3788.55378,1026
11,WAAREEENER,3665,3413,252,7.38,1273,1495.23613,562454009,1579.88873,84.65259,2973
12,BANKBARODA,45003,42022,2981,7.09,26894,34096.99234,20759944988,37995.49347,3898.50113,300
13,TVSMOTOR,58299,54504,3795,6.96,28164,17527.63181,17244063315,21371.54997,3843.91815,3764
14,BANKNIFTY,753723,710511,43212,6.08,499590,81370.97637,893688872781,146611.49418,65240.51781,59717
15,SUPREMEIND,15612,14722,890,6.05,11438,9121.79306,6159603913,10507.9447,1386.15163,3470
16,BHEL,44232,41784,2448,5.86,13937,17984.37138,9190794978,20275.6743,2291.30291,289
17,KAYNES,58303,55461,2842,5.12,15218,9078.878,5458740292,10392.28092,1313.40292,3953
18,ALKEM,13689,13091,598,4.57,2646,3488.51497,1444181487,3680.57985,192.06487,5396
19,RECLTD,103702,99263,4439,4.47,36145,26243.23366,16273973716,29480.83082,3237.59716,360
20,BOSCHLTD,10149,9743,406,4.17,1331,1279.74983,1064059933,1372.97416,93.22433,35885
21,APLAPOLLO,29498,28407,1091,3.84,6010,7327.6428,3440222030,8007.2931,679.6503,1938
22,BRITANNIA,27268,26268,1000,3.81,2908,3831.68488,1873104901,3972.1714,140.48651,6044
23,M&M,113627,109535,4092,3.74,53425,36520.80926,37429771950,42777.92876,6257.1195,3751
24,MCX,47258,45596,1662,3.65,22174,27973.05865,28486656126,34151.36991,6178.31126,11044
25,UNITDSPR,41612,40171,1441,3.59,6040,6038.30824,2944420716,6573.0354,534.72716,1430
26,APOLLOHOSP,37453,36178,1275,3.52,6500,4820.90192,5298757715,5430.54157,609.63965,7084
27,UNOMINDA,8786,8488,298,3.51,1052,3124.03388,449447526,3228.18914,104.15526,1287
28,FEDERALBNK,18038,17442,596,3.42,2877,6618.3875,3264759250,7051.855,433.4675,266
29,PAGEIND,20405,19733,672,3.41,3693,2432.21718,1775776318,2599.33036,167.11318,35615
