,Symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,%chng
0,IDEA,EQ,11.2,11.54,10.84,11.51,10.76,6.97,883198075,98829.8645925,N,20-Aug-2024,Annual General Meeting,6.97
1,INDUSTOWER,EQ,421.05,439.7,421.05,438.2,418.75,4.64,7583155,32938.192058,N,09-Aug-2024,Buy Back,4.64
2,SUPREMEIND,EQ,3367.0,3473.7,3360.6,3464.0,3353.8,3.29,121237,4153.5917437,N,03-Nov-2025,Interim Dividend - Rs 11 Per Share,3.29
3,JSWENERGY,EQ,484.0,499.95,483.0,496.6,482.45,2.93,2344712,11590.3803584,N,06-Jun-2025,Dividend - Rs 2 Per Share,2.93
4,ADANIENSOL,EQ,1029.0,1058.0,1026.3,1053.5,1027.35,2.54,1314839,13796.605627,N,14-Jun-2024,Annual General Meeting,2.55
5,ASHOKLEY,EQ,179.19,183.39,178.81,183.19,179.19,2.23,6401260,11652.213577999999,N,18-Nov-2025,Interim Dividend - Re 1 Per Share,2.23
6,PNBHOUSING,EQ,954.0,969.7,951.55,969.5,951.5,1.89,290030,2786.89827,N,01-Aug-2025,Dividend - Rs 5 Per Share,1.89
7,ASTRAL,EQ,1397.9,1414.8,1392.1,1413.5,1388.5,1.8,185257,2602.490336,N,11-Nov-2025,Interim Dividend - Rs 1.50 Per Share,1.8
8,BANKBARODA,EQ,296.5,302.9,295.65,300.9,295.9,1.69,3877218,11645.224263,N,06-Jun-2025,Dividend - Rs 8.35 Per Share,1.69
9,ETERNAL,EQ,278.6,283.25,278.55,282.7,278.05,1.67,4295664,12105.6107184,N,-,-,1.67
10,MANAPPURAM,EQ,310.05,313.3,306.0,313.25,308.55,1.52,720734,2229.230262,N,07-Nov-2025,Interim Dividend - Re 0.50 Per Share,1.52
11,INDIGO,EQ,5081.0,5175.0,5062.5,5134.0,5059.5,1.47,420730,21563.969201,N,13-Aug-2025,Dividend - Rs 10 Per Share,1.47
12,INDUSINDBK,EQ,865.45,879.65,863.5,876.85,864.2,1.46,748778,6511.2237324,N,28-Jun-2024,Dividend - Rs 16.50 Per Share,1.46
13,BLUESTARCO,EQ,1738.0,1756.2,1733.0,1755.8,1730.7,1.45,32357,564.9564557,N,18-Jul-2025,Dividend - Rs 9 Per Share,1.45
14,LTF,EQ,315.95,321.7,313.4,320.5,315.95,1.44,1783127,5660.001723400001,N,27-May-2025,Dividend - Rs 2.75 Per Share,1.44
15,ADANIGREEN,EQ,1019.7,1045.0,1015.5,1029.3,1015.1,1.4,1518383,15686.5666113,N,14-Jun-2024,Annual General Meeting,1.4
16,APLAPOLLO,EQ,1925.6,1947.0,1914.0,1939.6,1914.0,1.34,231809,4492.2034301,N,22-Aug-2025,Dividend - Rs 5.75 Per Share,1.34
17,TVSMOTOR,EQ,3737.0,3777.8,3722.4,3766.4,3719.8,1.25,242670,9117.233235,N,25-Aug-2025,Scheme Of Arrangement - Bonus Ncrps 4:1,1.25
18,ADANIENT,EQ,2249.0,2287.4,2241.0,2267.8,2239.7,1.25,615504,13971.325295999999,N,17-Nov-2025,Rights 3:25 @ Premium Rs 1799/-,1.25
19,M&M,EQ,3725.0,3774.0,3721.1,3753.0,3709.2,1.18,714711,26827.8923937,N,04-Jul-2025,Dividend - Rs 25.30 Per Share,1.18
