,Symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,%chng
0,ITC,EQ,402.7,402.7,378.45,379.55,403.0,-5.82,85465013,335031.3974613,N,28-May-2025,Dividend - Rs 7.85 Per Share,-5.82
1,ALKEM,EQ,5477.0,5519.5,5384.0,5404.0,5506.5,-1.86,17057,923.9623387,N,08-Aug-2025,Dividend - Rs 8 Per Share,-1.86
2,BIOCON,EQ,393.0,393.9,386.1,387.2,393.9,-1.7,332564,1294.6051392,N,04-Jul-2025,Dividend - Rs 0.50 Per Share,-1.7
3,NUVAMA,EQ,1485.0,1485.0,1448.5,1456.9,1480.5,-1.59,79701,1163.4114372,N,26-Dec-2025,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,-1.59
4,DRREDDY,EQ,1270.0,1270.0,1250.6,1253.4,1271.4,-1.42,234670,2946.2583830000003,N,10-Jul-2025,Dividend - Rs 8 Per Share,-1.42
5,KAYNES,EQ,4023.5,4030.5,3941.0,3962.5,4013.0,-1.26,380605,15138.601935499999,N,08-Sep-2023,Annual General Meeting,-1.26
6,PAGEIND,EQ,36285.0,36285.0,35500.0,35625.0,36045.0,-1.17,8063,2871.7640391000004,N,19-Nov-2025,Interim Dividend - Rs 125 Per Share,-1.17
7,LUPIN,EQ,2114.0,2114.0,2082.0,2085.0,2109.5,-1.16,53280,1114.4844,N,25-Jul-2025,Dividend - Rs 12 Per Share,-1.16
8,MANKIND,EQ,2202.0,2202.0,2167.5,2171.8,2196.5,-1.12,27258,593.3058053999999,N,08-Aug-2025,Interim Dividend - Re 1  Per Share,-1.12
9,DIXON,EQ,12112.0,12209.0,11900.0,11967.0,12102.0,-1.12,175615,21148.4890595,N,16-Sep-2025,Dividend - Rs 8 Per Share,-1.12
10,SYNGENE,EQ,650.05,652.15,642.15,644.6,651.0,-0.98,48267,311.24492280000004,N,27-Jun-2025,Dividend - Rs 1.25 Per Share,-0.98
11,360ONE,EQ,1198.0,1198.0,1175.6,1178.3,1190.0,-0.98,24742,293.1778548,N,27-Oct-2025,Interim Dividend - Rs 6 Per Share,-0.98
12,UNITDSPR,EQ,1447.5,1451.5,1424.9,1429.5,1443.7,-0.98,64005,919.1374020000001,N,01-Aug-2025,Dividend - Rs 8 Per Share,-0.98
13,RBLBANK,EQ,313.95,316.5,310.8,312.8,315.8,-0.95,701523,2198.2223205,N,08-Sep-2025,Dividend - Re 1 Per Share,-0.95
14,POLYCAB,EQ,7615.0,7615.0,7520.0,7548.5,7619.0,-0.93,36991,2798.7871483,N,24-Jun-2025,Dividend - Rs 35 Per Share,-0.93
15,HDFCAMC,EQ,2674.8,2682.0,2635.7,2647.9,2672.2,-0.91,41841,1109.4894288,N,26-Nov-2025,Bonus 1:1,-0.91
16,BEL,EQ,399.9,400.75,395.15,396.0,399.6,-0.9,1720746,6836.523858,N,14-Aug-2025,Dividend - Rs 0.90 Per Share,-0.9
17,CGPOWER,EQ,650.0,650.95,640.55,642.3,647.9,-0.86,878233,5650.287652100001,N,21-Mar-2025,Interim Dividend - Rs 1.30 Per Share,-0.86
18,KFINTECH,EQ,1083.0,1084.6,1068.1,1073.0,1082.0,-0.83,91743,987.0721113,N,22-Aug-2025,Dividend - Rs 7.50 Per Share,-0.83
19,AUROPHARMA,EQ,1190.0,1190.0,1170.2,1174.0,1183.0,-0.76,172088,2024.0818472,N,08-Aug-2025,Interim Dividend - Rs 4 Per Share,-0.76
