,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,ZEEL,EQ,N,92.5,90,251891770.26,2744517,1.77,1.97,91.73,01-Jan-2026 09:40:38,91.78
1,SUNTV,EQ,N,599.75,589.5,105987933.28,177451,11.25,1.91,598.8,01-Jan-2026 09:40:38,597.28
2,NETWORK18,EQ,N,44.25,43.39,19112181.48,434763,0.51,1.18,43.9,01-Jan-2026 09:40:37,43.96
3,HATHWAY,EQ,N,12.58,12.41,2088573.88,166819,0.12,0.97,12.55,01-Jan-2026 09:40:36,12.52
4,TIPSMUSIC,EQ,N,558.75,552.05,3774110.76,6804,0.35,0.06,552.6,01-Jan-2026 09:40:39,554.69
5,SAREGAMA,EQ,N,355.3,350,19125496.93,54163,0.05,0.01,351.05,01-Jan-2026 09:40:37,353.11
6,PVRINOX,EQ,N,1020.8,1012,14493429.72,14238,0,0.00,1015.2,01-Jan-2026 09:40:37,1017.94
7,NAZARA,EQ,N,275.1,272,38046093,139210,-0.1,-0.04,273.45,01-Jan-2026 09:40:36,273.3
8,DBCORP,EQ,N,263.75,262.1,496148.91,1887,-0.6,-0.23,262.1,01-Jan-2026 09:40:38,262.93
9,PFOCUS,EQ,N,235.5,232.01,55015960.62,235302,-2.09,-0.89,233.48,01-Jan-2026 09:40:37,233.81
