,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,IPCALAB,EQ,N,1426.4,1415.4,10139314.86,7138,-2.5,-0.18,1416.4,01-Jan-2026 09:40:49,1420.47
1,LAURUSLABS,EQ,N,1111.8,1101.1,384611041.36,347288,-2.4,-0.22,1105.6,01-Jan-2026 09:40:49,1107.47
2,SUNPHARMA,EQ,N,1724.7,1710.4,66390013.44,38678,-7.5,-0.44,1712.2,01-Jan-2026 09:40:50,1716.48
3,ZYDUSLIFE,EQ,N,921.15,909,81833831.31,89621,-4.75,-0.52,909.6,01-Jan-2026 09:40:51,913.11
4,JBCHEPHARM,EQ,N,1835,1810,5081528.52,2799,-9.5,-0.52,1810.2,01-Jan-2026 09:40:50,1815.48
5,DIVISLAB,EQ,N,6413.5,6358,47771776.98,7494,-34.5,-0.54,6358,01-Jan-2026 09:40:54,6374.67
6,PPLPHARMA,EQ,N,173.34,171.11,38084805.9,222030,-1.03,-0.60,171.18,01-Jan-2026 09:40:53,171.53
7,ABBOTINDIA,EQ,N,28990,28835,4045440,140,-190,-0.65,28835,01-Jan-2026 09:40:46,28896
8,CIPLA,EQ,N,1512,1500,41457180.06,27578,-10.5,-0.69,1500.8,01-Jan-2026 09:40:53,1503.27
9,GLENMARK,EQ,N,2039.1,2021,30738169.45,15161,-14.2,-0.70,2021,01-Jan-2026 09:40:54,2027.45
10,TORNTPHARM,EQ,N,3863.5,3820.5,10375958.07,2707,-28.5,-0.74,3821.5,01-Jan-2026 09:40:54,3833.01
11,AJANTPHARM,EQ,N,2787.6,2744.8,7999971.02,2894,-20.7,-0.75,2748.2,01-Jan-2026 09:40:53,2764.33
12,LUPIN,EQ,N,2114,2093,33346302.6,15886,-16.1,-0.76,2093.4,01-Jan-2026 09:40:49,2099.1
13,MANKIND,EQ,N,2202,2176.3,20249109.9,9270,-19.4,-0.88,2177.1,01-Jan-2026 09:40:48,2184.37
14,AUROPHARMA,EQ,N,1190,1172.2,100231043.42,85067,-10.8,-0.91,1172.2,01-Jan-2026 09:40:54,1178.26
15,BIOCON,EQ,N,393.9,390.05,29644719.84,75717,-3.65,-0.93,390.25,01-Jan-2026 09:40:53,391.52
16,WOCKPHARMA,EQ,N,1443.8,1427,107755142,75185,-18.3,-1.27,1427.9,01-Jan-2026 09:40:50,1433.2
17,DRREDDY,EQ,N,1270,1252.1,139105104.6,110572,-16.9,-1.33,1254.5,01-Jan-2026 09:40:53,1258.05
18,ALKEM,EQ,N,5519.5,5428.5,15677038.08,2871,-74.5,-1.35,5432,01-Jan-2026 09:40:50,5460.48
19,GLAND,EQ,N,1725.6,1696.6,7516131.4,4399,-23.5,-1.36,1698.5,01-Jan-2026 09:40:54,1708.6
