,Symbol,latestOI,prevOI,changeInOI,%chng in OI,volume,futValue,optValue,total,premValue,underlyingValue
0,ITC,174680,150365,24315,16.17,105305,100598.7848,57204052208,106569.38688,5970.60208,385
1,NIFTY,6704505,6025496,679009,11.27,7171546,114204.14981,12189529790176,383490.98658,269286.83676,26169
2,BAJAJHLDNG,1844,1721,123,7.15,376,480.83826,173503056,522.26882,41.43056,11335
3,PREMIERENE,2409,2306,103,4.47,413,337.77374,174560943,372.35568,34.58193,847
4,BHEL,43244,41784,1460,3.49,7480,10476.06341,4862918366,11703.12832,1227.06491,290
5,DRREDDY,26463,25644,819,3.19,3262,4207.847,2181420287,4494.67487,286.82787,1253
6,SWIGGY,3444,3342,102,3.05,1164,4687.52557,128737791,4714.16348,26.63791,388
7,TVSMOTOR,56148,54504,1644,3.02,10406,6825.88093,6321518614,8226.30707,1400.42614,3765
8,BANKNIFTY,730849,710511,20338,2.86,210052,29829.94409,376142637620,55868.4203,26038.4762,59642
9,IOC,32340,31447,893,2.84,5761,5811.88968,4236411611,6574.75455,762.86486,167
10,RECLTD,102079,99263,2816,2.84,22538,14663.87608,10326636670,16817.69278,2153.8167,362
11,MIDCPNIFTY,81984,79840,2144,2.69,20817,6776.03595,34008214974,9893.17569,3117.13974,13778
12,ASHOKLEY,47754,46509,1245,2.68,8650,9665.777,7020510900,11033.536,1367.759,182
13,BPCL,22093,21586,507,2.35,5302,6301.59537,3516802196,7005.52171,703.92634,385
14,SHRIRAMFIN,87005,85022,1983,2.33,10195,10092.68642,7657191720,11833.63863,1740.9522,1004
15,KAYNES,56714,55461,1253,2.26,5913,3717.36966,2115866004,4256.0797,538.71004,3979
16,NIFTYNXT50,1018,996,22,2.21,104,1709.22804,10606895,1710.54699,1.31895,69415
17,WAAREEENER,3487,3413,74,2.17,465,497.686,208452877,532.61477,34.92877,2972
18,PFC,97934,95886,2048,2.14,15323,9486.204,6427179577,10862.76477,1376.56077,359
19,ANGELONE,29207,28669,538,1.88,2297,1729.38125,1227668015,2019.0614,289.68015,2334
20,HINDPETRO,27513,27014,499,1.85,5848,7602.90624,5286543509,8756.82758,1153.92134,500
21,APLAPOLLO,28931,28407,524,1.84,2377,2074.2099,1444628076,2376.64066,302.43076,1937
22,NUVAMA,8270,8123,147,1.81,564,1394.37875,283552290,1450.30165,55.9229,1464
23,MARUTI,85679,84238,1441,1.71,6805,4859.87178,5294678342,5512.6552,652.78342,16715
24,NBCC,23905,23509,396,1.68,1741,3863.11575,1051243570,4140.26145,277.1457,122
25,FINNIFTY,4819,4744,75,1.58,1724,199.97359,2875343237,463.63596,263.66237,27651
26,OIL,12863,12664,199,1.57,2052,2191.02828,1042011194,2334.72022,143.69194,422
27,MCX,46312,45596,716,1.57,9875,11635.62105,12815552092,14658.51697,3022.89592,11012
28,IDEA,149043,146804,2239,1.53,22674,45600.65688,14651352192,50214.14656,4613.48967,11
29,CANBK,38288,37715,573,1.52,2946,7864.10437,2359357267,8352.22455,488.12017,154
30,GMRAIRPORT,41370,40758,612,1.5,1983,2305.13566,1268571289,2576.18556,271.04989,104
31,RELIANCE,283092,278940,4152,1.49,56351,47141.1066,40699714275,52434.19935,5293.09275,1587
32,M&M,111081,109535,1546,1.41,22834,17367.21042,15799211016,20157.92058,2790.71016,3754
33,BSE,60330,59497,833,1.4,5619,8168.97446,4922591546,9420.01492,1251.04046,2628
34,DALBHARAT,11719,11559,160,1.38,620,1215.57358,322928313,1284.23171,68.65813,2153
35,RVNL,65345,64460,885,1.37,6422,4090.6176,3281280112,4969.91872,879.30112,360
36,INDIGO,102023,100644,1379,1.37,28607,21986.57191,20378110276,25408.24968,3421.67776,5110
37,UNITDSPR,40686,40171,515,1.28,1920,1725.59576,958833656,1916.41232,190.81656,1438
38,JINDALSTEL,32753,32345,408,1.26,4141,6210.27243,2178558137,6671.54131,461.26887,1048
39,SAMMAANCAP,32240,31843,397,1.25,2020,3660.83037,921480454,3891.21491,230.38454,144
40,PAGEIND,19974,19733,241,1.22,1137,527.17048,589133139,572.25187,45.08139,35680
41,BAJAJ-AUTO,62240,61494,746,1.21,5955,2920.57218,4017571722,3397.1394,476.56722,9345
42,NATIONALUM,29450,29105,345,1.19,2169,4183.995,2250523087,4671.47587,487.48087,315
43,ASIANPAINT,73901,73054,847,1.16,2633,1173.0419,1733597205,1346.41395,173.37205,2764
44,IREDA,25045,24761,284,1.15,3625,3409.33761,1518087699,3774.2586,364.92099,140
45,LAURUSLABS,28017,27700,317,1.14,2586,4463.54439,2052855714,4949.10154,485.55714,1107
46,SYNGENE,10250,10139,111,1.09,364,656.4768,177712740,677.7042,21.2274,645
47,EICHERMOT,47001,46496,505,1.09,4407,2626.89968,3033787226,3098.77194,471.87226,7292
48,AMBER,14873,14715,158,1.07,722,944.88817,379468987,1012.07804,67.18987,6405
49,BDL,29626,29319,307,1.05,1525,1360.74718,675516541,1507.49259,146.74541,1457
50,TCS,191570,189589,1981,1.04,14096,12374.50359,6865155078,13332.16937,957.66578,3200
51,LT,100788,99756,1032,1.03,7548,8912.18996,4609232194,9557.1169,644.92694,4106
52,APOLLOHOSP,36551,36178,373,1.03,1728,1232.87391,1410287465,1395.99856,163.12465,7040
53,DMART,46641,46193,448,0.97,1828,2115.81955,850600431,2262.09886,146.27931,3759
54,CDSL,40597,40223,374,0.93,1332,1435.00046,807679402,1571.31448,136.31402,1444
55,FEDERALBNK,17603,17442,161,0.92,740,1549.094,861360200,1670.571,121.477,266
56,MOTHERSON,33345,33043,302,0.91,1147,2252.76775,644613295,2344.53621,91.76845,120
57,ZYDUSLIFE,16585,16436,149,0.91,475,1320.08958,264057300,1354.71258,34.623,909
58,SBIN,144303,143019,1284,0.9,8818,8115.82125,5767006237,8744.14612,628.32487,981
59,AUROPHARMA,47734,47317,417,0.88,1559,1918.71344,855681469,2048.53814,129.82469,1173
60,DIXON,129692,128569,1123,0.87,13306,9188.32378,7507529588,10851.01966,1662.69588,12090
61,MAZDOCK,53002,52550,452,0.86,3245,1365.12252,1581204978,1676.4323,311.30978,2479
62,MANAPPURAM,18965,18804,161,0.86,595,1722.9678,392429070,1803.8835,80.9157,306
63,MANKIND,12059,11957,102,0.85,420,916.67506,119237987,938.42493,21.74987,2178
64,ICICIGI,18409,18256,153,0.84,415,914.06142,171151626,929.66269,15.60126,1952
65,AXISBANK,154764,153521,1243,0.81,6063,7232.535,4173243412,7701.84412,469.30912,1268
66,HAL,103766,102936,830,0.81,3758,2536.58209,2337880915,2852.81625,316.23415,4376
67,TECHM,40322,40002,320,0.8,1440,2279.26836,1192564374,2478.2721,199.00374,1589
68,HEROMOTOCO,55315,54883,432,0.79,3815,4711.02397,2913143419,5194.78317,483.75919,5752
69,VOLTAS,36439,36156,283,0.78,1578,1157.88172,719739251,1281.27423,123.39251,1373
70,BAJFINANCE,168143,166841,1302,0.78,5092,6706.3368,3211087042,7230.73222,524.39542,984
71,AUBANK,27151,26942,209,0.78,899,1817.2428,749583800,1922.4808,105.238,994
72,TATAELXSI,23301,23124,177,0.77,779,546.43548,370458635,615.37183,68.93635,5214
