,Symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,%chng
0,IDEA,EQ,11.2,11.28,10.84,11.28,10.76,4.83,429489824,47587.4724992,N,20-Aug-2024,Annual General Meeting,4.83
1,RECLTD,EQ,360.0,365.0,359.95,363.25,356.8,1.81,2500657,9082.1361583,N,27-Oct-2025,Interim Dividend - Rs 4.60 Per Share,1.81
2,INDUSTOWER,EQ,421.05,428.55,421.05,426.25,418.75,1.79,947748,4036.9326060000003,N,09-Aug-2024,Buy Back,1.79
3,ASHOKLEY,EQ,179.19,182.8,178.81,182.15,179.19,1.65,2730883,4949.1792608999995,N,18-Nov-2025,Interim Dividend - Re 1 Per Share,1.65
4,ETERNAL,EQ,278.6,283.0,278.55,282.4,278.05,1.56,1968629,5538.5408286,N,-,-,1.56
5,ADANIENSOL,EQ,1029.0,1040.7,1026.3,1039.8,1027.35,1.21,134865,1393.9241805000001,N,14-Jun-2024,Annual General Meeting,1.21
6,APLAPOLLO,EQ,1925.6,1941.7,1914.0,1937.0,1914.0,1.2,91476,1770.0057144,N,22-Aug-2025,Dividend - Rs 5.75 Per Share,1.2
7,PFC,EQ,358.9,362.35,357.15,359.6,355.4,1.18,1780601,6410.1636,N,26-Nov-2025,Interim Dividend - Rs 3.65 Per Share,1.18
8,ADANIGREEN,EQ,1019.7,1026.8,1015.5,1026.7,1015.1,1.14,152975,1560.8804125,N,14-Jun-2024,Annual General Meeting,1.14
9,M&M,EQ,3725.0,3765.0,3721.1,3750.9,3709.2,1.12,292485,10970.878362000001,N,04-Jul-2025,Dividend - Rs 25.30 Per Share,1.12
10,TVSMOTOR,EQ,3737.0,3769.2,3722.4,3760.7,3719.8,1.1,117624,4413.9111744,N,25-Aug-2025,Scheme Of Arrangement - Bonus Ncrps 4:1,1.1
11,RELIANCE,EQ,1573.7,1592.5,1572.3,1587.0,1570.4,1.06,1044308,16535.7817336,N,14-Aug-2025,Dividend - Rs 5.5 Per Share,1.06
12,COLPAL,EQ,2086.1,2100.0,2080.0,2097.5,2075.7,1.05,89414,1871.837383,N,03-Nov-2025,Interim Dividend - Rs 24 Per Share,1.05
13,INDIGO,EQ,5081.0,5175.0,5062.5,5112.0,5059.5,1.04,315080,16158.0901,N,13-Aug-2025,Dividend - Rs 10 Per Share,1.04
14,BHEL,EQ,288.5,292.15,288.1,290.3,287.45,0.99,1456910,4235.091679,N,01-Aug-2025,Dividend - Re 0.50 Per Share,0.99
15,ADANIENT,EQ,2249.0,2261.0,2241.0,2260.0,2239.7,0.91,118653,2670.7366463999997,N,17-Nov-2025,Rights 3:25 @ Premium Rs 1799/-,0.91
16,NYKAA,EQ,265.0,268.3,264.25,267.45,265.15,0.87,330818,883.2509782,N,10-Nov-2022,Bonus 5:1,0.87
17,WIPRO,EQ,264.5,268.05,263.75,265.6,263.28,0.87,916879,2441.9238407,N,28-Jul-2025,Interim Dividend - Rs 5 Per Share,0.88
18,DALBHARAT,EQ,2145.3,2159.7,2109.8,2149.5,2130.9,0.87,19965,428.61261299999995,N,24-Oct-2025,Interim Dividend - Rs 4 Per Share,0.87
19,ASTRAL,EQ,1397.9,1405.3,1392.1,1400.0,1388.5,0.83,45647,637.8894368,N,11-Nov-2025,Interim Dividend - Rs 1.50 Per Share,0.83
