,Symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,%chng
0,HINDPETRO,EQ,469.8,500.9,469.05,499.5,468.75,6.56,11948717,58864.1594288,N,06-Nov-2025,Interim Dividend - Rs 5 Per Share,6.56
1,JSWSTEEL,EQ,1156.0,1169.0,1132.6,1165.9,1111.6,4.88,5881898,68280.012933,N,08-Jul-2025,Dividend - Rs 2.80 Per Share,4.88
2,SAIL,EQ,145.1,149.19,143.8,147.1,141.02,4.31,68661714,100692.403581,N,08-Sep-2025,Dividend - Rs 1.60 Per Share,4.31
3,BPCL,EQ,369.5,386.0,369.0,383.45,369.5,3.78,12051156,45884.77647,N,07-Nov-2025,Interim Dividend - Rs 7.50 Per Share,3.78
4,LTF,EQ,304.4,316.6,302.45,316.0,305.45,3.45,9647536,30221.8712736,N,27-May-2025,Dividend - Rs 2.75 Per Share,3.45
5,INDIANB,EQ,812.9,840.4,806.5,836.8,809.0,3.44,3654469,30385.8133943,N,10-Jun-2025,Dividend - Rs 16.25 Per Share,3.44
6,SAMMAANCAP,EQ,142.6,148.39,142.55,145.67,141.01,3.3,39493816,57696.515794399995,N,20-Sep-2024,Dividend - Rs 2 Per Share,3.3
7,OIL,EQ,412.1,429.4,410.8,425.0,411.45,3.29,2728793,11570.3551993,N,21-Nov-2025,Interim Dividend - Rs 3.50 Per Share,3.29
8,TORNTPOWER,EQ,1271.5,1312.1,1268.5,1305.5,1266.6,3.07,245781,3192.203628,N,06-Jun-2025,Dividend - Rs 5 Per Share,3.07
9,IOC,EQ,161.57,167.33,161.43,166.34,161.57,2.95,24383706,40425.7461774,N,18-Dec-2025,Interim Dividend - Rs 5 Per Share,2.95
10,BAJAJHLDNG,EQ,11020.0,11500.0,11020.0,11305.0,10982.0,2.94,135869,15407.218514400001,N,22-Sep-2025,Interim Dividend - Rs 65 Per Share,2.94
11,INDUSINDBK,EQ,841.5,869.6,836.55,865.5,841.5,2.85,2887744,24838.930016,N,28-Jun-2024,Dividend - Rs 16.50 Per Share,2.85
12,SUPREMEIND,EQ,3276.0,3379.8,3276.0,3366.7,3274.3,2.82,243761,8163.8727793,N,03-Nov-2025,Interim Dividend - Rs 11 Per Share,2.82
13,JINDALSTEL,EQ,1042.4,1065.0,1042.4,1050.0,1021.3,2.81,4643020,49063.256642,N,22-Aug-2025,Dividend - Rs 2 Per Share,2.81
14,JSWENERGY,EQ,470.05,484.15,469.95,482.8,469.75,2.78,2308011,11099.4557001,N,06-Jun-2025,Dividend - Rs 2 Per Share,2.78
15,PGEL,EQ,560.15,582.45,560.15,576.55,562.05,2.58,2081910,11972.648028,N,19-Sep-2025,Dividend - Rs 0.25 Per Share,2.58
16,MFSL,EQ,1636.0,1683.4,1636.0,1676.2,1634.4,2.56,695541,11597.6592963,N,16-Aug-2024,Annual General Meeting,2.56
17,DIXON,EQ,11856.0,12239.0,11755.0,12061.0,11767.0,2.5,954154,114918.78483700001,N,16-Sep-2025,Dividend - Rs 8 Per Share,2.5
18,ONGC,EQ,234.69,241.0,234.61,240.46,234.68,2.46,11514802,27556.072666199998,N,14-Nov-2025,Interim Dividend - Rs 6 Per Share,2.46
19,TATASTEEL,EQ,180.0,181.4,178.5,179.93,175.8,2.35,50897201,91660.7692809,N,06-Jun-2025,Dividend - Rs 3.60 Per Share,2.35
