,Symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,%chng
0,IDEA,EQ,12.16,12.8,10.25,10.67,12.06,-11.53,3354154203,385727.733345,N,20-Aug-2024,Annual General Meeting,-11.53
1,HINDZINC,EQ,619.0,621.05,608.3,612.3,625.3,-2.08,9599983,59007.2555078,N,17-Jun-2025,Interim Dividend - Rs 10 Per Share,-2.08
2,SWIGGY,EQ,395.45,396.0,385.0,386.2,394.05,-1.99,7184388,27966.6671676,N,-,-,-1.99
3,POLICYBZR,EQ,1868.0,1874.9,1810.0,1830.0,1858.9,-1.55,801548,14661.9961708,N,-,-,-1.55
4,PREMIERENE,EQ,880.0,881.5,840.0,842.0,852.05,-1.18,2137470,18273.017283,N,29-Aug-2025,Dividend - Re 0.50 Per Share,-1.18
5,TCS,EQ,3240.0,3246.0,3198.5,3210.0,3246.8,-1.13,3362634,108144.99954719999,N,15-Oct-2025,Interim Dividend - Rs 11 Per Share,-1.13
6,KFINTECH,EQ,1097.8,1098.0,1076.5,1082.2,1092.1,-0.91,405788,4398.2143956,N,22-Aug-2025,Dividend - Rs 7.50 Per Share,-0.91
7,RVNL,EQ,360.5,366.25,356.1,357.2,360.35,-0.87,13232939,47690.1888621,N,21-Aug-2025,Dividend - Rs 1.72 Per Share,-0.87
8,TECHM,EQ,1614.8,1614.8,1588.3,1591.0,1604.6,-0.85,729913,11644.7400368,N,20-Oct-2025,Interim Dividend - Rs 15 Per Share,-0.85
9,NATIONALUM,EQ,318.05,319.85,313.45,314.65,316.6,-0.62,11874119,37512.716744800004,N,14-Nov-2025,Interim Dividend - Rs 4 Per Share,-0.62
10,WAAREEENER,EQ,2982.0,3032.0,2942.3,2962.0,2980.3,-0.61,1083975,32315.89629,N,24-Oct-2025,Interim Dividend - Rs 2 Per Share,-0.61
11,VEDL,EQ,610.0,610.05,599.35,602.4,605.55,-0.52,8925223,54032.407519700006,N,26-Aug-2025,Interim Dividend - Rs 16 Per Share,-0.52
12,ANGELONE,EQ,2374.8,2395.0,2331.0,2335.1,2347.1,-0.51,923550,21697.606635,N,30-May-2025,Dividend - Rs 26 Per Share,-0.51
13,NMDC,EQ,84.0,84.64,82.9,83.0,83.41,-0.49,31290373,26127.461455,N,14-Aug-2025,Dividend - Re 1 Per Share,-0.49
14,GRASIM,EQ,2844.5,2864.0,2803.5,2833.0,2841.7,-0.31,327956,9309.9821324,N,12-Aug-2025,Dividend - Rs 10 Per Share,-0.31
15,BAJFINANCE,EQ,990.0,994.2,978.4,986.5,989.3,-0.28,9895270,97386.278759,N,16-Jun-2025,Bonus 4:1,-0.28
16,INDUSTOWER,EQ,422.9,434.7,410.0,421.0,422.05,-0.25,17326544,73320.73624479999,N,09-Aug-2024,Buy Back,-0.25
17,MPHASIS,EQ,2795.9,2818.3,2776.2,2788.9,2795.7,-0.24,137856,3847.56096,N,09-Jul-2025,Dividend - Rs 57 Per Share,-0.24
18,INFY,EQ,1621.0,1628.6,1609.2,1617.9,1621.6,-0.23,6538656,105702.6051648,N,14-Nov-2025,Buy Back,-0.23
19,LTIM,EQ,6052.0,6105.5,6036.5,6060.0,6074.0,-0.23,93136,5654.109601599999,N,24-Oct-2025,Interim Dividend - Rs 22 Per Share,-0.23
