Symbol,%chng
PPLPHARMA,4.11
SAILIFE,3.38
CAPLIPOINT,3.26
KIMS,3.08
EMCURE,2.15
ERIS,1.72
ALKEM,1.72
FORTIS,1.69
MEDANTA,1.52
MANKIND,1.49
AUROPHARMA,1.36
NATCOPHARM,1.26
JBCHEPHARM,1.11
BIOCON,1.08
VIJAYA,1.08
MAXHEALTH,1.00
GLENMARK,0.97
INDGN,0.73
RAINBOW,0.68
CIPLA,0.61
TORNTPHARM,0.47
GLAXO,0.43
POLYMED,0.39
ASTERDM,0.37
DIVISLAB,0.35
LAURUSLABS,0.34
SUNPHARMA,0.33
AGARWALEYE,0.33
SYNGENE,0.25
APLLTD,0.17
ZYDUSLIFE,0.15
METROPOLIS,0.14
NEULANDLAB,0.11
LUPIN,0.10
IPCALAB,0.04
APOLLOHOSP,-0.06
WOCKPHARMA,-0.10
DRREDDY,-0.10
AJANTPHARM,-0.25
NH,-0.36
GLAND,-0.36
PFIZER,-0.43
COHANCE,-0.45
GRANULES,-0.57
JUBLPHARMA,-0.81
CONCORDBIO,-1.07
ABBOTINDIA,-1.33
ASTRAZEN,-1.52
ONESOURCE,-2.14
LALPATHLAB,-2.66
