Symbol,%chng
PPLPHARMA,4.96
CAPLIPOINT,2.73
ERIS,2.64
METROPOLIS,2.54
SAILIFE,2.42
KIMS,2.42
GLENMARK,2.31
ALKEM,2.22
MEDANTA,2.19
AUROPHARMA,1.84
MANKIND,1.73
FORTIS,1.68
EMCURE,1.66
JBCHEPHARM,1.64
POLYMED,1.61
ASTERDM,1.52
BIOCON,1.47
NEULANDLAB,1.47
VIJAYA,1.40
GLAXO,1.18
MAXHEALTH,1.11
NATCOPHARM,1.05
SYNGENE,0.89
DIVISLAB,0.76
ONESOURCE,0.68
CIPLA,0.61
TORNTPHARM,0.60
INDGN,0.55
SUNPHARMA,0.51
DRREDDY,0.34
ZYDUSLIFE,0.32
LUPIN,0.25
GLAND,0.17
APOLLOHOSP,0.17
APLLTD,0.16
IPCALAB,0.14
RAINBOW,0.13
AGARWALEYE,0.06
JUBLPHARMA,-0.03
LAURUSLABS,-0.31
AJANTPHARM,-0.32
PFIZER,-0.52
COHANCE,-0.62
NH,-0.63
GRANULES,-0.68
WOCKPHARMA,-1.05
ABBOTINDIA,-1.26
CONCORDBIO,-1.89
ASTRAZEN,-2.02
LALPATHLAB,-2.30
