Symbol,%chng in OI
MCX,941.18
WAAREEENER,186.06
BOSCHLTD,122.96
SWIGGY,44.9
FINNIFTY,41.96
BAJAJHLDNG,39.63
ITC,37.25
PREMIERENE,36.05
MIDCPNIFTY,28.17
HEROMOTOCO,21.88
TORNTPOWER,21.51
UNOMINDA,21.31
PGEL,19.31
NIFTY,18.41
DABUR,17.23
COALINDIA,14.54
SBILIFE,13.73
PPLPHARMA,13.52
BAJAJ-AUTO,13.27
BANKNIFTY,12.7
INDIANB,11.83
DRREDDY,11.69
SAMMAANCAP,11.3
360ONE,10.87
KAYNES,10.29
SBIN,10.18
TATACONSUM,10.04
BANKBARODA,9.62
FORTIS,9.59
OBEROIRLTY,9.57
NTPC,9.34
IREDA,9.1
TVSMOTOR,8.63
SYNGENE,8.6
BPCL,8.57
ONGC,8.51
BHEL,8.04
KPITTECH,7.96
MANAPPURAM,7.89
PFC,7.72
CANBK,7.7
POWERINDIA,7.61
RBLBANK,7.51
BANDHANBNK,7.49
TATAELXSI,7.43
LTIM,7.37
SHREECEM,7.22
MARUTI,7.16
CGPOWER,7.1
BLUESTARCO,6.91
BRITANNIA,6.9
UNITDSPR,6.83
DLF,6.58
POWERGRID,6.58
MOTHERSON,6.58
POLYCAB,6.54
HUDCO,6.51
SONACOMS,6.37
LODHA,6.3
LICI,6.28
NIFTYNXT50,6.26
APOLLOHOSP,6.16
HCLTECH,6.13
SIEMENS,5.66
INDHOTEL,5.56
TATAPOWER,5.46
PATANJALI,5.4
VOLTAS,5.38
ASIANPAINT,5.37
BANKINDIA,5.25
UNIONBANK,5.19
PAYTM,5.16
JUBLFOOD,4.93
DIXON,4.91
IEX,4.83
ANGELONE,4.74
PIIND,4.68
BAJAJFINSV,4.59
MPHASIS,4.51
DMART,4.41
PNB,4.4
INFY,4.4
AXISBANK,4.39
NHPC,4.37
TIINDIA,4.33
DALBHARAT,4.21
TORNTPHARM,4.21
HINDALCO,4.19
DIVISLAB,4.06
DELHIVERY,4.02
KFINTECH,3.86
CDSL,3.84
CHOLAFIN,3.8
LUPIN,3.79
GAIL,3.75
YESBANK,3.75
PHOENIXLTD,3.66
PIDILITIND,3.54
BHARTIARTL,3.51
MANKIND,3.48
HDFCAMC,3.43
INDUSTOWER,3.41
POLICYBZR,3.37
SUNPHARMA,3.37
JIOFIN,3.31
PAGEIND,3.23
ICICIPRULI,3.2
CIPLA,3.15
PERSISTENT,3.1
HAVELLS,3.08
TATATECH,3.08
GODREJCP,3.07
ICICIGI,2.97
APLAPOLLO,2.96
TRENT,2.93
TCS,2.93
KEI,2.9
M&M,2.89
COLPAL,2.85
COFORGE,2.81
RELIANCE,2.79
AUBANK,2.79
IDFCFIRSTB,2.78
NAUKRI,2.77
SUPREMEIND,2.74
ASHOKLEY,2.73
ZYDUSLIFE,2.71
HAL,2.63
IOC,2.63
LTF,2.6
KALYANKJIL,2.58
UPL,2.48
PRESTIGE,2.44
GRASIM,2.37
HINDPETRO,2.36
BAJFINANCE,2.34
KOTAKBANK,2.29
CROMPTON,2.22
ALKEM,2.22
ULTRACEMCO,2.2
BSE,2.15
MFSL,2.14
TECHM,2.11
NATIONALUM,2.1
HDFCBANK,2.08
LAURUSLABS,2.04
EXIDEIND,2.03
IRCTC,2.0
SRF,1.89
INDUSINDBK,1.81
BDL,1.8
EICHERMOT,1.78
VBL,1.7
WIPRO,1.67
RECLTD,1.66
TMPV,1.58
OFSS,1.56
ICICIBANK,1.53
NESTLEIND,1.52
TITAN,1.51
CONCOR,1.47
MUTHOOTFIN,1.31
SBICARD,1.22
AMBUJACEM,1.21
SUZLON,1.19
PETRONET,1.11
HINDZINC,1.11
MARICO,1.1
OIL,1.09
ADANIENSOL,1.09
ABB,1.09
IDEA,1.04
VEDL,1.02
LT,1.02
GMRAIRPORT,1.0
SHRIRAMFIN,0.93
ADANIPORTS,0.91
CAMS,0.89
CUMMINSIND,0.87
IRFC,0.82
BIOCON,0.82
HDFCLIFE,0.73
JSWSTEEL,0.72
INOXWIND,0.64
SOLARINDS,0.62
MAXHEALTH,0.51
AUROPHARMA,0.49
NBCC,0.44
ADANIENT,0.28
BEL,0.27
FEDERALBNK,0.23
NYKAA,0.22
AMBER,0.19
ETERNAL,0.19
MAZDOCK,-0.1
GODREJPROP,-0.24
NMDC,-0.24
INDIGO,-0.29
LICHSGFIN,-0.31
NUVAMA,-0.58
TATASTEEL,-0.6
IIFL,-0.72
ADANIGREEN,-0.77
GLENMARK,-0.87
ABCAPITAL,-1.04
HINDUNILVR,-1.46
PNBHOUSING,-1.53
BHARATFORG,-1.81
JINDALSTEL,-1.84
ASTRAL,-1.94
RVNL,-2.76
JSWENERGY,-3.16
SAIL,-3.18
