Symbol,%chng
IDEA,2.96
ETERNAL,2.87
INDUSTOWER,2.32
BHEL,2.01
BEL,0.78
IEX,3.51
VEDL,1.21
MAZDOCK,2.06
HINDZINC,2.24
INFY,0.59
NATIONALUM,2.25
KAYNES,0.37
BHARTIARTL,0.56
BDL,1.12
HCLTECH,1.45
TCS,0.48
CANBK,0.58
ONGC,1.53
BAJFINANCE,0.93
SBIN,0.44
PETRONET,3.44
ASHOKLEY,1.65
NMDC,0.53
TATAELXSI,0.5
UNIONBANK,1.04
BANKBARODA,0.6
YESBANK,0.7
ASIANPAINT,0.99
POWERGRID,1.27
MARICO,0.56
COFORGE,1.37
CUMMINSIND,0.52
OIL,2.2
INDIANB,1.67
NHPC,0.65
PNB,0.38
TECHM,1.29
TVSMOTOR,0.59
SIEMENS,1.03
BPCL,0.35
BANKINDIA,0.39
DMART,0.42
RBLBANK,0.37
GAIL,0.53
COLPAL,1.09
HAVELLS,1.04
LTIM,0.89
FEDERALBNK,0.37
JSWSTEEL,0.44
VOLTAS,0.47
MPHASIS,0.61
TATACONSUM,0.39
ICICIPRULI,0.65
BRITANNIA,0.55
