Symbol,%chng
IPCALAB,1.70
ONESOURCE,1.00
INDGN,-0.01
NH,-0.03
EMCURE,-0.18
ALKEM,-0.28
ABBOTINDIA,-0.30
MAXHEALTH,-0.45
CIPLA,-0.47
GRANULES,-0.50
DIVISLAB,-0.52
RAINBOW,-0.56
ASTRAZEN,-0.57
JUBLPHARMA,-0.74
AJANTPHARM,-0.81
ASTERDM,-0.97
APLLTD,-1.00
LUPIN,-1.03
GLAND,-1.08
AGARWALEYE,-1.24
SUNPHARMA,-1.27
APOLLOHOSP,-1.30
ERIS,-1.41
POLYMED,-1.43
COHANCE,-1.44
SAILIFE,-1.53
VIJAYA,-1.65
JBCHEPHARM,-1.66
TORNTPHARM,-1.76
CONCORDBIO,-1.83
GLENMARK,-1.85
CAPLIPOINT,-2.03
AUROPHARMA,-2.06
ZYDUSLIFE,-2.11
LAURUSLABS,-2.29
FORTIS,-2.32
PFIZER,-2.40
NEULANDLAB,-2.44
LALPATHLAB,-2.45
BIOCON,-2.47
GLAXO,-2.47
KIMS,-2.56
MANKIND,-2.67
MEDANTA,-2.79
DRREDDY,-2.92
SYNGENE,-3.35
METROPOLIS,-3.70
WOCKPHARMA,-3.82
NATCOPHARM,-3.92
PPLPHARMA,-4.68
