Symbol,%chng
ANGELONE,1.59
TATASTEEL,0.9
HUDCO,0.7
SHRIRAMFIN,0.56
KAYNES,0.49
NAUKRI,0.49
SBILIFE,0.49
ADANIGREEN,0.48
CGPOWER,0.48
SOLARINDS,0.46
TRENT,0.45
TORNTPOWER,0.44
UPL,0.44
GLENMARK,0.43
SAIL,0.42
PATANJALI,0.41
PIIND,0.37
ABCAPITAL,0.36
HCLTECH,0.34
INDUSTOWER,0.34
PAGEIND,0.33
KALYANKJIL,0.3
LAURUSLABS,0.3
LUPIN,0.3
KEI,0.28
LODHA,0.28
SWIGGY,0.28
PREMIERENE,0.26
ABB,0.25
MPHASIS,0.24
MCX,0.22
CROMPTON,0.21
CHOLAFIN,0.2
KPITTECH,0.2
RECLTD,0.19
ADANIPORTS,0.18
BHARTIARTL,0.18
DELHIVERY,0.18
IREDA,0.18
NHPC,0.17
INDIGO,0.16
NMDC,0.16
BHEL,0.12
CANBK,0.12
PHOENIXLTD,0.12
VBL,0.11
BAJAJ-AUTO,0.1
EICHERMOT,0.1
MANKIND,0.1
PERSISTENT,0.1
PNB,0.1
WAAREEENER,0.1
ICICIBANK,0.09
IDEA,0.09
DIXON,0.08
HDFCLIFE,0.08
LTIM,0.08
OBEROIRLTY,0.08
ITC,0.07
LT,0.07
JINDALSTEL,0.06
PNBHOUSING,0.06
ZYDUSLIFE,0.06
AUROPHARMA,0.05
MFSL,0.05
ADANIENT,0.04
DIVISLAB,0.04
DMART,0.04
SHREECEM,0.04
WIPRO,0.04
AMBER,0.03
BDL,0.03
COLPAL,0.03
EXIDEIND,0.03
POLICYBZR,0.03
SYNGENE,0.03
BAJAJHLDNG,0.02
HAL,0.02
HAVELLS,0.02
JSWSTEEL,0.02
BEL,0.01
NUVAMA,0.01
OFSS,0.01
UNOMINDA,0.01
VOLTAS,0.01
AMBUJACEM,0.0
ASTRAL,0.0
BANDHANBNK,0.0
BIOCON,0.0
BSE,0.0
CAMS,0.0
CIPLA,0.0
COALINDIA,0.0
CUMMINSIND,0.0
HEROMOTOCO,0.0
ICICIPRULI,0.0
IIFL,0.0
IOC,0.0
IRCTC,0.0
IRFC,0.0
LICHSGFIN,0.0
MANAPPURAM,0.0
MAZDOCK,0.0
NYKAA,0.0
PFC,0.0
PIDILITIND,0.0
POWERINDIA,0.0
PPLPHARMA,0.0
RVNL,0.0
SBICARD,0.0
SUZLON,0.0
TATAELXSI,0.0
TITAN,0.0
TVSMOTOR,0.0
UNITDSPR,0.0
DLF,-0.01
ICICIGI,-0.01
IDFCFIRSTB,-0.01
INFY,-0.01
MARUTI,-0.01
SRF,-0.01
TECHM,-0.01
TMPV,-0.01
ALKEM,-0.02
CONCOR,-0.02
FEDERALBNK,-0.02
SUPREMEIND,-0.02
TIINDIA,-0.02
BAJFINANCE,-0.03
MARICO,-0.03
SAMMAANCAP,-0.03
UNIONBANK,-0.03
APLAPOLLO,-0.04
NBCC,-0.04
POWERGRID,-0.04
YESBANK,-0.04
PAYTM,-0.05
SBIN,-0.05
TATACONSUM,-0.05
ASHOKLEY,-0.06
PGEL,-0.06
JIOFIN,-0.07
TATATECH,-0.07
GODREJCP,-0.08
COFORGE,-0.09
INDUSINDBK,-0.09
DRREDDY,-0.1
SIEMENS,-0.11
CDSL,-0.12
JSWENERGY,-0.12
FORTIS,-0.13
ETERNAL,-0.14
360ONE,-0.15
ADANIENSOL,-0.15
PRESTIGE,-0.15
AUBANK,-0.16
TATAPOWER,-0.16
ULTRACEMCO,-0.16
DABUR,-0.17
KOTAKBANK,-0.18
HDFCAMC,-0.21
LICI,-0.22
BHARATFORG,-0.23
DALBHARAT,-0.25
MUTHOOTFIN,-0.26
SONACOMS,-0.26
TCS,-0.26
GAIL,-0.27
RELIANCE,-0.28
APOLLOHOSP,-0.3
HINDPETRO,-0.3
TORNTPHARM,-0.3
BOSCHLTD,-0.31
BANKINDIA,-0.32
POLYCAB,-0.32
AXISBANK,-0.34
ONGC,-0.36
LTF,-0.37
GMRAIRPORT,-0.38
BANKBARODA,-0.41
HINDUNILVR,-0.43
NESTLEIND,-0.43
MAXHEALTH,-0.45
HDFCBANK,-0.46
JUBLFOOD,-0.46
PETRONET,-0.46
HINDALCO,-0.47
INDHOTEL,-0.47
BRITANNIA,-0.49
KFINTECH,-0.5
M&M,-0.5
ASIANPAINT,-0.51
VEDL,-0.51
RBLBANK,-0.52
BLUESTARCO,-0.53
BAJAJFINSV,-0.54
BPCL,-0.54
GODREJPROP,-0.54
GRASIM,-0.57
NTPC,-0.6
INOXWIND,-0.66
OIL,-0.72
INDIANB,-0.76
SUNPHARMA,-0.93
HINDZINC,-1.11
MOTHERSON,-1.13
NATIONALUM,-1.3
IEX,-1.82
