Symbol,%chng in OI
BAJAJHLDNG,157.8
CGPOWER,46.08
NIFTY,29.65
ABB,27.21
SIEMENS,18.08
BHEL,18.0
PREMIERENE,17.4
360ONE,16.76
POWERINDIA,12.42
IREDA,11.6
KPITTECH,11.58
HUDCO,11.28
BPCL,10.68
SBILIFE,10.39
TORNTPOWER,10.31
ANGELONE,10.13
SOLARINDS,10.13
HINDPETRO,9.89
CUMMINSIND,9.88
SWIGGY,9.84
ALKEM,9.57
CDSL,9.18
LT,9.06
OBEROIRLTY,8.8
TATAPOWER,8.72
SUZLON,8.58
SUNPHARMA,7.53
DRREDDY,7.42
PIIND,7.36
PAGEIND,7.0
POLICYBZR,6.88
BHARTIARTL,6.78
HCLTECH,6.74
IRCTC,6.74
GAIL,6.69
WAAREEENER,6.67
NAUKRI,6.6
RELIANCE,6.15
KAYNES,6.1
POLYCAB,5.86
IEX,5.79
BIOCON,5.58
LICI,5.4
BLUESTARCO,5.4
NBCC,5.16
EXIDEIND,5.02
SONACOMS,5.01
POWERGRID,4.92
RECLTD,4.88
JUBLFOOD,4.87
DMART,4.69
INOXWIND,4.64
NYKAA,4.6
LAURUSLABS,4.46
RVNL,4.22
JIOFIN,4.19
SUPREMEIND,4.15
ADANIGREEN,4.09
HDFCAMC,3.93
TRENT,3.83
KEI,3.82
BEL,3.79
COLPAL,3.76
BANKBARODA,3.74
IRFC,3.68
PRESTIGE,3.62
INDUSTOWER,3.62
NMDC,3.6
GRASIM,3.51
KFINTECH,3.48
ZYDUSLIFE,3.41
ONGC,3.39
SRF,3.34
BHARATFORG,3.15
GMRAIRPORT,3.09
PAYTM,3.03
IOC,2.97
ETERNAL,2.96
YESBANK,2.95
HINDUNILVR,2.94
MANKIND,2.86
UNOMINDA,2.84
NHPC,2.76
INDIGO,2.7
ADANIENT,2.65
FEDERALBNK,2.64
LICHSGFIN,2.58
INDHOTEL,2.45
AMBER,2.43
SBICARD,2.43
EICHERMOT,2.41
SYNGENE,2.39
HAL,2.36
TIINDIA,2.33
AUROPHARMA,2.32
TECHM,2.3
MARICO,2.25
TATATECH,2.2
HDFCBANK,2.2
GLENMARK,2.18
BAJFINANCE,2.15
CROMPTON,2.13
GODREJPROP,2.04
CIPLA,2.01
TORNTPHARM,1.98
TATASTEEL,1.98
ICICIGI,1.97
NESTLEIND,1.95
AMBUJACEM,1.93
UNITDSPR,1.92
INDIANB,1.9
LTF,1.88
INFY,1.87
BANKINDIA,1.82
BAJAJFINSV,1.78
CAMS,1.78
AXISBANK,1.75
MAZDOCK,1.71
MCX,1.65
HAVELLS,1.6
DIVISLAB,1.56
NUVAMA,1.54
ASIANPAINT,1.52
CANBK,1.49
RBLBANK,1.48
BRITANNIA,1.48
NTPC,1.48
IDEA,1.46
PERSISTENT,1.43
MANAPPURAM,1.39
BDL,1.35
HDFCLIFE,1.34
ICICIBANK,1.33
BANDHANBNK,1.28
DLF,1.28
HEROMOTOCO,1.25
PPLPHARMA,1.22
DALBHARAT,1.22
ADANIPORTS,1.2
CONCOR,1.2
COFORGE,1.17
APLAPOLLO,1.16
MIDCPNIFTY,1.14
TMPV,1.12
BAJAJ-AUTO,1.08
M&M,1.05
KOTAKBANK,1.05
JINDALSTEL,1.04
DABUR,1.01
TCS,1.0
PHOENIXLTD,0.99
DELHIVERY,0.97
LTIM,0.95
PATANJALI,0.94
APOLLOHOSP,0.85
MFSL,0.74
HINDZINC,0.72
BSE,0.69
ABCAPITAL,0.69
WIPRO,0.65
TATACONSUM,0.6
MAXHEALTH,0.38
UPL,0.34
BANKNIFTY,0.32
VBL,0.3
OFSS,0.27
ADANIENSOL,0.15
KALYANKJIL,-0.19
MPHASIS,-0.24
HINDALCO,-0.26
JSWSTEEL,-0.26
MOTHERSON,-0.35
PFC,-0.39
AUBANK,-0.43
ASTRAL,-0.44
PIDILITIND,-0.52
ITC,-0.61
LODHA,-0.79
ICICIPRULI,-0.79
MARUTI,-0.81
IDFCFIRSTB,-0.98
ULTRACEMCO,-1.0
SAMMAANCAP,-1.03
SHREECEM,-1.07
PETRONET,-1.08
FINNIFTY,-1.19
TVSMOTOR,-1.2
SBIN,-1.26
FORTIS,-1.31
UNIONBANK,-1.52
COALINDIA,-1.57
MUTHOOTFIN,-1.61
PNB,-1.62
ASHOKLEY,-1.62
CHOLAFIN,-1.66
DIXON,-1.81
BOSCHLTD,-1.92
PGEL,-1.97
LUPIN,-2.01
OIL,-2.04
JSWENERGY,-2.06
VEDL,-2.09
GODREJCP,-2.11
NATIONALUM,-2.31
NIFTYNXT50,-2.38
INDUSINDBK,-2.5
SAIL,-2.6
TITAN,-2.79
SHRIRAMFIN,-2.82
IIFL,-3.02
VOLTAS,-3.83
TATAELXSI,-4.28
PNBHOUSING,-4.8
