Symbol,%chng
POLYMED,0.17
PFIZER,0.14
DRREDDY,-0.03
CIPLA,-0.09
NEULANDLAB,-0.13
FORTIS,-0.16
NATCOPHARM,-0.25
ASTERDM,-0.32
DIVISLAB,-0.42
TORNTPHARM,-0.48
APOLLOHOSP,-0.52
GRANULES,-0.54
KIMS,-0.61
NH,-0.61
JBCHEPHARM,-0.61
IPCALAB,-0.62
ABBOTINDIA,-0.65
SUNPHARMA,-0.70
GLENMARK,-0.71
JUBLPHARMA,-0.73
AGARWALEYE,-0.74
MAXHEALTH,-0.76
EMCURE,-0.82
INDGN,-0.87
BIOCON,-0.91
AUROPHARMA,-0.93
RAINBOW,-0.94
ALKEM,-0.98
LUPIN,-1.00
ZYDUSLIFE,-1.05
WOCKPHARMA,-1.06
LAURUSLABS,-1.08
SYNGENE,-1.13
CAPLIPOINT,-1.20
GLAND,-1.22
ONESOURCE,-1.22
ASTRAZEN,-1.23
AJANTPHARM,-1.37
GLAXO,-1.47
PPLPHARMA,-1.48
METROPOLIS,-1.62
APLLTD,-1.76
MEDANTA,-1.77
ERIS,-1.82
SAILIFE,-1.86
VIJAYA,-1.92
MANKIND,-1.97
COHANCE,-2.03
CONCORDBIO,-2.46
LALPATHLAB,-2.59
