Symbol,%chng
IDEA,6.09
INDUSTOWER,4.44
BHEL,2.67
PETRONET,1.59
ABB,0.58
SBILIFE,0.52
OIL,0.5
ANGELONE,0.48
RVNL,0.42
EICHERMOT,0.41
ICICIPRULI,0.39
MAZDOCK,0.39
POWERGRID,0.39
INDIANB,0.38
ONGC,0.38
INDIGO,0.36
JSWSTEEL,0.35
BHARATFORG,0.33
BEL,0.32
TECHM,0.32
POWERINDIA,0.3
CIPLA,0.28
GRASIM,0.28
SUNPHARMA,0.26
BANDHANBNK,0.22
HUDCO,0.22
OBEROIRLTY,0.2
BHARTIARTL,0.19
PAGEIND,0.19
ADANIENSOL,0.17
PNB,0.15
NYKAA,0.14
JINDALSTEL,0.13
ASIANPAINT,0.12
SIEMENS,0.12
DMART,0.11
ICICIGI,0.1
AUBANK,0.09
COFORGE,0.05
CUMMINSIND,0.05
IIFL,0.05
PPLPHARMA,0.05
CROMPTON,0.04
NHPC,0.04
DLF,0.03
PREMIERENE,0.03
HCLTECH,0.02
JSWENERGY,0.02
LICI,0.02
SOLARINDS,0.02
DRREDDY,0.01
HDFCLIFE,0.01
LT,0.01
UNOMINDA,0.01
ADANIENT,0.0
AMBUJACEM,0.0
AXISBANK,0.0
BAJAJ-AUTO,0.0
BAJAJFINSV,0.0
BANKBARODA,0.0
BRITANNIA,0.0
CHOLAFIN,0.0
HEROMOTOCO,0.0
IEX,0.0
INOXWIND,0.0
ITC,0.0
JUBLFOOD,0.0
KEI,0.0
KOTAKBANK,0.0
LUPIN,0.0
MANAPPURAM,0.0
MARICO,0.0
MPHASIS,0.0
NAUKRI,0.0
NESTLEIND,0.0
NMDC,0.0
NTPC,0.0
OFSS,0.0
PNBHOUSING,0.0
SHREECEM,0.0
SWIGGY,0.0
SYNGENE,0.0
AUROPHARMA,-0.01
DIVISLAB,-0.01
IRCTC,-0.01
MARUTI,-0.01
TATACONSUM,-0.01
GAIL,-0.02
IRFC,-0.03
CANBK,-0.04
HDFCAMC,-0.04
HINDPETRO,-0.04
TVSMOTOR,-0.04
ETERNAL,-0.05
ULTRACEMCO,-0.05
DIXON,-0.06
BAJAJHLDNG,-0.07
NUVAMA,-0.07
ZYDUSLIFE,-0.07
ADANIGREEN,-0.08
FEDERALBNK,-0.08
SRF,-0.08
VEDL,-0.08
BDL,-0.09
MOTHERSON,-0.09
MUTHOOTFIN,-0.1
RBLBANK,-0.11
CGPOWER,-0.12
IREDA,-0.13
KAYNES,-0.13
PERSISTENT,-0.13
DABUR,-0.14
POLYCAB,-0.14
ADANIPORTS,-0.15
MAXHEALTH,-0.15
PRESTIGE,-0.15
CAMS,-0.16
TATATECH,-0.17
HDFCBANK,-0.18
BAJFINANCE,-0.19
HINDUNILVR,-0.2
IDFCFIRSTB,-0.2
INFY,-0.2
SBIN,-0.2
COLPAL,-0.21
APOLLOHOSP,-0.22
HINDALCO,-0.22
SAMMAANCAP,-0.22
SUZLON,-0.22
ASHOKLEY,-0.23
GODREJPROP,-0.24
360ONE,-0.25
DALBHARAT,-0.25
TORNTPHARM,-0.26
TRENT,-0.26
GLENMARK,-0.28
KFINTECH,-0.28
LICHSGFIN,-0.28
LTIM,-0.28
VOLTAS,-0.28
BANKINDIA,-0.29
BLUESTARCO,-0.29
HAL,-0.29
POLICYBZR,-0.29
ALKEM,-0.3
HAVELLS,-0.3
MFSL,-0.3
NBCC,-0.3
TIINDIA,-0.3
MCX,-0.31
SAIL,-0.31
M&M,-0.32
TATAPOWER,-0.32
WIPRO,-0.32
UNIONBANK,-0.35
COALINDIA,-0.36
CDSL,-0.38
RECLTD,-0.38
RELIANCE,-0.38
FORTIS,-0.4
TCS,-0.4
TMPV,-0.4
AMBER,-0.41
BOSCHLTD,-0.41
BIOCON,-0.42
LTF,-0.42
TITAN,-0.42
ABCAPITAL,-0.43
BPCL,-0.44
HINDZINC,-0.44
YESBANK,-0.44
PAYTM,-0.45
PGEL,-0.45
DELHIVERY,-0.47
GMRAIRPORT,-0.47
CONCOR,-0.48
KALYANKJIL,-0.49
PFC,-0.49
APLAPOLLO,-0.5
MANKIND,-0.5
BSE,-0.52
JIOFIN,-0.53
KPITTECH,-0.53
LAURUSLABS,-0.54
GODREJCP,-0.55
ICICIBANK,-0.55
SHRIRAMFIN,-0.59
TATASTEEL,-0.59
EXIDEIND,-0.6
INDUSINDBK,-0.61
SBICARD,-0.64
UPL,-0.69
PATANJALI,-0.7
PIDILITIND,-0.71
TORNTPOWER,-0.71
INDHOTEL,-0.73
IOC,-0.75
LODHA,-0.75
ASTRAL,-0.76
UNITDSPR,-0.76
NATIONALUM,-0.79
PHOENIXLTD,-0.8
SUPREMEIND,-0.91
TATAELXSI,-0.95
WAAREEENER,-0.96
VBL,-0.98
SONACOMS,-1.03
PIIND,-1.09
