Symbol,%chng in OI
NIFTY,12.05
POWERINDIA,8.59
BHEL,7.0
HINDZINC,3.16
BANKNIFTY,3.04
INDUSTOWER,2.72
ABB,2.37
ZYDUSLIFE,2.33
OIL,1.78
EICHERMOT,1.39
CGPOWER,1.38
POLYCAB,1.35
ANGELONE,1.28
MIDCPNIFTY,1.27
FINNIFTY,1.22
SONACOMS,1.14
JIOFIN,1.12
UNITDSPR,1.06
GODREJPROP,1.01
DELHIVERY,0.96
BOSCHLTD,0.95
WAAREEENER,0.93
BSE,0.91
IEX,0.88
ADANIENT,0.85
LODHA,0.82
INDIGO,0.8
TITAN,0.79
HINDUNILVR,0.75
BPCL,0.74
HDFCBANK,0.72
INDHOTEL,0.72
MCX,0.71
SBILIFE,0.71
PREMIERENE,0.7
APLAPOLLO,0.69
SRF,0.69
IDFCFIRSTB,0.67
PPLPHARMA,0.66
ALKEM,0.64
DMART,0.62
GLENMARK,0.6
WIPRO,0.6
JUBLFOOD,0.59
KEI,0.58
APOLLOHOSP,0.57
POLICYBZR,0.55
SYNGENE,0.55
VEDL,0.54
SWIGGY,0.53
SBIN,0.53
NATIONALUM,0.53
ITC,0.52
BIOCON,0.5
HINDPETRO,0.49
PETRONET,0.49
BAJAJHLDNG,0.48
IRCTC,0.47
LAURUSLABS,0.47
TMPV,0.46
AXISBANK,0.45
NTPC,0.45
MUTHOOTFIN,0.44
MAXHEALTH,0.43
SUZLON,0.43
SHREECEM,0.42
MARUTI,0.42
DRREDDY,0.41
HINDALCO,0.4
GRASIM,0.4
ULTRACEMCO,0.4
EXIDEIND,0.38
KAYNES,0.37
LICHSGFIN,0.36
JINDALSTEL,0.36
IOC,0.35
SHRIRAMFIN,0.35
KOTAKBANK,0.34
NAUKRI,0.33
TIINDIA,0.33
CDSL,0.33
PAGEIND,0.32
360ONE,0.32
BAJAJFINSV,0.32
BAJAJ-AUTO,0.32
DIXON,0.32
OFSS,0.32
CIPLA,0.31
PERSISTENT,0.31
BANKBARODA,0.31
PFC,0.3
BHARATFORG,0.3
KALYANKJIL,0.29
CROMPTON,0.29
ADANIPORTS,0.29
OBEROIRLTY,0.29
RECLTD,0.28
HAVELLS,0.28
ADANIGREEN,0.27
ASIANPAINT,0.26
LUPIN,0.25
TRENT,0.25
NESTLEIND,0.24
CHOLAFIN,0.24
SUPREMEIND,0.24
NBCC,0.24
IREDA,0.23
ICICIGI,0.23
TORNTPOWER,0.22
PAYTM,0.21
DIVISLAB,0.21
IRFC,0.19
MANAPPURAM,0.19
PGEL,0.19
MANKIND,0.19
AUBANK,0.18
RVNL,0.18
GAIL,0.18
AUROPHARMA,0.18
ABCAPITAL,0.18
INOXWIND,0.18
MOTHERSON,0.18
AMBER,0.18
NHPC,0.17
FORTIS,0.17
HDFCLIFE,0.17
TATAPOWER,0.16
SOLARINDS,0.16
MARICO,0.15
NYKAA,0.14
RBLBANK,0.14
INDUSINDBK,0.14
LTF,0.14
TATACONSUM,0.14
AMBUJACEM,0.14
TATASTEEL,0.14
DLF,0.13
LICI,0.13
BHARTIARTL,0.12
VOLTAS,0.12
DALBHARAT,0.12
FEDERALBNK,0.12
PIIND,0.11
CAMS,0.11
JSWSTEEL,0.11
PNB,0.1
GODREJCP,0.1
HCLTECH,0.09
UPL,0.09
SBICARD,0.09
PRESTIGE,0.08
HEROMOTOCO,0.08
BLUESTARCO,0.06
LT,0.06
M&M,0.05
ADANIENSOL,0.05
UNOMINDA,0.05
MFSL,0.05
PATANJALI,0.04
IIFL,0.04
ETERNAL,0.03
COALINDIA,0.03
INFY,0.03
LTIM,0.02
ICICIPRULI,0.02
BRITANNIA,0.02
TORNTPHARM,0.02
TECHM,0.01
HAL,0.0
SAIL,0.0
SAMMAANCAP,-0.01
NMDC,-0.01
ASHOKLEY,-0.03
TVSMOTOR,-0.03
SUNPHARMA,-0.03
RELIANCE,-0.04
ONGC,-0.04
MAZDOCK,-0.04
BANDHANBNK,-0.04
DABUR,-0.07
JSWENERGY,-0.08
CONCOR,-0.08
NIFTYNXT50,-0.08
PNBHOUSING,-0.1
VBL,-0.1
GMRAIRPORT,-0.13
KPITTECH,-0.16
CANBK,-0.16
POWERGRID,-0.17
PHOENIXLTD,-0.18
PIDILITIND,-0.18
COFORGE,-0.19
BANKINDIA,-0.21
ASTRAL,-0.21
TATATECH,-0.23
BAJFINANCE,-0.25
HDFCAMC,-0.27
KFINTECH,-0.28
TCS,-0.3
YESBANK,-0.32
MPHASIS,-0.33
UNIONBANK,-0.34
INDIANB,-0.36
CUMMINSIND,-0.42
HUDCO,-0.43
BEL,-0.46
IDEA,-0.48
TATAELXSI,-0.54
BDL,-0.58
SIEMENS,-0.7
ICICIBANK,-0.71
NUVAMA,-0.75
COLPAL,-1.44
