Symbol,%chng
HDFCBANK,-0.51
ICICIBANK,-1.23
BSE,-0.61
ITC,-0.35
POWERINDIA,-3.42
CGPOWER,-2.42
WAAREEENER,-1.63
RVNL,-0.51
MCX,-0.67
DIXON,-1.27
SHRIRAMFIN,-0.86
SUZLON,-1.71
TIINDIA,-1.19
RECLTD,-0.77
TRENT,-0.69
JIOFIN,-0.6
TATASTEEL,-0.36
IREDA,-1.79
ADANIENT,-1.3
TMPV,-0.97
KOTAKBANK,-0.38
HDFCLIFE,-0.44
LODHA,-2.2
CROMPTON,-0.8
WIPRO,-0.46
IRFC,-0.75
CDSL,-0.78
ANGELONE,-1.26
DLF,-1.21
APOLLOHOSP,-0.44
DIVISLAB,-0.4
KALYANKJIL,-0.7
HINDUNILVR,-0.43
PREMIERENE,-0.99
INDHOTEL,-1.14
NTPC,-0.99
PAYTM,-0.71
GODREJPROP,-2.94
ADANIPORTS,-1.26
ADANIGREEN,-0.82
NBCC,-0.75
SAIL,-1.15
UPL,-0.63
INOXWIND,-1.43
POLYCAB,-0.61
LTF,-0.47
PERSISTENT,-1.0
BOSCHLTD,-0.4
LAURUSLABS,-1.13
PFC,-0.56
ULTRACEMCO,-0.5
TATAPOWER,-0.91
DELHIVERY,-1.46
CHOLAFIN,-0.86
MANAPPURAM,-0.48
HDFCAMC,-0.45
BAJAJHLDNG,-0.45
SUNPHARMA,-0.65
ZYDUSLIFE,-0.96
IRCTC,-0.54
NYKAA,-0.58
BAJAJFINSV,-0.37
MOTHERSON,-1.35
PGEL,-0.51
ABCAPITAL,-0.67
MAXHEALTH,-0.68
LUPIN,-0.92
ADANIENSOL,-0.68
KFINTECH,-0.51
AUROPHARMA,-0.95
PPLPHARMA,-1.3
GMRAIRPORT,-0.38
GLENMARK,-0.71
TATATECH,-0.79
POLICYBZR,-1.19
JSWENERGY,-1.01
PRESTIGE,-1.25
BANDHANBNK,-0.54
AMBUJACEM,-0.56
KPITTECH,-0.36
OBEROIRLTY,-0.82
MPHASIS,-0.55
APLAPOLLO,-0.86
PNBHOUSING,-0.51
PAGEIND,-0.37
SRF,-0.69
NAUKRI,-0.76
MANKIND,-1.91
SONACOMS,-0.64
TORNTPHARM,-0.55
ALKEM,-0.97
BIOCON,-0.87
CAMS,-0.58
SUPREMEIND,-1.03
SBICARD,-0.57
MFSL,-0.71
CONCOR,-0.67
NUVAMA,-0.89
PATANJALI,-0.57
EXIDEIND,-0.55
TORNTPOWER,-0.71
KEI,-0.38
SYNGENE,-1.07
ASTRAL,-0.83
DALBHARAT,-0.43
UNOMINDA,-0.66
PIIND,-0.62
360ONE,-0.98
BLUESTARCO,-0.64
