Symbol,%chng
RELIANCE,-2.23
BHEL,-8.78
TCS,-3.02
HINDZINC,-6.35
BHARTIARTL,-0.84
VEDL,-3.23
BSE,-1.95
KAYNES,-3.04
LT,-2.7
NATIONALUM,-5.57
CGPOWER,-3.68
TATASTEEL,-2.12
SBIN,-0.95
INDIGO,-0.93
INFY,-1.61
MCX,-3.21
TATAELXSI,-2.61
APOLLOHOSP,-1.3
HINDALCO,-3.78
BAJAJ-AUTO,-0.53
AXISBANK,-0.73
KOTAKBANK,-0.65
M&M,-0.9
CUMMINSIND,-0.53
TITAN,-0.73
SWIGGY,-2.76
HAL,-1.22
NMDC,-5.47
MARUTI,-0.98
CIPLA,-0.47
BRITANNIA,-2.64
RECLTD,-3.75
PAYTM,-1.12
WAAREEENER,-2.59
SHRIRAMFIN,-0.39
ANGELONE,-2.65
IEX,-3.47
JIOFIN,-3.57
ABB,-4.96
EICHERMOT,-0.4
TRENT,-1.98
POWERINDIA,-6.1
SUNPHARMA,-1.27
JINDALSTEL,-6.02
HEROMOTOCO,-2.19
BDL,-0.44
SAIL,-2.57
INDUSINDBK,-1.83
YESBANK,-3.4
SUZLON,-3.93
POWERGRID,-1.84
NTPC,-1.82
HINDPETRO,-5.4
RVNL,-4.39
PFC,-3.46
BHARATFORG,-2.06
POLICYBZR,-1.77
HINDUNILVR,-0.4
ULTRACEMCO,-0.98
BPCL,-3.8
KALYANKJIL,-2.07
TMPV,-1.47
TECHM,-3.03
CANBK,-1.67
CDSL,-2.68
POLYCAB,-1.66
COALINDIA,-1.68
COFORGE,-3.15
DLF,-1.69
CHOLAFIN,-1.76
WIPRO,-3.29
BANKBARODA,-2.84
DRREDDY,-2.92
MARICO,-1.72
MUTHOOTFIN,-2.68
PERSISTENT,-1.56
MAZDOCK,-1.23
DIVISLAB,-0.52
MAXHEALTH,-0.45
UNIONBANK,-3.04
ONGC,-3.29
IOC,-3.95
HDFCAMC,-1.74
INDHOTEL,-1.89
FEDERALBNK,-1.1
ADANIGREEN,-3.47
PREMIERENE,-3.44
LODHA,-2.16
LUPIN,-1.03
UPL,-1.25
LTF,-2.23
ADANIENT,-2.85
SIEMENS,-4.26
VBL,-1.8
HUDCO,-4.29
OIL,-2.49
ASIANPAINT,-0.76
RBLBANK,-3.09
ASHOKLEY,-1.13
DABUR,-0.42
KPITTECH,-2.77
IRFC,-3.19
MOTHERSON,-1.74
PATANJALI,-2.51
GAIL,-3.07
NYKAA,-3.49
FORTIS,-2.32
LAURUSLABS,-2.29
DMART,-1.29
BAJAJFINSV,-1.32
HDFCLIFE,-1.61
IREDA,-3.48
JSWSTEEL,-2.67
NAUKRI,-1.41
TATAPOWER,-1.84
PNB,-2.43
TVSMOTOR,-0.85
MANAPPURAM,-3.56
JUBLFOOD,-2.12
TATATECH,-3.15
IRCTC,-2.65
GRASIM,-1.76
360ONE,-1.38
PNBHOUSING,-2.47
ADANIENSOL,-3.99
NBCC,-3.75
UNITDSPR,-2.01
OFSS,-3.29
MPHASIS,-2.0
INDIANB,-4.12
HAVELLS,-1.09
AUBANK,-1.36
INOXWIND,-4.46
ICICIGI,-2.91
BOSCHLTD,-1.53
LICHSGFIN,-2.62
AUROPHARMA,-2.06
TORNTPOWER,-3.2
DELHIVERY,-0.89
KFINTECH,-1.14
PETRONET,-3.86
BANKINDIA,-3.13
ABCAPITAL,-1.14
NHPC,-1.98
MFSL,-1.93
GODREJPROP,-2.25
AMBER,-2.03
LTIM,-1.61
GLENMARK,-1.85
BANDHANBNK,-2.06
GODREJCP,-0.91
SAMMAANCAP,-2.63
SRF,-1.54
TORNTPHARM,-1.76
COLPAL,-1.42
IIFL,-1.36
UNOMINDA,-3.82
SONACOMS,-2.49
PIDILITIND,-1.1
AMBUJACEM,-2.85
NESTLEIND,-0.67
LICI,-1.71
PHOENIXLTD,-2.1
PRESTIGE,-2.2
KEI,-3.02
PGEL,-2.47
CROMPTON,-2.28
TATACONSUM,-1.25
SBICARD,-1.54
CONCOR,-3.25
CAMS,-1.51
JSWENERGY,-3.04
MANKIND,-2.67
TIINDIA,-0.93
VOLTAS,-2.76
PAGEIND,-1.89
DALBHARAT,-2.6
PPLPHARMA,-4.68
GMRAIRPORT,-1.94
ASTRAL,-1.74
NUVAMA,-2.16
SYNGENE,-3.35
BIOCON,-2.47
SHREECEM,-1.52
APLAPOLLO,-1.84
EXIDEIND,-2.03
PIIND,-1.33
BLUESTARCO,-1.23
ZYDUSLIFE,-2.11
SUPREMEIND,-2.4
