Symbol,%chng
METROPOLIS,-0.94
KIMS,-0.94
IPCALAB,-0.94
EMCURE,-0.94
PFIZER,-0.94
AGARWALEYE,-0.94
BIOCON,-0.94
DRREDDY,-0.94
CIPLA,-0.94
POLYMED,-0.94
ALKEM,-0.94
DIVISLAB,-0.94
ASTERDM,-0.94
LUPIN,-0.94
CAPLIPOINT,-0.94
NEULANDLAB,-0.94
RAINBOW,-0.94
ABBOTINDIA,-0.94
GLAND,-0.94
ASTRAZEN,-0.94
GRANULES,-0.94
AUROPHARMA,-0.94
NH,-0.94
SYNGENE,-0.94
GLAXO,-0.94
ONESOURCE,-0.94
MAXHEALTH,-0.94
SUNPHARMA,-0.94
JBCHEPHARM,-0.94
APOLLOHOSP,-0.94
ZYDUSLIFE,-0.94
FORTIS,-0.94
LAURUSLABS,-0.94
APLLTD,-0.94
TORNTPHARM,-0.94
MEDANTA,-0.94
VIJAYA,-0.94
JUBLPHARMA,-0.94
CONCORDBIO,-0.94
LALPATHLAB,-0.94
ERIS,-0.94
PPLPHARMA,-0.94
INDGN,-0.94
NATCOPHARM,-0.94
AJANTPHARM,-0.94
MANKIND,-0.94
COHANCE,-0.94
GLENMARK,-0.94
WOCKPHARMA,-0.94
SAILIFE,-0.94
