Symbol,%chng
ETERNAL,1.49
BIOCON,1.4
INFY,1.38
ADANIENSOL,1.28
INOXWIND,1.23
HDFCBANK,1.15
SIEMENS,1.11
ADANIGREEN,1.08
BSE,1.05
HCLTECH,1.04
AUROPHARMA,1.03
DELHIVERY,0.99
OIL,0.98
ONGC,0.97
SAMMAANCAP,0.95
M&M,0.95
HEROMOTOCO,0.93
HINDZINC,0.92
AMBER,0.92
DIXON,0.91
PAYTM,0.9
TATAELXSI,0.89
NATIONALUM,0.84
WAAREEENER,0.81
PHOENIXLTD,0.79
HINDALCO,0.79
ZYDUSLIFE,0.78
PAGEIND,0.76
LTF,0.76
COFORGE,0.76
OBEROIRLTY,0.75
ADANIENT,0.75
SBIN,0.75
IDFCFIRSTB,0.74
SUZLON,0.71
KALYANKJIL,0.71
RVNL,0.71
EICHERMOT,0.7
POWERINDIA,0.69
BANKINDIA,0.69
IEX,0.68
ALKEM,0.68
KAYNES,0.67
CANBK,0.65
LTIM,0.64
MCX,0.63
CAMS,0.63
UNIONBANK,0.62
PNBHOUSING,0.6
VEDL,0.6
PREMIERENE,0.59
HDFCAMC,0.58
MFSL,0.57
INDIANB,0.57
RECLTD,0.57
ICICIPRULI,0.56
MAZDOCK,0.55
PIDILITIND,0.55
JUBLFOOD,0.55
PFC,0.54
IDEA,0.53
GLENMARK,0.52
PNB,0.52
RBLBANK,0.51
UPL,0.5
IRCTC,0.5
GAIL,0.5
DMART,0.5
ICICIBANK,0.49
MOTHERSON,0.49
NMDC,0.49
BEL,0.49
MARUTI,0.48
GODREJPROP,0.48
NBCC,0.47
BHEL,0.47
BDL,0.46
ABCAPITAL,0.46
JINDALSTEL,0.45
YESBANK,0.44
CGPOWER,0.44
PPLPHARMA,0.43
NAUKRI,0.43
APOLLOHOSP,0.42
INDHOTEL,0.42
UNOMINDA,0.4
SUNPHARMA,0.4
ANGELONE,0.4
PIIND,0.39
INDUSINDBK,0.39
COALINDIA,0.39
IRFC,0.38
NYKAA,0.38
BAJAJHLDNG,0.37
HINDUNILVR,0.37
BPCL,0.35
IIFL,0.35
BANDHANBNK,0.35
PGEL,0.34
OFSS,0.34
CHOLAFIN,0.3
CROMPTON,0.3
BANKBARODA,0.3
IOC,0.29
JIOFIN,0.29
LICHSGFIN,0.28
APLAPOLLO,0.27
CONCOR,0.26
MANAPPURAM,0.25
SONACOMS,0.24
AMBUJACEM,0.24
JSWENERGY,0.24
SWIGGY,0.23
SHRIRAMFIN,0.23
PERSISTENT,0.23
PETRONET,0.23
BOSCHLTD,0.23
LT,0.22
AUBANK,0.22
UNITDSPR,0.21
DABUR,0.19
POWERGRID,0.19
ITC,0.18
HAVELLS,0.18
CDSL,0.18
NUVAMA,0.18
TCS,0.17
BAJAJ-AUTO,0.16
BHARTIARTL,0.15
HAL,0.15
TATASTEEL,0.14
GODREJCP,0.14
POLYCAB,0.14
360ONE,0.13
WIPRO,0.13
VOLTAS,0.12
RELIANCE,0.12
ASIANPAINT,0.12
LICI,0.12
EXIDEIND,0.11
NHPC,0.11
FEDERALBNK,0.1
ASTRAL,0.09
INDUSTOWER,0.09
TVSMOTOR,0.09
LUPIN,0.09
MARICO,0.09
PATANJALI,0.09
TORNTPOWER,0.07
SUPREMEIND,0.06
SHREECEM,0.06
DLF,0.05
BHARATFORG,0.05
TRENT,0.04
ABB,0.04
POLICYBZR,0.03
TMPV,0.03
SBICARD,0.02
FORTIS,0.02
ASHOKLEY,0.02
SAIL,0.02
LODHA,0.02
DRREDDY,0.01
SOLARINDS,0.01
KPITTECH,0.01
HUDCO,0.01
NTPC,0.0
VBL,0.0
ADANIPORTS,0.0
MAXHEALTH,0.0
JSWSTEEL,0.0
KFINTECH,0.0
BAJAJFINSV,0.0
LAURUSLABS,0.0
TIINDIA,0.0
DALBHARAT,0.0
TATAPOWER,0.0
TITAN,0.0
NESTLEIND,0.0
HINDPETRO,-0.01
MPHASIS,-0.01
ICICIGI,-0.02
AXISBANK,-0.02
SRF,-0.04
IREDA,-0.07
GMRAIRPORT,-0.08
TATATECH,-0.11
CUMMINSIND,-0.12
KEI,-0.18
BLUESTARCO,-0.18
MANKIND,-0.19
TATACONSUM,-0.19
BAJFINANCE,-0.2
MUTHOOTFIN,-0.23
BRITANNIA,-0.23
TORNTPHARM,-0.25
COLPAL,-0.26
TECHM,-0.26
GRASIM,-0.27
SYNGENE,-0.28
KOTAKBANK,-0.3
PRESTIGE,-0.34
CIPLA,-0.35
INDIGO,-0.36
SBILIFE,-0.38
DIVISLAB,-0.38
ULTRACEMCO,-0.4
HDFCLIFE,-0.6
