Symbol,%chng
BSE,4.78
ICICIBANK,1.12
RELIANCE,0.59
BHARTIARTL,0.77
IEX,2.67
HINDZINC,3.86
VEDL,2.98
NATIONALUM,0.85
DMART,0.76
SBIN,1.4
KAYNES,1.27
TCS,1.1
IREDA,3.91
WAAREEENER,1.78
HINDALCO,2.21
COALINDIA,3.39
PREMIERENE,4.37
ASIANPAINT,2.5
MARUTI,0.63
MANAPPURAM,2.85
TATASTEEL,2.75
MCX,2.19
SUNPHARMA,0.35
MAZDOCK,0.98
TRENT,1.94
INDUSINDBK,2.86
JIOFIN,0.42
HAL,1.32
ULTRACEMCO,1.53
PFC,3.72
NTPC,0.57
SAIL,2.7
RVNL,0.51
RECLTD,1.87
ADANIENT,1.08
YESBANK,0.53
HINDUNILVR,1.53
CDSL,0.69
COFORGE,0.86
POWERGRID,0.37
BDL,0.95
ANGELONE,1.65
VBL,0.86
ONGC,0.62
SBILIFE,1.01
ADANIPORTS,0.68
TITAN,0.64
TATAPOWER,1.43
IRFC,1.44
BAJAJFINSV,0.45
MUTHOOTFIN,2.36
UNIONBANK,1.3
PNB,0.46
NMDC,1.8
BANKBARODA,0.77
LODHA,1.19
JSWSTEEL,2.26
BPCL,1.37
JINDALSTEL,1.24
AUBANK,1.01
GAIL,1.64
PIIND,1.71
NESTLEIND,1.05
HDFCLIFE,0.63
GODREJCP,0.99
AMBUJACEM,0.57
GRASIM,1.0
HINDPETRO,0.46
NHPC,0.58
JSWENERGY,1.17
APLAPOLLO,0.79
PNBHOUSING,0.68
HUDCO,1.23
WIPRO,0.52
COLPAL,2.11
DABUR,0.43
ABCAPITAL,0.59
IOC,0.53
JUBLFOOD,0.62
DRREDDY,0.53
TATACONSUM,1.22
MARICO,0.47
PIDILITIND,1.19
BHARATFORG,0.59
LICI,0.42
GLENMARK,0.35
EXIDEIND,1.05
ALKEM,1.5
ICICIGI,0.89
DALBHARAT,0.87
SHREECEM,0.65
OIL,1.3
KEI,0.65
TORNTPOWER,1.95
SYNGENE,1.11
MANKIND,0.65
