Symbol,%chng
BHARTIARTL,-0.88
HCLTECH,-1.62
TCS,-0.83
RELIANCE,-0.98
LT,-2.31
IDEA,-1.07
M&M,-0.53
SUZLON,-0.41
MAZDOCK,-0.46
INDUSINDBK,-0.66
TATASTEEL,-0.8
DRREDDY,-1.37
IREDA,-0.61
GODREJPROP,-1.3
INDIGO,-0.35
TMPV,-0.57
DLF,-0.93
PFC,-0.62
NBCC,-0.58
POLYCAB,-0.85
SAIL,-0.56
INDUSTOWER,-0.35
ADANIENT,-0.36
POLICYBZR,-0.9
IOC,-0.37
ADANIENSOL,-0.58
TRENT,-0.53
CIPLA,-1.12
PRESTIGE,-0.56
BPCL,-0.75
AMBER,-0.56
SUNPHARMA,-0.51
TORNTPHARM,-0.59
ASHOKLEY,-0.45
AUBANK,-0.72
HAVELLS,-0.6
TVSMOTOR,-0.48
CAMS,-0.46
LODHA,-0.9
TATAPOWER,-0.38
CROMPTON,-0.38
JSWENERGY,-1.15
NHPC,-1.0
HINDPETRO,-0.59
GLENMARK,-1.5
KEI,-1.09
PGEL,-0.54
DELHIVERY,-1.11
JUBLFOOD,-0.42
ABB,-0.44
PPLPHARMA,-0.47
EXIDEIND,-0.37
PETRONET,-0.56
NYKAA,-0.38
MANKIND,-0.71
PATANJALI,-0.43
SYNGENE,-0.84
BLUESTARCO,-0.35
