Symbol,%chng
INFY,-1.02
BHEL,-2.57
POWERINDIA,-2.85
CUMMINSIND,-3.33
SHRIRAMFIN,-0.65
BAJFINANCE,-1.0
SWIGGY,-0.36
DIXON,-0.65
PAYTM,-1.45
DIVISLAB,-1.92
CHOLAFIN,-0.54
CGPOWER,-1.47
GODREJPROP,-3.07
TMPV,-1.0
DLF,-1.7
BAJAJ-AUTO,-0.88
HAVELLS,-1.02
LAURUSLABS,-3.89
IDFCFIRSTB,-1.29
360ONE,-0.43
ASHOKLEY,-0.35
EICHERMOT,-0.85
AMBER,-3.33
HDFCAMC,-1.38
INOXWIND,-0.47
PRESTIGE,-4.03
POLYCAB,-0.79
LTF,-0.83
LTIM,-0.41
NBCC,-1.28
FEDERALBNK,-0.86
HEROMOTOCO,-0.85
LICHSGFIN,-1.46
PERSISTENT,-1.28
INDIANB,-0.59
SOLARINDS,-1.16
DELHIVERY,-2.22
FORTIS,-1.12
BAJAJHLDNG,-2.83
BRITANNIA,-0.69
KALYANKJIL,-1.01
MOTHERSON,-0.35
PHOENIXLTD,-0.48
ADANIENSOL,-0.58
SIEMENS,-1.84
INDHOTEL,-0.55
CAMS,-2.13
BOSCHLTD,-0.91
TIINDIA,-1.92
POLICYBZR,-0.99
SAMMAANCAP,-1.01
KFINTECH,-0.98
IIFL,-0.73
UNOMINDA,-3.55
ABB,-0.71
AUROPHARMA,-2.4
BIOCON,-2.29
NYKAA,-0.39
OBEROIRLTY,-1.59
NAUKRI,-0.4
CROMPTON,-0.63
SBICARD,-0.95
TORNTPHARM,-0.59
MPHASIS,-0.47
SONACOMS,-0.61
MFSL,-0.7
PPLPHARMA,-0.43
KPITTECH,-0.97
ASTRAL,-0.63
BLUESTARCO,-0.42
