Symbol,%chng
MEDANTA,-0.58
GLAND,-0.58
ALKEM,-0.58
SYNGENE,-0.58
CONCORDBIO,-0.58
ABBOTINDIA,-0.58
GLAXO,-0.58
MANKIND,-0.58
INDGN,-0.58
DRREDDY,-0.58
SUNPHARMA,-0.58
GLENMARK,-0.58
ZYDUSLIFE,-0.58
LUPIN,-0.58
APOLLOHOSP,-0.58
CIPLA,-0.58
MAXHEALTH,-0.58
APLLTD,-0.58
VIJAYA,-0.58
PPLPHARMA,-0.58
RAINBOW,-0.58
AJANTPHARM,-0.58
WOCKPHARMA,-0.58
TORNTPHARM,-0.58
PFIZER,-0.58
ERIS,-0.58
CAPLIPOINT,-0.58
KIMS,-0.58
AGARWALEYE,-0.58
NEULANDLAB,-0.58
FORTIS,-0.58
JBCHEPHARM,-0.58
GRANULES,-0.58
POLYMED,-0.58
NH,-0.58
METROPOLIS,-0.58
JUBLPHARMA,-0.58
DIVISLAB,-0.58
IPCALAB,-0.58
ASTRAZEN,-0.58
ONESOURCE,-0.58
ASTERDM,-0.58
BIOCON,-0.58
AUROPHARMA,-0.58
LALPATHLAB,-0.58
EMCURE,-0.58
NATCOPHARM,-0.58
SAILIFE,-0.58
LAURUSLABS,-0.58
COHANCE,-0.58
