Symbol,%chng
HINDZINC,3.03
IREDA,2.47
MANAPPURAM,1.77
UPL,1.72
VEDL,1.64
WAAREEENER,1.59
PHOENIXLTD,1.35
DMART,1.33
IDEA,1.15
BSE,1.14
NATIONALUM,1.13
ASHOKLEY,1.0
HINDALCO,1.0
IEX,0.96
MUTHOOTFIN,0.9
MAZDOCK,0.86
BAJAJHLDNG,0.82
ICICIPRULI,0.82
UNIONBANK,0.76
SBIN,0.75
SBILIFE,0.72
MFSL,0.6
BOSCHLTD,0.54
KEI,0.51
HINDPETRO,0.5
ASTRAL,0.48
MCX,0.46
TRENT,0.43
NMDC,0.42
HAL,0.4
RVNL,0.38
CGPOWER,0.38
SHRIRAMFIN,0.37
INDUSTOWER,0.37
PAGEIND,0.34
ITC,0.33
DIVISLAB,0.28
BDL,0.26
OIL,0.23
NTPC,0.22
AXISBANK,0.21
SUZLON,0.2
POLYCAB,0.2
BEL,0.2
COFORGE,0.2
PAYTM,0.19
LAURUSLABS,0.18
INOXWIND,0.18
ADANIGREEN,0.18
GODREJPROP,0.17
BANKBARODA,0.13
ADANIENT,0.13
TORNTPOWER,0.13
SUNPHARMA,0.13
COALINDIA,0.13
RECLTD,0.11
BIOCON,0.11
JSWSTEEL,0.1
PPLPHARMA,0.09
TITAN,0.08
SOLARINDS,0.07
POLICYBZR,0.07
IRCTC,0.06
HDFCLIFE,0.06
JINDALSTEL,0.06
NAUKRI,0.06
NYKAA,0.06
SHREECEM,0.06
ANGELONE,0.06
IIFL,0.04
HUDCO,0.04
MANKIND,0.03
LT,0.02
INDIANB,0.02
ASIANPAINT,0.02
MPHASIS,0.02
OFSS,0.02
SWIGGY,0.01
DELHIVERY,0.01
LODHA,0.01
CANBK,0.01
PERSISTENT,0.0
OBEROIRLTY,0.0
ADANIPORTS,0.0
360ONE,0.0
AMBUJACEM,0.0
TATASTEEL,0.0
LTF,0.0
PGEL,0.0
BAJAJ-AUTO,0.0
FORTIS,0.0
TIINDIA,0.0
IRFC,0.0
KOTAKBANK,0.0
RELIANCE,0.0
HEROMOTOCO,0.0
MOTHERSON,0.0
SAIL,0.0
GLENMARK,0.0
TATAPOWER,0.0
BRITANNIA,0.0
MARICO,0.0
ADANIENSOL,0.0
LICI,0.0
POWERGRID,0.0
ONGC,0.0
CAMS,0.0
JUBLFOOD,0.0
JIOFIN,0.0
PNB,0.0
ALKEM,0.0
ETERNAL,0.0
ICICIGI,-0.01
KAYNES,-0.01
DRREDDY,-0.01
APLAPOLLO,-0.01
DABUR,-0.02
BAJAJFINSV,-0.02
BANKINDIA,-0.02
SAMMAANCAP,-0.04
M&M,-0.05
JSWENERGY,-0.05
UNOMINDA,-0.06
NHPC,-0.06
BAJFINANCE,-0.08
TORNTPHARM,-0.09
SUPREMEIND,-0.11
CHOLAFIN,-0.12
CDSL,-0.12
CIPLA,-0.12
PREMIERENE,-0.13
HCLTECH,-0.13
PETRONET,-0.14
TCS,-0.15
UNITDSPR,-0.15
HDFCBANK,-0.16
BPCL,-0.16
INDHOTEL,-0.16
BHARTIARTL,-0.18
YESBANK,-0.18
NBCC,-0.18
DIXON,-0.18
SYNGENE,-0.19
TATACONSUM,-0.2
PATANJALI,-0.2
GODREJCP,-0.21
PNBHOUSING,-0.23
GAIL,-0.23
INDUSINDBK,-0.23
INFY,-0.25
PRESTIGE,-0.26
MARUTI,-0.27
TATATECH,-0.27
HAVELLS,-0.27
KALYANKJIL,-0.28
SIEMENS,-0.29
ICICIBANK,-0.31
AUBANK,-0.32
CROMPTON,-0.34
RBLBANK,-0.34
TMPV,-0.34
ABB,-0.35
TVSMOTOR,-0.35
SONACOMS,-0.36
PIIND,-0.36
LICHSGFIN,-0.36
LUPIN,-0.38
GMRAIRPORT,-0.39
IOC,-0.39
VOLTAS,-0.4
EICHERMOT,-0.4
DALBHARAT,-0.4
HDFCAMC,-0.41
EXIDEIND,-0.42
DLF,-0.43
AMBER,-0.43
HINDUNILVR,-0.45
PIDILITIND,-0.46
FEDERALBNK,-0.47
AUROPHARMA,-0.47
NESTLEIND,-0.47
IDFCFIRSTB,-0.47
WIPRO,-0.48
NUVAMA,-0.48
VBL,-0.49
PFC,-0.49
GRASIM,-0.5
MAXHEALTH,-0.51
POWERINDIA,-0.56
ULTRACEMCO,-0.56
CONCOR,-0.59
LTIM,-0.61
INDIGO,-0.61
BLUESTARCO,-0.63
TECHM,-0.64
BHEL,-0.64
BHARATFORG,-0.66
ABCAPITAL,-0.66
COLPAL,-0.67
TATAELXSI,-0.72
BANDHANBNK,-0.72
SRF,-0.73
APOLLOHOSP,-0.74
ZYDUSLIFE,-0.77
KFINTECH,-0.78
KPITTECH,-1.04
SBICARD,-1.07
CUMMINSIND,-2.05
