Symbol,%chng in OI
HCLTECH,14.45
POWERINDIA,13.42
GODREJPROP,12.85
TCS,12.4
AMBER,12.38
LAURUSLABS,12.24
DELHIVERY,11.09
CUMMINSIND,10.09
BAJAJHLDNG,10.0
MANAPPURAM,8.67
NBCC,8.47
HAVELLS,8.31
BIOCON,7.77
SWIGGY,7.49
NIFTY,6.91
PRESTIGE,6.73
SBILIFE,6.67
UNOMINDA,6.59
PAYTM,6.08
KFINTECH,5.95
PPLPHARMA,5.87
SUPREMEIND,5.66
LTF,5.48
FEDERALBNK,5.45
BSE,5.39
PIIND,5.35
INOXWIND,5.27
DLF,5.26
BHEL,5.26
FINNIFTY,5.06
RVNL,4.91
SONACOMS,4.72
KEI,4.65
PIDILITIND,4.62
MANKIND,4.54
CAMS,4.5
LICI,4.33
IREDA,4.33
COALINDIA,4.22
AUBANK,4.19
SBIN,4.06
DIVISLAB,4.03
TMPV,3.88
GMRAIRPORT,3.85
TIINDIA,3.72
PREMIERENE,3.68
IDFCFIRSTB,3.6
ALKEM,3.55
BHARTIARTL,3.53
CGPOWER,3.47
LICHSGFIN,3.41
TATATECH,3.37
BOSCHLTD,3.37
SBICARD,3.29
IRCTC,3.12
WAAREEENER,2.99
APOLLOHOSP,2.93
ADANIENSOL,2.89
SIEMENS,2.79
CHOLAFIN,2.78
PAGEIND,2.77
POLYCAB,2.72
APLAPOLLO,2.71
MIDCPNIFTY,2.54
HDFCAMC,2.54
NUVAMA,2.44
HUDCO,2.38
M&M,2.36
INDIGO,2.35
CDSL,2.32
ICICIBANK,2.3
TORNTPOWER,2.29
NIFTYNXT50,2.24
JSWENERGY,2.24
TATAELXSI,2.24
FORTIS,2.21
HDFCBANK,2.19
UPL,2.16
JIOFIN,2.14
BRITANNIA,2.08
GLENMARK,2.07
TATACONSUM,2.03
EXIDEIND,2.02
ADANIGREEN,2.01
INDHOTEL,1.95
VOLTAS,1.94
AMBUJACEM,1.85
CANBK,1.85
KPITTECH,1.83
SHREECEM,1.78
BANKNIFTY,1.77
HINDPETRO,1.75
BLUESTARCO,1.73
BANKINDIA,1.71
AUROPHARMA,1.71
VBL,1.69
ULTRACEMCO,1.67
PNB,1.64
BANKBARODA,1.61
DALBHARAT,1.56
NTPC,1.49
SUZLON,1.39
GODREJCP,1.38
UNITDSPR,1.32
IOC,1.3
NHPC,1.24
HINDUNILVR,1.21
NESTLEIND,1.2
LTIM,1.18
VEDL,1.17
CIPLA,1.15
RECLTD,1.15
AXISBANK,1.14
BEL,1.1
ASIANPAINT,1.09
OFSS,1.09
TATASTEEL,1.07
CROMPTON,1.05
COLPAL,1.02
KOTAKBANK,0.94
BAJAJFINSV,0.93
MAZDOCK,0.91
MAXHEALTH,0.91
JUBLFOOD,0.9
POLICYBZR,0.9
KALYANKJIL,0.87
POWERGRID,0.86
HINDALCO,0.82
MOTHERSON,0.79
NYKAA,0.78
ADANIPORTS,0.76
IRFC,0.74
WIPRO,0.73
INDUSTOWER,0.71
HEROMOTOCO,0.65
BAJFINANCE,0.65
HDFCLIFE,0.62
LT,0.62
INDIANB,0.57
ASTRAL,0.57
MFSL,0.56
RBLBANK,0.55
ABB,0.53
INFY,0.51
ONGC,0.5
NMDC,0.48
JSWSTEEL,0.41
BPCL,0.41
BAJAJ-AUTO,0.38
GRASIM,0.37
ETERNAL,0.34
OBEROIRLTY,0.31
TITAN,0.31
HINDZINC,0.28
ABCAPITAL,0.26
OIL,0.23
BANDHANBNK,0.23
SUNPHARMA,0.2
NATIONALUM,0.18
TECHM,0.16
NAUKRI,0.06
MARICO,0.01
PNBHOUSING,-0.04
TATAPOWER,-0.1
SOLARINDS,-0.12
DRREDDY,-0.13
RELIANCE,-0.16
CONCOR,-0.16
ICICIGI,-0.19
SYNGENE,-0.22
PGEL,-0.23
TORNTPHARM,-0.24
ANGELONE,-0.32
IDEA,-0.38
ASHOKLEY,-0.38
BHARATFORG,-0.42
ADANIENT,-0.42
MCX,-0.43
DIXON,-0.44
GAIL,-0.49
UNIONBANK,-0.51
MARUTI,-0.51
YESBANK,-0.55
PERSISTENT,-0.58
DABUR,-0.6
INDUSINDBK,-0.68
PETRONET,-0.7
TVSMOTOR,-0.7
SAIL,-0.73
MUTHOOTFIN,-0.76
SHRIRAMFIN,-0.8
SAMMAANCAP,-0.83
TRENT,-1.0
SRF,-1.0
HAL,-1.01
360ONE,-1.04
BDL,-1.05
ICICIPRULI,-1.09
ITC,-1.15
IIFL,-1.22
JINDALSTEL,-1.28
ZYDUSLIFE,-1.29
KAYNES,-1.32
COFORGE,-1.32
MPHASIS,-1.44
LUPIN,-1.7
PATANJALI,-1.7
PFC,-1.82
PHOENIXLTD,-2.31
IEX,-2.99
EICHERMOT,-3.06
DMART,-4.62
LODHA,-6.34
