Symbol,Min_Max,%chng
UNIONBANK,7.71,1.46
MCX,5.32,1.46
INDUSINDBK,3.56,1.46
BANKINDIA,3.54,1.46
ANGELONE,3.27,1.46
LICHSGFIN,2.96,1.46
INDIANB,2.95,1.46
HDFCAMC,2.71,1.46
LTF,2.53,1.46
ABCAPITAL,2.31,1.46
RBLBANK,2.06,1.46
PAYTM,2.06,1.46
360ONE,1.94,1.46
CAMS,1.54,1.46
BANDHANBNK,1.28,1.46
AUBANK,0.91,1.46
HUDCO,0.70,1.46
PNBHOUSING,0.70,1.46
YESBANK,0.70,1.46
MANAPPURAM,0.41,1.46
POLICYBZR,0.38,1.46
MUTHOOTFIN,0.30,1.46
MFSL,0.23,1.46
IDFCFIRSTB,0.11,1.46
BSE,0.07,1.46
CDSL,-0.35,1.46
FEDERALBNK,-0.84,1.46
SBICARD,-1.15,1.46
IEX,-1.60,1.46
ICICIPRULI,-2.12,1.46
